clustering_1	clustering_2	clustering_1_total	clustering_2_total	n	pct_clustering_1	pct_clustering_2
Nr5a1_4	C286-54: Tac1.Fezf1.Gpr149.GLU-3	962	288	223	0.231808731808732	0.774305555555556
Nr5a1_6	C286-58: Nr5a2.C1ql2.Gpr149.GLU-3	676	158	114	0.168639053254438	0.721518987341772
Nr5a1_3	C286-54: Tac1.Fezf1.Gpr149.GLU-3	107	288	10	0.0934579439252336	0.0347222222222222
Nr5a1_5	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	542	385	30	0.0553505535055351	0.0779220779220779
Nr5a1_1	C286-31: Col24a1.Unassigned.Fezf1.GLU-3	290	167	137	0.472413793103448	0.820359281437126
Nr5a1_3	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3	107	421	31	0.289719626168224	0.0736342042755344
Nr5a1_6	C286-47: Nr5a1.Tcf7l2.Gpr149.GLU-3	676	534	299	0.442307692307692	0.559925093632959
Esr1_2	C286-42: Necab1.Cbln4.Cd40.GLU-3	471	209	182	0.386411889596603	0.870813397129187
Esr1_2	C286-41: Gldn.Cbln4.Cd40.GLU-3	471	725	254	0.53927813163482	0.350344827586207
Nr5a1_6	C286-48: Hmcn2.Tcf7l2.Gpr149.GLU-3	676	131	94	0.13905325443787	0.717557251908397
Dlk1_6	C286-34: Egflam.Unassigned.Fezf1.GLU-3	327	652	114	0.348623853211009	0.174846625766871
Nr5a1_6	C286-57: Nr5a1.C1ql2.Gpr149.GLU-3	676	138	112	0.165680473372781	0.811594202898551
Esr1_2	C286-38: Satb2.Cd40.GLU-3	471	930	24	0.0509554140127389	0.0258064516129032
Satb2_1	C286-42: Necab1.Cbln4.Cd40.GLU-3	932	209	16	0.0171673819742489	0.076555023923445
Nr5a1_7	C286-52: H2-Q2.Hmcn2.Gpr149.GLU-3	134	385	21	0.156716417910448	0.0545454545454545
Dlk1_6	C286-55: Nr5a1.Sparc.Gpr149.GLU-3	327	128	17	0.0519877675840979	0.1328125
Nr5a1_Foxp2_2	C286-63: Prdm12.Tcf4.GLU-3	386	50	6	0.0155440414507772	0.12
Dlk1_6	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	327	1234	47	0.143730886850153	0.0380875202593193
Nr5a1_3	C286-55: Nr5a1.Sparc.Gpr149.GLU-3	107	128	11	0.102803738317757	0.0859375
Dlk1_5	C286-53: Adamts9.Fezf1.Gpr149.GLU-3	395	507	36	0.0911392405063291	0.0710059171597633
Nr5a1_3	C286-46: Slit3.Hmcn2.Gpr149.GLU-3	107	85	7	0.0654205607476636	0.0823529411764706
Tsix_Esr1	C286-56: Robo3.Sparc.Gpr149.GLU-3	974	97	57	0.0585215605749487	0.587628865979382
Satb2_2	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3	125	421	23	0.184	0.0546318289786223
Nr5a1_1	C286-32: Gpr88.Arhgap36.Fezf1.GLU-3	290	1234	15	0.0517241379310345	0.0121555915721232
Nr5a1_4	C286-58: Nr5a2.C1ql2.Gpr149.GLU-3	962	158	16	0.0166320166320166	0.10126582278481
Nr5a1_1	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	290	263	94	0.324137931034483	0.357414448669202
Nr5a1_4	C286-51: Nr5a1.Hmcn2.Gpr149.GLU-3	962	421	25	0.025987525987526	0.0593824228028504
Nr5a1_5	C286-48: Hmcn2.Tcf7l2.Gpr149.GLU-3	542	131	20	0.03690036900369	0.152671755725191
Nr5a1_4	C286-55: Nr5a1.Sparc.Gpr149.GLU-3	962	128	41	0.0426195426195426	0.3203125
Dlk1_3	C286-34: Egflam.Unassigned.Fezf1.GLU-3	96	652	8	0.0833333333333333	0.0122699386503067
Nr5a1_7	C286-55: Nr5a1.Sparc.Gpr149.GLU-3	134	128	43	0.32089552238806	0.3359375
Nr5a1_5	C286-45: Rai14.Hmcn2.Gpr149.GLU-3	542	69	45	0.0830258302583026	0.652173913043478
Dlk1_5	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	395	263	24	0.0607594936708861	0.091254752851711
Dlk1_2	C286-36: Nkx2-2.Unassigned.Fezf1.GLU-3	1044	429	43	0.0411877394636015	0.1002331002331
Esr1_1	C286-39: Moxd1.Cd40.GLU-3	248	528	210	0.846774193548387	0.397727272727273
Nr5a1_1	C286-35: Sox14.Unassigned.Fezf1.GLU-3	290	50	9	0.0310344827586207	0.18
Gluta_VMH-out_1	C286-35: Sox14.Unassigned.Fezf1.GLU-3	623	50	6	0.00963081861958266	0.12
Nr5a1_3	C286-47: Nr5a1.Tcf7l2.Gpr149.GLU-3	107	534	6	0.0560747663551402	0.0112359550561798
Dlk1_6	C286-31: Col24a1.Unassigned.Fezf1.GLU-3	327	167	11	0.0336391437308868	0.0658682634730539
Nr5a1_5	C286-46: Slit3.Hmcn2.Gpr149.GLU-3	542	85	53	0.0977859778597786	0.623529411764706
Nr5a1_2	C286-57: Nr5a1.C1ql2.Gpr149.GLU-3	475	138	13	0.0273684210526316	0.0942028985507246
Gluta_VMH-out_1	C286-58: Nr5a2.C1ql2.Gpr149.GLU-3	623	158	18	0.028892455858748	0.113924050632911
Nr5a1_5	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	542	263	25	0.0461254612546126	0.0950570342205323
Nr5a1_7	C286-54: Tac1.Fezf1.Gpr149.GLU-3	134	288	9	0.0671641791044776	0.03125
Dlk1_2	C286-33: Cenpf.Arhgap36.Fezf1.GLU-3	1044	50	40	0.0383141762452107	0.8
Gluta_VMH-out_1	C286-63: Prdm12.Tcf4.GLU-3	623	50	40	0.0642054574638844	0.8
Nr5a1_4	C286-46: Slit3.Hmcn2.Gpr149.GLU-3	962	85	6	0.00623700623700624	0.0705882352941176
Dlk1_5	C286-35: Sox14.Unassigned.Fezf1.GLU-3	395	50	20	0.0506329113924051	0.4
Nr5a1_5	C286-53: Adamts9.Fezf1.Gpr149.GLU-3	542	507	35	0.0645756457564576	0.0690335305719921
Nr5a1_7	C286-53: Adamts9.Fezf1.Gpr149.GLU-3	134	507	8	0.0597014925373134	0.0157790927021696
Nr5a1_4	C286-48: Hmcn2.Tcf7l2.Gpr149.GLU-3	962	131	7	0.00727650727650728	0.0534351145038168
Esr1_3	C286-56: Robo3.Sparc.Gpr149.GLU-3	480	97	7	0.0145833333333333	0.0721649484536082
Esr1_1	C286-56: Robo3.Sparc.Gpr149.GLU-3	248	97	10	0.0403225806451613	0.103092783505155
Nr5a1_4	C286-30: Gpr149.Unassigned.Fezf1.GLU-3	962	263	29	0.0301455301455301	0.110266159695818
Esr1_4	C286-39: Moxd1.Cd40.GLU-3	245	528	237	0.96734693877551	0.448863636363636
Nr5a1_7	C286-41: Gldn.Cbln4.Cd40.GLU-3	134	725	10	0.0746268656716418	0.0137931034482759
Nr5a1_4	C286-49: Lamp5.Bcl11b.Gpr149.GLU-3	962	123	8	0.00831600831600832	0.0650406504065041
Nr5a1_4	C286-35: Sox14.Unassigned.Fezf1.GLU-3	962	50	7	0.00727650727650728	0.14
