K169_named	K169_pruned	global_cor	Campbell	Rossi	Lee_Idol	RomanovDev	Moffit	kimDev	Mickelsen	wenDropSeq	wen10x	Chen	Flynn	Kim	Mousebrainorg
Cck.Ppp1r17.Hmx2.HY1	K169-18	0.43573	0.334754867586652	0.298619983198553	0.277106723590888	0.808590567874122		0.328416033937244	0.284568869609647			0.295676496776134	0.46821880183555	0.730457454080854	
Drd1.Tac1.Crym.Ppp1r1b.HY2	K169-19	0.57755					0.574695747977791					0.490877961120283			
Gpr149.Nr5a1.Cd40.Fezf1.HY2	K169-2	0.70662	0.296070406576546		0.305008081180778			0.23295962497792		0.304978398243064		0.245893905882474		0.773484260972502	
Crhbp.Gad2.Arx.HY1	K169-20	0.32714	0.361128300152328	0.266210710660545	0.278749544755807		0.304757054017309			0.308300029847294		0.269352302701033		0.736449099230518	
Anxa2.Pomc.Tcf7l2.Tbx3.HY1	K169-21	0.61171	0.40613263171074		0.363714502440036					0.349375271546796		0.35651775157603		0.767706581625439	
Ebf3.Foxb1.HY2	K169-22	0.33071	0.235116703898582	0.202576781372973	0.244320627373433				0.240243633649669			0.212435053916382	0.328375933958454		
Nts.Ctxn3.Pitx2.Foxb1.HY2	K169-23	0.25939			0.192537498735236				0.294939375696615			0.148001424285948	0.258101904504548		
Sstr1.Sst.Il1rapl2.Otp.HY1	K169-24	0.33156	0.179929135388942		0.170974263917288							0.17820335704361	0.280308868213145	0.762066587242003	
Irx3.Pitx2.Tbr1.Nrn1.HY2	K169-25	0.44989	0.346227454828575	0.308128648066559	0.325570521569526				0.40053071724234			0.300814174366128	0.429889240391987	0.770541409361444	
Fgf10.Gpr149.Cd40.Fezf1.HY2	K169-26	0.83603	0.331201085347282											0.84020463161306	
Gm43122.Adarb2.Cd40.Fezf1.HY2	K169-27	0.81731	0.222470004704137											0.82009784731135	
Crabp1.Tcf7l2.Tbx3.HY1	K169-28	0.29711	0.225081433634202		0.188327746233818							0.11709949231067	0.319369994305664	0.764145456295634	
Trh.Sim1.Nrn1.HY2	K169-29	0.50594	0.425640316079514	0.449911997398744	0.449305676671417	0.747833844004381	0.492030062800599		0.448711174670009	0.457897437797471		0.45084207304261		0.764687957878853	0.4471361121433
SgcAlk.Epha6.Fezf1.HY2	K169-3	0.85206	0.260415752691692											0.860101948571393	
Penk.Arx.Six6.HY1	K169-30	0.30653	0.273689938340181		0.378031172423068		0.301992092781892			0.274215436441319	0.239715080968664	0.120111679388709			
Lef1.HY14.HY10.HY2	K169-31	0.58077	0.252715191140743	0.216380346465779					0.318905846733481			0.176849821280572	0.379089344335347	0.777995902234515	
Sytl4.Tmem215.Tcf7l2.Tbx3.HY1	K169-32	0.35905	0.226172918344621		0.167222663908764	0.765714190845876				0.241982654669806		0.15605599749406	0.348188366104592	0.791364297823431	
Adarb2.Onecut2.Gad2.Arx.HY1	K169-33	0.50041	0.160729863729014	0.116298412910209			0.174326011579109		0.150265139677451	0.117795252459536				0.767543078925861	0.0744540726818692
Prdm13.Foxp2.Ifi27l2a.Fezf1.HY2	K169-34	0.78566	0.275446454147353		0.315783114178124				0.335199959309127	0.288561724296381		0.187625210881234		0.886628424195011	
Ttr.Pomc.Tcf7l2.Tbx3.HY1	K169-35	0.59605	0.405643853232299		0.383633867457481					0.432783544093197				0.734356394584219	
Dkk2.Nms.Six6.HY1	K169-36	0.35692	0.375947162166227		0.331873118815993		0.342988304507993			0.350333121980212	0.328526157782791	0.275230754884249			0.258752198423422
Gsx1.Hmx3.Hmx2.HY1	K169-37	0.4439		0.259847418977792			0.322483765324233		0.318552320204717			0.217369145758149	0.332610473498319	0.859435965203451	
Th.Prok2.Hmx3.Hmx2.HY1	K169-38	0.40907	0.357904619701422	0.38264680848169	0.393098440120455	0.7571203243106	0.37356595582183		0.423847958254883	0.408342275065359		0.325739265954813	0.388534845152435	0.814306650707479	
Crabp1.Nfib.Six3.Hmx2.HY1	K169-39	0.38934	0.214212052715332		0.166979650114957					0.251614888958748		0.167164618157347	0.382819163575424	0.82805429735293	
Grin2c.Nms.Six6.HY1	K169-4	0.45419	0.46251494034351		0.434280887882311		0.498569179761644			0.434732827853461	0.404181785738483	0.42193511776589			0.361147292404899
Ebf3.Oxt	K169-40	0.46076	0.280597949457487		0.260078723723391	0.772836081600619		0.215697503154304	0.349351190503159	0.270553588149523		0.263513438985154		0.713137846055765	0.260963388290604
Gpc4.Calca.Gad2.Arx.HY1	K169-41	0.44265	0.602418157798057	0.352069775042571	0.502551953334637		0.416417423836063			0.478875623611306	0.47040144083651	0.358718588516992			
Nfia.Slc17a8.Ifi27l2a.Fezf1.HY2	K169-42	0.59195	0.278067175911711							0.272900110541417		0.186757936928703		0.773904389172327	
Gm30382.Il1rapl2.Epha6.Fezf1.HY2	K169-43	0.7809	0.0737689463535955				0.17328661646871		0.110288033162611					0.804150516297883	
Trh.Nkx2-4.Gsx1.Hmx2.HY1	K169-44	0.48528	0.251792074817618	0.237808628778235	0.289122961602056	0.859003680531868			0.411042009439181			0.227536655832445	0.423313395976866	0.853621398406211	
Nfix.Fam159b.Satb2.HY1	K169-45	0.53386	0.313127288419884		0.303371609696583		0.328105781226253			0.340179915506637	0.294164770304975	0.297232558118957		0.84206494923773	
Kirrel3.C1ql2.Epha6.Fezf1.HY2	K169-47	0.77218	0.201857690676501											0.791825870849542	
Sox14.Lef1.Hmx2.HY1	K169-48	0.43031	0.329788851433608		0.307886265061738							0.221194138411229	0.4507094923042	0.750859980337081	
Nfib.Nfix.Gad2.Arx.HY1	K169-49	0.22336	0.220091171788424		0.282702481589925		0.234856758856366			0.186034889745325	0.188183524143938	0.178515524339334			
Vipr2.Prokr2.Six6.HY1	K169-5	0.46951	0.469039416405317		0.455632914262721		0.55814614921631			0.45266741989569	0.479930804159486	0.447036089267607			0.427373958164726
Sox6.Npy.Otp.HY1	K169-50	0.64249	0.222111738772175							0.23425144129334				0.749435141528495	0.158898065999459
Mobp.Sepp1.Pitx2.Foxb1.HY2	K169-51	0.18363		-0.0005127450401711	0.261177863776018		0.0713030112884933		0.105615308841608	0.0151908747686213		0.0918895758754721	0.204402523710524	0.242380871805092	
Bace2.Tcf7l2.Tbx3.HY1	K169-52	0.42655	0.259758416375345		0.254301904079909							0.284977883028098	0.398123481504615	0.871798768395759	
Prdm13.Slc17a8.Ifi27l2a.Fezf1.HY2	K169-53	0.68754	0.340374024025134		0.296547516347594		0.331282210031625		0.284961597450609	0.313545363087656		0.257594300716848		0.827022045580613	
Sncg.Gad2.Arx.HY1	K169-54	0.52688	0.351817865278937	0.316848859733111			0.369420662255284		0.325949555006946	0.341775351588084		0.327864192304893		0.78327395791171	0.265174882928616
Cplx1.Gad2.Arx.HY1	K169-55	0.38792		0.318395999814053	0.407512011453307		0.341960580491445		0.370106851161027	0.391477067191349		0.367986179329497		0.714085473214266	0.349689689464218
Tmem215.St18.Arx.HY1	K169-56	0.69805		0.648057408645589	0.737511518709608		0.688263181428094			0.764161013205587		0.582703344316907			
Prkd1.Nr5a1.Cd40.Fezf1.HY2	K169-57	0.74784	0.161318546766914							0.166700951176786				0.771361684427713	
Pthlh.Bcl11b.Il1rapl2.Otp.HY1	K169-58	0.67839	0.275741171231779		0.280325160012047		0.25233965728262		0.264044680905948	0.244393297817216		0.18326185933107	0.276163305182845	0.792962712473612	
Ghrh.Gsx1.Hmx2.HY1	K169-6	0.61495	0.317764909820522		0.304752193643681							0.284189829366831		0.817908403040725	
Crh.Hmx3.Hmx2.HY1	K169-60	0.50319	0.333835610547891	0.340344868001261			0.466376125779817		0.389314798651319	0.407802329535665		0.305335963756917		0.795232755268295	0.377109727174456
Samd3.Meis2.Tbr1.Nrn1.HY2	K169-61	0.35297		0.300270194749976			0.460742206591747		0.213593994054352	0.291426675764594		0.152054159537745		0.789979461707115	0.146382128920798
BC048546.Alk.Epha6.Fezf1.HY2	K169-62	0.90128												0.903209861442488	
Sema3c.Lhx8.Lhx6.Arx.HY1	K169-63	0.43426		0.328983345167143			0.473363716411964					0.369214060151197			0.352757988596731
Lmo3.Foxp2.Ifi27l2a.Fezf1.HY2	K169-64	0.79597	0.408429441042058							0.402462462833979		0.318358939657579		0.834556879155667	
Postn.Ctxn3.Pitx2.Foxb1.HY2	K169-65	0.31403			0.228415318740077							0.158384762583083	0.32009104195483		
Bdnf.C1ql2.Epha6.Fezf1.HY2	K169-66	0.80467	0.290818692361072							0.25622599557909		0.233605397412925		0.849809043915876	
Nr5a2.Satb2.HY1	K169-67	0.30827	0.225775016692044				0.280402605429706			0.250899941632526		0.201407061883308		0.801531799836158	
Sst.Agrp.Npy.Otp.HY1	K169-68	0.21049	0.178362495039415									0.161025092085604	0.349388242974978	0.678060853652066	
Slc6a3.Fam159b.Satb2.HY1	K169-69	0.48577	0.309608229352261		0.25519548577097					0.343607417969632		0.27745264516952		0.767654699776313	
Ttn.Sall3.Pitx2.Foxb1.HY2	K169-7	0.36992			0.205109762358726							0.174038611431049	0.371037098271749		
Gm28928.Pthlh.Six3.Hmx2.HY1	K169-70	0.70208	0.19291059616531		0.154244854897529							0.121786538008049	0.316980099356102	0.844169400618803	
Slc30a3.Meis2.Gad2.Arx.HY1	K169-71	0.43365		0.398211614108049			0.437878453595279		0.42917659544597	0.453425755260059		0.417891419482799			
Gpc3.Sst.Il1rapl2.Otp.HY1	K169-72	0.70663	0.163033710253085	0.242990140010203					0.240857781334869	0.212775545881556		0.163309409745745		0.804973000746464	
Tcf7l2.Tmem114.Lef1.Hmx2.HY1	K169-73	0.30352	0.105005058198959	0.131359376676231			0.281883131499824		0.242472103486348			0.0885236641303345	0.212002257426022	0.807549613099202	
Pmaip1.Calca.Gad2.Arx.HY1	K169-74	0.24116	0.267184914954355		0.0659943725153908		0.206323117969899			0.223811942938752		0.100027324617763			
Serpina3n.Agrp.Npy.Otp.HY1	K169-75	0.38603	0.357963895235397											0.726253549902425	
Igfbp4.Prokr2.Six6.HY1	K169-76	0.39704	0.36811654812053		0.347081399783229		0.448665776658876			0.370198992289846	0.394367590657034	0.313532952937487			0.281934777908443
Satb2.Adarb2.Cd40.Fezf1.HY2	K169-8	0.7822	0.21511986765715						0.272745731245946					0.789404700665835	
Lhx1.Cd24a.Six6.HY1	K169-81	0.25731	0.248802787609915		0.266997795489269		0.286789158041317			0.217086321222142	0.228738875411677	0.204211876969831			
Pomc.Tmem215.Tcf7l2.Tbx3.HY1	K169-82	0.38577	0.275541086175085		0.199957401504511							0.164813448344915	0.436528213270601	0.822162042433178	
Otp.Crhbp.Sim1.Nrn1.HY2	K169-83	0.39794		0.267326485723792			0.292405314680116		0.243534915279722	0.258281929641026				0.730287612513282	0.237542373163286
Pvalb.Meis2.Gad2.Arx.HY1	K169-84	0.44903		0.378481759440728			0.410780240614114		0.453596735838966	0.508426141221059		0.310935625145234		0.834076445775438	0.282715641755409
Pax6.Nfix.St18.Arx.HY1	K169-85	0.39319	0.255454116431015	0.240341051343139	0.233924821762751		0.318397795240632		0.348252186898136	0.261190826380896		0.176543878195364	0.36640235626323	0.847382162674622	
Six6.Onecut2.Gad2.Arx.HY1	K169-87	0.58985	0.633972085307598	0.560523573795691			0.561832217151461			0.574792225064024		0.53028753556038			
Ebf3.Pou3f3.Sim1.Nrn1.HY2	K169-88	0.41831		0.339365780838038					0.378767839821914			0.312984776230902	0.389197902145572	0.810411550894384	
Vcan.Bcl11b.Il1rapl2.Otp.HY1	K169-89	0.76066	0.221418165320713							0.213417064807768			0.247210934905998	0.821703061892698	
Cck.Prokr2.Six6.HY1	K169-9	0.66755	0.627676030518419		0.650383607030069		0.713451877038664			0.640740197217948	0.687405020989483	0.648692709952201			0.657491500621632
Cpne9.Sall3.Pitx2.Foxb1.HY2	K169-90	0.3314			0.272833375661083			0.315942607675099				0.171068993335345	0.340061002111255		
Qrfpr.Cd40.Fezf1.HY2	K169-91	0.86475												0.868880308335231	
Adarb2.Gm28928.Hmx3.Hmx2.HY1	K169-92	0.71764	0.103609631029498	0.0407963923860811					0.177733647636847	0.130380676964895				0.84741559239192	
Nts.Prok2.Hmx3.Hmx2.HY1	K169-94	0.61203	0.554044084839435		0.513416121830351		0.61770810628846			0.608162752290971		0.545611840726951			0.560755765571742
Gpr50.Pou3f3.Sim1.Nrn1.HY2	K169-95	0.45565		0.431379247332956			0.461240330026757		0.419798471736071	0.468680220195896		0.428369586238703	0.437000229232169		
Nfix.Nms.Six6.HY1	K169-96	0.37287	0.348569530741066		0.24339787789113	0.790330084324334	0.381400297061628			0.328949200795895	0.414025775949065	0.217620950945062			
Nts.Hmx3.Hmx2.HY1	K169-99	0.51089		0.382186344997271			0.489829665634128			0.45831281232868		0.342914216713917		0.854547941501528	0.438944605685939
