reduction,mean_purity_knn,mean_entropy_knn_all,resolution,silhouette_score_cosine,mean_mixingNorm,silhouette_score_norm,mean_purity_knn_norm,mean_entropy_knn_all_norm,mean_mixingNorm_norm,mixing_score,purity_score,assay,ndim,features,method,features_ngenes
Raw_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.700,0.531033313679246,0.331511357670793,4,0.222989976457272,0.866663619871981,67,82.11,35.7,66.18,50.94,82.11,RNA,60,RNA.log.vst.split_Batch_ID,Raw,700
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1000,0.554974902849741,0.295218141654205,4.5,0.229861636912209,0.859511164152285,69,89.1,28.1,62.48,45.29,89.1,RNA,80,RNA.log.vst.split_Batch_ID,Raw,1000
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1500,0.577152593085106,0.2485037705547,3.5,0.254562160488249,0.84501403405526,77,95.58,18.32,54.97,36.645,95.58,RNA,80,RNA.log.vst.split_Batch_ID,Raw,1500
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2000,0.592265625,0.213782342393331,3,0.255529494546572,0.833983268890133,77,100,11.05,49.26,30.155,100,RNA,80,RNA.log.vst.split_Batch_ID,Raw,2000
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2500,0.55,0.201140607547712,3,0.27383504878103,0.823088182607388,83,87.65,8.41,43.62,26.015,87.65,RNA,80,RNA.log.vst.split_Batch_ID,Raw,2500
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000,0.536328125,0.18977566557104,3,0.279371176002431,0.813615526572996,84,83.66,6.03,38.72,22.375,83.66,RNA,80,RNA.log.vst.split_Batch_ID,Raw,3000
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.4000,0.520578321540881,0.160983598387624,3,0.268331303911637,0.79775148861872,81,79.06,0,30.5,15.25,79.06,RNA,80,RNA.log.vst.split_Batch_ID,Raw,4000
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.500,0.556939551923348,0.365097835710664,3.5,0.225567590498804,0.875562063333102,68,89.68,42.73,70.79,56.76,89.68,RNA,80,RNA.log.vst.split_Batch_ID,Raw,500
Raw_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.700,0.549521422955975,0.335234250551277,3.5,0.207885514293658,0.869898967443695,63,87.51,36.48,67.85,52.165,87.51,RNA,80,RNA.log.vst.split_Batch_ID,Raw,700
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.366356793221176,0.3735037705547,5,0.192609269064685,0.871159964421929,58,34,44.49,68.51,56.5,34,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.322439430710378,0.348684506682667,4.5,0.212164920029246,0.85953914098246,64,21.16,39.29,62.49,50.89,21.16,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.30341293084028,0.323007418555045,4.5,0.236551426180394,0.849120448982498,71,15.61,33.92,57.1,45.51,15.61,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.26080719902213,0.292166594743938,3.5,0.295238628967028,0.817104868902949,89,3.16,27.46,40.52,33.99,3.16,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.246853071885233,0.284038785964828,3.5,0.292079285551287,0.810350128845072,88,-0.92,25.76,37.03,31.395,-0.92,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.219048585946937,0.278165407237479,3.5,0.283500580496758,0.804810352940794,86,-9.04,24.53,34.16,29.345,-9.04,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.338625,0.426692009518236,6,0.152773647972223,0.885473855931436,46,25.89,55.62,75.92,65.77,25.89,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_0_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.337125851068385,0.418564200739126,6,0.174918592629955,0.8799339782537,53,25.46,53.92,73.05,63.485,25.46,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.509484375,0.418564200739126,5,0.227806439133563,0.882457281663942,69,75.81,53.92,74.36,64.14,75.81,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.505310559006211,0.373225644489773,4.5,0.196362628796125,0.868889179082759,59,74.59,44.43,67.33,55.88,74.59,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.462142857142857,0.344759665325575,4,0.213526998440313,0.859290757877572,65,61.98,38.47,62.36,50.415,61.98,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.440671417101566,0.339887748504996,3.5,0.214797962283697,0.854668755147887,65,55.71,37.45,59.97,48.71,55.71,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.444055888223553,0.331511357670793,4,0.207492898195413,0.851736840129456,63,56.7,35.7,58.45,47.075,56.7,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.416782608695652,0.299699235141149,3,0.264722529067254,0.816333818771392,80,48.73,29.04,40.12,34.58,48.73,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.473361803756477,0.462210554538111,5.5,0.195614579882051,0.894863801087653,59,65.26,63.06,80.78,71.92,65.26,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_0_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.4798125,0.443804451133027,5.5,0.20329484957388,0.886659219049224,61,67.14,59.2,76.53,67.865,67.14,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.339282388245033,0.3735037705547,5,0.193033774160939,0.86693433549599,58,26.09,44.49,66.32,55.405,26.09,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.328169714854339,0.344759665325575,4.5,0.196418411861274,0.857878950250282,59,22.84,38.47,61.63,50.05,22.84,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.28725816845598,0.327729376770643,4.5,0.229471878382405,0.84690416953735,69,10.89,34.91,55.95,45.43,10.89,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.258002207505519,0.295218141654205,4,0.295410946257071,0.81637305856352,89,2.34,28.1,40.14,34.12,2.34,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.244277249337284,0.287835459861975,3.5,0.319324973912842,0.805867107834513,96,-1.67,26.55,34.71,30.63,-1.67,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.215723270440252,0.284038785964828,4,0.320105559372785,0.803012484991364,97,-10.01,25.76,33.23,29.495,-10.01,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.330264432343871,0.426692009518236,5.5,0.18246890461306,0.881190910918374,55,23.45,55.62,73.7,64.66,23.45,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_1_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.332492586437254,0.417617125275639,6,0.160405468714167,0.879218246669254,48,24.1,53.72,72.68,63.2,24.1,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_1_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.489875,0.414767526841979,4.5,0.245516854000514,0.881317234428898,74,70.08,53.13,73.77,63.45,70.08,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_1_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.514223602484472,0.365097835710664,4.5,0.204724579867796,0.866524424842116,62,77.2,42.73,66.11,54.42,77.2,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_1_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.456784888203547,0.343564007806994,4,0.231080949953815,0.85558776954282,70,60.42,38.22,60.45,49.335,60.42,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_1_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.430483072393951,0.338285797461544,4,0.22618374281479,0.849668763764901,68,52.73,37.12,57.38,47.25,52.73,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_1_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.43329133950545,0.335684781082978,4.5,0.242510113735791,0.849386424793135,73,53.55,36.57,57.24,46.905,53.55,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.475858565414508,0.374549469468299,4.5,0.166334584236348,0.879754656078021,50,65.99,44.71,72.96,58.835,65.99,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.464213030262985,0.354819541084689,4.5,0.189705716432418,0.871056049584454,57,62.59,40.58,68.45,54.515,62.59,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.412815411490683,0.320954936979892,4,0.209889429467238,0.859426204792719,63,47.57,33.49,62.43,47.96,47.57,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.380629047927461,0.293067655807339,3.5,0.287718727408895,0.83276187725839,87,38.17,27.65,48.63,38.14,38.17,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.360882484823399,0.287726449694091,3.5,0.282105405992565,0.829437922900404,85,32.4,26.53,46.91,36.72,32.4,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.323871312111802,0.278165407237479,3.5,0.272959446754393,0.823168403888997,82,21.58,24.53,43.66,34.095,21.58,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.43278559602649,0.432548917855332,6,0.150027791194662,0.892598204977445,45,53.4,56.85,79.61,68.23,53.4,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_6_sigma15_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.485850320085219,0.404939762747706,5,0.155916192568779,0.887645308565949,47,68.91,51.07,77.04,64.055,68.91,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.558028590425532,0.399835734262286,5,0.218275260348398,0.885792622776617,66,90,50,76.08,63.04,90,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.585625,0.361872106940366,4.5,0.203336805813198,0.874038420007264,61,98.06,42.05,70,56.025,98.06,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.56125,0.342488764883562,3.5,0.244392508393921,0.866837456276239,74,90.94,38,66.27,52.135,90.94,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.560221273291926,0.335684781082978,3.5,0.210105883983397,0.865293954885461,63,90.64,36.57,65.47,51.02,90.64,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.528004658385093,0.326591138079413,3.5,0.240060178863395,0.862507512376732,73,81.22,34.67,64.03,49.35,81.22,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.501154467039322,0.300496351999655,3.5,0.208767349858769,0.850235351187096,63,73.38,29.21,57.67,43.44,73.38,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.540390625,0.447308305968251,5,0.192870612120196,0.895682390900895,58,84.84,59.94,81.2,70.57,84.84,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_6_sigma15_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.513101728723405,0.421369562165956,5,0.219498563171043,0.891714343200192,66,76.87,54.51,79.15,66.83,76.87,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.449943636043975,0.374549469468299,4.5,0.178878336949621,0.874571004354059,54,58.42,44.71,70.27,57.49,58.42,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.464582904857884,0.360722463821872,4.5,0.214985525373995,0.868130374499568,65,62.69,41.81,66.94,54.375,62.69,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.407891595496895,0.326591138079413,4,0.21665268170297,0.853333446202845,65,46.13,34.67,59.28,46.975,46.13,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.386094154792746,0.305572613868498,3,0.311059138088632,0.827776748994817,94,39.76,30.27,46.05,38.16,39.76,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.359709821428572,0.295218141654205,3,0.305004588485893,0.82829166018137,92,32.05,28.1,46.31,37.205,32.05,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.318158574380166,0.291293300297113,3,0.319690160470554,0.823756760788076,97,19.91,27.28,43.97,35.625,19.91,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.37865625,0.421369562165956,5.5,0.171811560577471,0.889664924350086,52,37.59,54.51,78.09,66.3,37.59,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_7_sigma50_alpha0.05_knn10_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.424331812888199,0.405564475139437,5,0.164254190567248,0.884549153534857,50,50.93,51.2,75.44,63.32,50.93,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.548515625,0.397030372835457,4,0.230610018373362,0.883070957058122,70,87.22,49.41,74.67,62.04,87.22,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.585703125,0.362090525807227,3,0.231217170854452,0.86965951208533,70,98.08,42.1,67.73,54.915,98.08,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.56084375,0.342488764883562,3.5,0.267356358891265,0.864279024064808,81,90.82,38,64.95,51.475,90.82,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.525429444875777,0.335684781082978,3.5,0.245638114892595,0.860033027528482,74,80.47,36.57,62.75,49.66,80.47,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000_cecde2cad8cccbc897f0fc1f10ea35bd,0.509705454192547,0.332428889124448,3.5,0.243430724626333,0.859297517437635,74,75.88,35.89,62.37,49.13,75.88,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,3000
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.4000_cecde2cad8cccbc897f0fc1f10ea35bd,0.491451305898227,0.313700422647608,3.5,0.249572228425495,0.853660884905841,75,70.55,31.97,59.45,45.71,70.55,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,4000
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500_cecde2cad8cccbc897f0fc1f10ea35bd,0.495687086092716,0.414767526841979,3.5,0.25083913776139,0.888551322339339,76,71.78,53.13,77.51,65.32,71.78,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,500
Scanorama_7_sigma50_alpha0.05_knn10_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.700_cecde2cad8cccbc897f0fc1f10ea35bd,0.500512480345912,0.404939762747706,4.5,0.23578293334961,0.884559425199314,71,73.19,51.07,75.44,63.255,73.19,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,700
Scanorama_8_sigma15_alpha0.05_knn20_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000_cecde2cad8cccbc897f0fc1f10ea35bd,0.482457446808511,0.391192621790422,5,0.161559031715913,0.882626741976692,49,67.92,48.19,74.44,61.315,67.92,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1000
Scanorama_8_sigma15_alpha0.05_knn20_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500_cecde2cad8cccbc897f0fc1f10ea35bd,0.465267080745342,0.367368736152677,4.5,0.161754068606244,0.87635991986307,49,62.89,43.2,71.2,57.2,62.89,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,1500
Scanorama_8_sigma15_alpha0.05_knn20_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000_cecde2cad8cccbc897f0fc1f10ea35bd,0.425668717616581,0.335234250551277,4,0.199221726999102,0.865473409048909,60,51.33,36.48,65.56,51.02,51.33,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2000
Scanorama_8_sigma15_alpha0.05_knn20_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2500_cecde2cad8cccbc897f0fc1f10ea35bd,0.388546794041451,0.305057310175743,3.5,0.294849892040353,0.831050047257183,89,40.48,30.16,47.74,38.95,40.48,RNA,,features_RNA.log.vst.split_Batch_ID,Scanorama,2500
