gene,cluster_id,cluster_name,parent_id,specificity,avg_log2FC,pct.1,pct.2,p_val_adj
Nptx1,C7-1,C7-1: GLU,C2-1,1.56095643851616,0.586871219132045,0.257,0.096,1.31054368818345e-204
Il1rapl1,C7-1,C7-1: GLU,C2-1,2.24065035201589,1.18475282191255,0.625,0.33,4.09989932743456e-203
Gm30382,C7-1,C7-1: GLU,C2-1,2.53311593995884,0.679168766510703,0.275,0.073,4.4785344486426e-198
Hs3st4,C7-1,C7-1: GLU,C2-1,2.48580800762946,0.851200923824634,0.329,0.112,1.77978910227928e-191
Gpr149,C7-1,C7-1: GLU,C2-1,2.23505718973546,0.467215344746961,0.176,0.036,2.34983913799466e-188
H2-Q2,C7-1,C7-1: GLU,C2-1,1.79100685893161,0.470448806263141,0.216,0.056,4.65491305009804e-184
Ncam2,C7-1,C7-1: GLU,C2-1,1.91250399851869,0.99179410896633,0.564,0.292,1.36657200314805e-175
Slit3,C7-1,C7-1: GLU,C2-1,1.91833167450388,0.620396626648065,0.234,0.075,4.33408068372677e-157
Pcdh15,C7-1,C7-1: GLU,C2-1,2.10800078673561,1.02742895487954,0.475,0.231,4.57950219788214e-146
Cntn5,C7-1,C7-1: GLU,C2-1,2.6549895422208,1.2553773489374,0.496,0.234,3.27682011630175e-130
Sfta3-ps,C7-1,C7-1: GLU,C2-1,1.56217394675523,0.35838108190267,0.169,0.038,9.22601577571281e-125
Sgcd,C7-1,C7-1: GLU,C2-1,2.3562282572794,0.86076235229026,0.27,0.098,3.89091418665079e-123
Kcnip4,C7-1,C7-1: GLU,C2-1,2.19948696358217,1.26054631022104,0.594,0.34,2.19479381352641e-116
Kcnh7,C7-1,C7-1: GLU,C2-1,1.56821517265419,0.735100862181653,0.415,0.194,1.70681401722775e-111
Tac1,C7-1,C7-1: GLU,C2-1,1.7560493125083,0.820696585914531,0.29,0.135,4.13531103403971e-109
Cntnap5b,C7-1,C7-1: GLU,C2-1,2.1143512291581,0.716729230223085,0.235,0.079,1.7852313838211e-107
Grm7,C7-1,C7-1: GLU,C2-1,1.872876043108,0.950626476426029,0.527,0.267,2.29956199084899e-93
Nlgn1,C7-1,C7-1: GLU,C2-1,1.5487265385992,1.02662747858521,0.616,0.408,2.62931946099699e-91
Grm8,C7-1,C7-1: GLU,C2-1,1.53064448882439,0.608269145396014,0.306,0.121,1.87660685958083e-78
Nrg3,C7-1,C7-1: GLU,C2-1,2.17295029834524,1.1221362591017,0.456,0.235,2.03684594139769e-75
Astn2,C7-1,C7-1: GLU,C2-1,1.59513647390356,0.76937138008985,0.395,0.19,1.21284156246747e-71
Lingo2,C7-1,C7-1: GLU,C2-1,1.66257815609936,0.965552262476946,0.581,0.337,7.78909530813658e-50
Prkg1,C7-1,C7-1: GLU,C2-1,1.59426742182539,0.806926508344052,0.406,0.205,2.02655391979334e-33
Galntl6,C7-1,C7-1: GLU,C2-1,1.79499752284017,0.98216845589368,0.37,0.202,1.3110060194173e-18
Pomc,C7-1,C7-1: GLU,C2-1,3.3385728779524,2.29526885359228,0.223,0.153,6.92513763420596e-12
3300002A11Rik,C7-1,C7-1: GLU,C2-1,2.44700058252967,0.871534454051662,0.145,0.051,1.59885517247895e-06
Gad2,C7-2,C7-2: GABA,C2-1,7.90690266763056,1.98835346494827,0.679,0.17,0
Gad1,C7-2,C7-2: GABA,C2-1,10.9781334162458,1.78591644092037,0.626,0.101,0
Slc32a1,C7-2,C7-2: GABA,C2-1,17.1874615421924,1.73318939921268,0.594,0.059,0
Dlk1,C7-2,C7-2: GABA,C2-1,3.23828194720548,1.50630885000673,0.573,0.266,0
Dlx1,C7-2,C7-2: GABA,C2-1,11.0614436700219,0.720280052931661,0.214,0.013,0
Dlx6,C7-2,C7-2: GABA,C2-1,8.11517910753778,0.427114689870409,0.151,0.007,0
Dlx6os1,C7-2,C7-2: GABA,C2-1,6.37443747717434,0.391412827545793,0.113,0.006,0
Dlx5,C7-2,C7-2: GABA,C2-1,7.94672394021875,0.383634948838146,0.144,0.006,0
Dlx2,C7-2,C7-2: GABA,C2-1,7.10558441084317,0.373978126886483,0.132,0.006,0
Six6,C7-2,C7-2: GABA,C2-1,5.14149839601521,0.86069136144748,0.226,0.037,4.65433012458539e-258
Six3,C7-2,C7-2: GABA,C2-1,2.3495801307743,0.923049337089902,0.363,0.142,3.4729949923116e-225
Rasl11b,C7-2,C7-2: GABA,C2-1,1.89930017783956,0.497013130649604,0.106,0.027,5.16327930277131e-68
Tcf7l2,C25-1,C25-1: GLU-1,C7-1,14.2445864907442,2.1007167956047,0.494,0.072,0
Zic1,C25-1,C25-1: GLU-1,C7-1,11.0614164647779,1.41112720332558,0.485,0.061,0
Shox2,C25-1,C25-1: GLU-1,C7-1,68.4647871346972,1.07818562416846,0.253,0.003,0
Zic4,C25-1,C25-1: GLU-1,C7-1,8.97926086260899,0.871772899282427,0.308,0.029,1.17281569822994e-276
Ntng1,C25-1,C25-1: GLU-1,C7-1,2.95870740055344,1.80426696696326,0.814,0.496,3.09372604655602e-265
Wls,C25-1,C25-1: GLU-1,C7-1,2.71304820395329,0.527179982758696,0.21,0.04,1.11752414427355e-165
Lef1,C25-1,C25-1: GLU-1,C7-1,3.49892733599281,0.449186617458536,0.147,0.018,1.24757402278367e-160
Wnt3,C25-1,C25-1: GLU-1,C7-1,2.52290192806315,0.333913490478946,0.135,0.017,1.93173659074087e-119
Nbl1,C25-1,C25-1: GLU-1,C7-1,3.477379023527,0.519011794556269,0.133,0.019,6.33468049529151e-108
Mir124-2hg,C25-1,C25-1: GLU-1,C7-1,2.06830352737367,1.01171454593426,0.506,0.247,1.25331106048671e-101
Kitl,C25-1,C25-1: GLU-1,C7-1,1.97617217805352,0.475145223138551,0.182,0.043,6.21681505463146e-99
Lhx9,C25-1,C25-1: GLU-1,C7-1,4.48838881068335,0.627909315484199,0.192,0.026,2.11344148040348e-98
Igf1,C25-1,C25-1: GLU-1,C7-1,1.89970739374345,0.446239991818932,0.148,0.034,5.77488959037596e-84
Rnf207,C25-1,C25-1: GLU-1,C7-1,1.9660114003752,0.623369468411648,0.245,0.077,7.98409556171826e-84
Mef2c,C25-1,C25-1: GLU-1,C7-1,2.38597944247395,1.23865439956184,0.417,0.216,1.14531874984374e-79
Synpo2,C25-1,C25-1: GLU-1,C7-1,1.63644312710731,0.379888583078483,0.111,0.025,1.96499659383602e-69
Slc29a1,C25-1,C25-1: GLU-1,C7-1,1.52146105528875,0.651209011991292,0.256,0.109,1.97676855092668e-68
2900064K03Rik,C25-1,C25-1: GLU-1,C7-1,2.068056214133,1.04545383200646,0.361,0.182,6.35752770981036e-59
Cpne7,C25-1,C25-1: GLU-1,C7-1,1.55780710628864,0.902976685503589,0.451,0.261,3.51186918156232e-55
Gm43670,C25-1,C25-1: GLU-1,C7-1,2.19030207250497,1.31876826355012,0.381,0.229,3.67454597750078e-50
Ramp3,C25-1,C25-1: GLU-1,C7-1,2.12700738911617,0.479619313232077,0.101,0.022,8.66517400030458e-42
Cck,C25-1,C25-1: GLU-1,C7-1,1.54982173809741,0.790105199814365,0.203,0.103,9.8680493712999e-37
Gm42769,C25-1,C25-1: GLU-1,C7-1,1.68453314688396,0.928439061153868,0.302,0.166,1.11870932043153e-27
Trh,C25-2,C25-2: GLU-2,C7-1,15.2170400984497,2.66446227404762,0.256,0.044,0
Ebf1,C25-2,C25-2: GLU-2,C7-1,8.52439783123551,0.983584365142559,0.155,0.017,0
Otp,C25-2,C25-2: GLU-2,C7-1,5.96810420816888,0.898961303322509,0.238,0.035,0
Htr2c,C25-2,C25-2: GLU-2,C7-1,1.6908318926724,0.890384879651955,0.375,0.197,0
Ebf3,C25-2,C25-2: GLU-2,C7-1,5.81563083907789,0.568193817611058,0.173,0.016,0
Zfp536,C25-2,C25-2: GLU-2,C7-1,1.68791787789476,0.538387598983674,0.231,0.073,0
Uncx,C25-2,C25-2: GLU-2,C7-1,2.3132465383574,0.475324631169329,0.218,0.044,0
Mdga1,C25-2,C25-2: GLU-2,C7-1,1.78257475533145,0.438787632081587,0.194,0.047,0
Sim1,C25-2,C25-2: GLU-2,C7-1,1.62381486242471,0.447687275154477,0.213,0.058,4.62585816450533e-265
Zic1,C25-2,C25-2: GLU-2,C7-1,4.61169236613563,0.683213683871945,0.188,0.027,7.98354844541617e-191
Cbln2,C25-2,C25-2: GLU-2,C7-1,1.54331952101615,0.671570000776902,0.238,0.103,9.34075376711156e-126
Nxph4,C25-2,C25-2: GLU-2,C7-1,1.50297952137484,0.468819300245363,0.217,0.067,1.04814725504832e-96
Rbfox1,C25-3,C25-3: GLU-3,C7-1,1.85719301517583,1.2607428991909,0.656,0.445,0
Camkv,C25-3,C25-3: GLU-3,C7-1,2.21000655008146,1.18175972795968,0.762,0.407,0
Phactr1,C25-3,C25-3: GLU-3,C7-1,1.58887286332191,1.05153560048327,0.617,0.408,0
Hs3st4,C25-3,C25-3: GLU-3,C7-1,2.54036147383469,0.995616416007939,0.494,0.193,0
Cdh13,C25-3,C25-3: GLU-3,C7-1,1.77110025215107,0.977158759807485,0.695,0.383,0
Slit3,C25-3,C25-3: GLU-3,C7-1,3.23617008823272,0.976796745792029,0.38,0.114,0
Gria3,C25-3,C25-3: GLU-3,C7-1,1.70010049983705,0.96464961694458,0.674,0.382,0
Kcnq3,C25-3,C25-3: GLU-3,C7-1,1.66570111178005,0.955328578815029,0.611,0.35,0
Fezf1,C25-3,C25-3: GLU-3,C7-1,6.38453288934594,0.898971584994112,0.347,0.048,0
Gpr149,C25-3,C25-3: GLU-3,C7-1,6.0895483665987,0.875144675439335,0.333,0.047,0
Gm30382,C25-3,C25-3: GLU-3,C7-1,2.52354854961698,0.868570198472819,0.429,0.147,0
Cadps2,C25-3,C25-3: GLU-3,C7-1,2.19848542081009,0.864170440359158,0.49,0.192,0
Gm1604a,C25-3,C25-3: GLU-3,C7-1,1.97847773900475,0.82135237728918,0.382,0.158,0
Lmo3,C25-3,C25-3: GLU-3,C7-1,2.21629168586687,0.796991591469368,0.405,0.145,0
Cdh4,C25-3,C25-3: GLU-3,C7-1,1.76061088628156,0.772617592814819,0.514,0.225,0
Cnr1,C25-3,C25-3: GLU-3,C7-1,1.50928385125729,0.754641925628646,0.523,0.261,0
Rreb1,C25-3,C25-3: GLU-3,C7-1,2.51158822850659,0.735098993709246,0.327,0.095,0
Fstl4,C25-3,C25-3: GLU-3,C7-1,1.78695578591464,0.688503552808288,0.339,0.13,0
Tmem132d,C25-3,C25-3: GLU-3,C7-1,1.92740348067836,0.665010557660955,0.341,0.117,0
Rasal1,C25-3,C25-3: GLU-3,C7-1,1.82157494172885,0.511002871442086,0.302,0.084,0
Nr5a1,C25-3,C25-3: GLU-3,C7-1,10.7200091346297,0.433757595042822,0.172,0.006,0
Hmcn2,C25-3,C25-3: GLU-3,C7-1,3.01238252532815,0.37138962641032,0.145,0.017,1.36033346028558e-292
Lama1,C25-3,C25-3: GLU-3,C7-1,1.95877540918576,0.310702306284638,0.144,0.022,1.1419775587776e-289
Nptx1,C25-3,C25-3: GLU-3,C7-1,2.43191373578043,0.79871676616318,0.407,0.133,1.29472123905429e-282
Megf11,C25-3,C25-3: GLU-3,C7-1,1.60537731586953,0.467292927623995,0.212,0.061,1.59299641196409e-277
Fndc1,C25-3,C25-3: GLU-3,C7-1,1.77622268446776,0.379297552412385,0.191,0.04,2.14246597539866e-255
Hydin,C25-3,C25-3: GLU-3,C7-1,1.5297336323246,0.31915305998139,0.138,0.028,4.49264530567637e-254
Palmd,C25-3,C25-3: GLU-3,C7-1,1.57204190928584,0.373468519885586,0.18,0.042,5.51974080804258e-238
Gpr150,C25-3,C25-3: GLU-3,C7-1,1.51875225131731,0.3694262232934,0.184,0.044,5.28058293461486e-233
Gpr88,C25-3,C25-3: GLU-3,C7-1,3.7087729536226,0.646483358888343,0.217,0.037,4.20033202174786e-228
Rprml,C25-3,C25-3: GLU-3,C7-1,1.6521390727587,0.478880890654696,0.275,0.079,1.75321864636194e-226
Qrfpr,C25-3,C25-3: GLU-3,C7-1,2.30889035548829,0.409862193281946,0.168,0.029,4.38240640805849e-183
Pdzrn4,C25-3,C25-3: GLU-3,C7-1,1.79058318862534,1.07240009482098,0.55,0.329,1.26826988739066e-152
C1ql3,C25-4,C25-4: GLU-4,C7-1,5.53724935092153,1.31732948267891,0.247,0.058,0
Rorb,C25-4,C25-4: GLU-4,C7-1,2.65114416767938,1.1588156809686,0.468,0.204,0
Synpr,C25-4,C25-4: GLU-4,C7-1,2.09118795251258,1.00133603017137,0.377,0.18,0
Lhx9,C25-4,C25-4: GLU-4,C7-1,8.77340230958808,0.605062228247453,0.202,0.013,0
Hmx2,C25-4,C25-4: GLU-4,C7-1,16.5785221403065,0.499854938903714,0.198,0.005,0
Rfx4,C25-4,C25-4: GLU-4,C7-1,2.71098966222051,0.418770760830811,0.122,0.018,0
Hmx3,C25-4,C25-4: GLU-4,C7-1,8.40944592057432,0.333708171451362,0.125,0.004,0
Hmcn1,C25-4,C25-4: GLU-4,C7-1,3.75464984182272,0.591009697323946,0.107,0.016,9.07181211091653e-307
Hcrt,C25-4,C25-4: GLU-4,C7-1,8.71116994261045,5.48231930751159,0.258,0.162,1.81298171641308e-135
Pomc,C25-5,C25-5: GLU-5,C7-1,15.7296314341289,5.32777838897915,0.557,0.188,0
Tac2,C25-5,C25-5: GLU-5,C7-1,15.8669521992885,3.42228380768967,0.254,0.054,0
Asb4,C25-5,C25-5: GLU-5,C7-1,8.07732280964071,1.49580052030384,0.35,0.064,0
Ecel1,C25-5,C25-5: GLU-5,C7-1,5.71241020653603,1.35843901252991,0.491,0.116,0
Tbx3,C25-5,C25-5: GLU-5,C7-1,36.2038054826258,1.2332196514763,0.41,0.013,0
Npy1r,C25-5,C25-5: GLU-5,C7-1,3.75522483893693,1.05316503981517,0.352,0.098,0
Rnf128,C25-5,C25-5: GLU-5,C7-1,2.19287509050605,1.03226944464025,0.392,0.184,0
Hs6st2,C25-5,C25-5: GLU-5,C7-1,1.76481824112859,1.02647591575846,0.587,0.341,0
Gpr101,C25-5,C25-5: GLU-5,C7-1,2.49120289863389,0.921302847127916,0.337,0.124,0
Esr1,C25-5,C25-5: GLU-5,C7-1,3.06071441704935,0.908939432941928,0.329,0.097,0
Isl1,C25-5,C25-5: GLU-5,C7-1,2.49093442365949,0.830311474553162,0.422,0.14,0
Gfra1,C25-5,C25-5: GLU-5,C7-1,2.85368676918018,0.792190648857588,0.316,0.087,0
Rxfp1,C25-5,C25-5: GLU-5,C7-1,5.94110280669164,0.737784008674126,0.152,0.018,0
Stk32a,C25-5,C25-5: GLU-5,C7-1,2.11442956513673,0.676875318107794,0.327,0.104,0
Nr5a2,C25-5,C25-5: GLU-5,C7-1,21.414370536269,0.656882531787394,0.162,0.004,0
Tbx3os1,C25-5,C25-5: GLU-5,C7-1,12.7932041045292,0.541511284847799,0.188,0.007,0
Npy5r,C25-5,C25-5: GLU-5,C7-1,2.11827347305786,0.496628708994426,0.208,0.048,0
Greb1,C25-5,C25-5: GLU-5,C7-1,2.54934868295236,0.440175312164436,0.138,0.023,0
Serpina3n,C25-5,C25-5: GLU-5,C7-1,3.07742505015319,0.831342312126692,0.21,0.056,6.89241482578059e-277
Prlr,C25-5,C25-5: GLU-5,C7-1,1.74213283623512,0.970212189285415,0.491,0.273,1.1675619709046e-273
Nhlh2,C25-5,C25-5: GLU-5,C7-1,2.08301849817756,0.754344147488169,0.242,0.087,3.82172800676194e-265
Brs3,C25-5,C25-5: GLU-5,C7-1,2.77149692836359,0.319788107118876,0.103,0.011,8.96025122372473e-250
Col2a1,C25-5,C25-5: GLU-5,C7-1,1.66064175541663,0.361009077264486,0.114,0.024,2.88543622280562e-244
Shisal2a,C25-5,C25-5: GLU-5,C7-1,2.10145321509542,0.420290643019084,0.139,0.027,2.60325251787439e-240
Il1rapl2,C25-5,C25-5: GLU-5,C7-1,1.61504441407231,0.977002176414112,0.242,0.146,1.69859652091981e-226
Tmem176b,C25-5,C25-5: GLU-5,C7-1,1.51264683683248,0.625600852270223,0.323,0.133,7.37843562943924e-216
Pdyn,C25-5,C25-5: GLU-5,C7-1,2.21213345096072,0.858747457671087,0.321,0.124,1.76313975250506e-210
Vgf,C25-5,C25-5: GLU-5,C7-1,1.57098339675508,0.961584295746811,0.396,0.242,1.07133181293736e-203
Fam183b,C25-5,C25-5: GLU-5,C7-1,1.56262049172749,0.679615896402115,0.314,0.136,2.31757729652091e-199
Six6,C25-5,C25-5: GLU-5,C7-1,2.10116846037805,0.383321273177077,0.147,0.026,5.86868172162579e-188
Cartpt,C25-5,C25-5: GLU-5,C7-1,3.95880668242237,2.72897331396009,0.44,0.303,2.19296929959485e-185
Shisal2b,C25-5,C25-5: GLU-5,C7-1,3.66467487264911,0.666304522299838,0.142,0.025,2.31844828881638e-152
Avp,C25-6,C25-6: GLU-6,C7-1,22.5926034803149,8.32503207032211,0.824,0.303,0
Oxt,C25-6,C25-6: GLU-6,C7-1,21.6804179926681,6.97543883242366,0.689,0.221,0
Caprin2,C25-6,C25-6: GLU-6,C7-1,8.64413043961978,1.74807090522923,0.538,0.108,0
Pou3f2,C25-6,C25-6: GLU-6,C7-1,10.6377027910681,1.66043045280824,0.582,0.09,0
Pde4b,C25-6,C25-6: GLU-6,C7-1,1.90216239464792,1.64294256735425,0.52,0.449,0
Zfp804b,C25-6,C25-6: GLU-6,C7-1,2.62706294530046,1.54996713772727,0.299,0.176,0
Fign,C25-6,C25-6: GLU-6,C7-1,5.9387171898462,1.37405613412128,0.509,0.117,0
Foxp2,C25-6,C25-6: GLU-6,C7-1,5.77037560848415,1.26226966435591,0.479,0.104,0
Angpt1,C25-6,C25-6: GLU-6,C7-1,7.74465061872689,1.2391440989963,0.374,0.059,0
Elavl2,C25-6,C25-6: GLU-6,C7-1,1.85254956212848,1.23415588727025,0.703,0.468,0
Auts2,C25-6,C25-6: GLU-6,C7-1,1.75463017481866,1.21537565931277,0.64,0.443,0
Sim1,C25-6,C25-6: GLU-6,C7-1,5.74645200939757,1.12375061517108,0.449,0.087,0
Maml3,C25-6,C25-6: GLU-6,C7-1,3.31776513906198,1.12123918827025,0.36,0.121,0
Ptbp3,C25-6,C25-6: GLU-6,C7-1,4.00141384015559,1.11514811938762,0.487,0.135,0
Rbms1,C25-6,C25-6: GLU-6,C7-1,2.81616299652038,1.10799855600802,0.487,0.191,0
Otp,C25-6,C25-6: GLU-6,C7-1,6.12573346524287,1.09088404175558,0.437,0.077,0
Tent5a,C25-6,C25-6: GLU-6,C7-1,4.06493569360772,1.07909375371545,0.387,0.102,0
Parm1,C25-6,C25-6: GLU-6,C7-1,2.64154455175145,1.07246708801109,0.499,0.202,0
Pcsk1,C25-6,C25-6: GLU-6,C7-1,2.75775771970505,1.06498773728447,0.491,0.189,0
Kcnh1,C25-6,C25-6: GLU-6,C7-1,2.2754767783891,0.979647177939727,0.438,0.188,0
Stxbp6,C25-6,C25-6: GLU-6,C7-1,2.83390747074313,0.978753595990293,0.442,0.152,0
Cdh9,C25-6,C25-6: GLU-6,C7-1,2.87672385921138,0.954125369763375,0.4,0.132,0
Fkbp11,C25-6,C25-6: GLU-6,C7-1,4.87438605277643,0.861141535990504,0.299,0.052,0
Th,C25-6,C25-6: GLU-6,C7-1,12.1415454880553,0.844629251342976,0.229,0.015,0
Ebf3,C25-6,C25-6: GLU-6,C7-1,5.33201839285983,0.81902476880919,0.318,0.048,0
Adcy8,C25-6,C25-6: GLU-6,C7-1,2.24064049199719,0.801581246432798,0.354,0.126,0
Grm3,C25-6,C25-6: GLU-6,C7-1,2.62397926977025,0.801506395129823,0.274,0.083,0
Zeb2,C25-6,C25-6: GLU-6,C7-1,5.59643058512924,0.774348885992725,0.317,0.043,0
Nog,C25-6,C25-6: GLU-6,C7-1,3.5402753560622,0.771149087459093,0.302,0.065,0
Plpp4,C25-6,C25-6: GLU-6,C7-1,3.09688945082716,0.76063951423825,0.341,0.083,0
Necab1,C25-6,C25-6: GLU-6,C7-1,2.06321373532968,0.66666516239065,0.358,0.115,0
Tmem178,C25-6,C25-6: GLU-6,C7-1,3.00325726095616,0.626507309404761,0.301,0.062,0
Tns1,C25-6,C25-6: GLU-6,C7-1,5.84598147263453,0.610774183708085,0.267,0.027,0
Plekhg1,C25-6,C25-6: GLU-6,C7-1,5.32361207669457,0.516855541426657,0.205,0.019,0
Creb3l2,C25-6,C25-6: GLU-6,C7-1,2.94891428570435,0.480938810544057,0.232,0.037,0
Dnah8,C25-6,C25-6: GLU-6,C7-1,4.4720795434516,0.360167480009525,0.148,0.011,1.66880539388749e-308
Fezf2,C25-6,C25-6: GLU-6,C7-1,3.44762663826914,0.373309890767997,0.156,0.016,5.37779891602654e-303
Kcnmb4,C25-6,C25-6: GLU-6,C7-1,2.48954124366735,0.83984523882754,0.414,0.139,7.20768069799707e-287
Ryr1,C25-6,C25-6: GLU-6,C7-1,2.62478686091216,0.545410256812917,0.23,0.047,6.97014275282724e-286
Pdyn,C25-6,C25-6: GLU-6,C7-1,3.33064247428104,1.07593201069411,0.42,0.135,1.36572497034851e-285
Zfp804a,C25-6,C25-6: GLU-6,C7-1,2.27829347712986,1.22854812817383,0.394,0.212,5.28548704798362e-271
Gal,C25-6,C25-6: GLU-6,C7-1,4.21764760208832,1.5584841023883,0.432,0.159,1.65356583026385e-261
Glp1r,C25-6,C25-6: GLU-6,C7-1,4.32305221355378,0.546069753291003,0.189,0.023,3.041049221731e-256
Tshz1,C25-6,C25-6: GLU-6,C7-1,1.92996695172153,0.602713931766856,0.3,0.093,1.10415441437859e-234
2610001J05Rik,C25-6,C25-6: GLU-6,C7-1,2.39518197648029,1.13579882422776,0.406,0.192,3.46092457533587e-231
Gm42769,C25-6,C25-6: GLU-6,C7-1,1.99619162428112,1.03575980505152,0.317,0.164,5.24825254589781e-228
Ptger4,C25-6,C25-6: GLU-6,C7-1,2.092748824923,0.3383486124127,0.166,0.026,3.9531545470767e-217
Gm10048,C25-6,C25-6: GLU-6,C7-1,1.65585502655741,0.881534330685241,0.277,0.147,8.95408798898676e-215
Sfrp1,C25-6,C25-6: GLU-6,C7-1,2.33529307746351,0.384094256161761,0.151,0.024,3.27286949765063e-205
Tmem176b,C25-6,C25-6: GLU-6,C7-1,1.69352290443621,0.648961532933559,0.38,0.145,1.93963020748498e-185
Nnmt,C25-6,C25-6: GLU-6,C7-1,2.59193858455464,0.301388207506353,0.128,0.014,1.70289016246387e-182
Gm43048,C25-6,C25-6: GLU-6,C7-1,1.56692783249895,0.639709069231224,0.217,0.088,1.04686744214375e-177
Cd302,C25-6,C25-6: GLU-6,C7-1,1.8809052162497,0.518870404482676,0.231,0.063,6.73610340176676e-175
C1ql2,C25-6,C25-6: GLU-6,C7-1,1.72995954570553,0.548523758394438,0.286,0.09,2.18662467456674e-174
Vim,C25-6,C25-6: GLU-6,C7-1,2.01789995140873,0.389821581522141,0.175,0.033,1.10703724294815e-167
Sncg,C25-6,C25-6: GLU-6,C7-1,1.95050806958622,0.82021364977472,0.194,0.081,2.4235739647552e-53
Gm15772,C25-6,C25-6: GLU-6,C7-1,1.75110449751166,0.715668794635202,0.114,0.046,8.27787916214873e-10
Pmch,C25-7,C25-7: GLU-7,C7-1,36.1932609885417,9.27657748848597,0.99,0.253,0
Parpbp,C25-7,C25-7: GLU-7,C7-1,102.820854825714,2.50782572745644,0.286,0.006,0
Tacr3,C25-7,C25-7: GLU-7,C7-1,30.4424835044989,1.7455552468176,0.435,0.024,0
Igf1,C25-7,C25-7: GLU-7,C7-1,24.5801531133595,1.50490733347099,0.538,0.032,0
Zic1,C25-7,C25-7: GLU-7,C7-1,9.8970757325719,1.27640857662138,0.503,0.064,0
Otx1,C25-7,C25-7: GLU-7,C7-1,84.0356354106308,0.918422244924927,0.365,0.003,0
Cartpt,C25-7,C25-7: GLU-7,C7-1,10.7741693632955,4.30691572249235,0.782,0.312,5.95483005162413e-293
Dab2,C25-7,C25-7: GLU-7,C7-1,10.2620401499293,0.517079542438297,0.257,0.012,4.67691662531622e-233
Gad1,C25-7,C25-7: GLU-7,C7-1,9.39997419027364,1.57996170600525,0.588,0.098,5.07779182749855e-231
Tent5a,C25-7,C25-7: GLU-7,C7-1,8.03646664283054,1.54937284825742,0.554,0.106,2.29287010739979e-196
Thsd7a,C25-7,C25-7: GLU-7,C7-1,4.12651887920336,1.30769964481797,0.567,0.179,5.71410595401149e-194
Adgrf5,C25-7,C25-7: GLU-7,C7-1,11.0772618131439,0.865974864871186,0.306,0.023,2.52482788950328e-191
Rspo3,C25-7,C25-7: GLU-7,C7-1,7.28128598267875,1.04866347033145,0.367,0.052,1.398263883684e-187
Ell2,C25-7,C25-7: GLU-7,C7-1,5.05079980144185,0.857944075861355,0.364,0.061,1.03804134615957e-175
Zic4,C25-7,C25-7: GLU-7,C7-1,4.80597526945789,0.589238347213228,0.26,0.031,1.42282657924951e-172
Mup6,C25-7,C25-7: GLU-7,C7-1,48.2494409922,0.588407816978048,0.163,0.001,5.31751766580473e-170
Osbpl3,C25-7,C25-7: GLU-7,C7-1,5.21362779336052,0.691932083686736,0.323,0.042,2.56473400468362e-155
Enpp2,C25-7,C25-7: GLU-7,C7-1,6.11379714116227,1.35406245408292,0.446,0.098,7.32344629446188e-155
Fkbp11,C25-7,C25-7: GLU-7,C7-1,8.39975595783556,1.44137824128539,0.337,0.057,2.35464645207244e-147
Cd302,C25-7,C25-7: GLU-7,C7-1,5.48248345267982,1.00792174896063,0.358,0.065,5.36805806675367e-143
Maged2,C25-7,C25-7: GLU-7,C7-1,3.71739131550965,1.61405644107605,0.66,0.286,1.49198932637587e-142
