assay,method,mixing_score,purity_score,reduction,ndim,features_ngenes
RNA,combat,66.815,52.4975,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..60..e0758c66a6a70d30247817bce8502135,60,1500
RNA,combat,68.715,55.9875,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..80..e0758c66a6a70d30247817bce8502135,80,1500
RNA,combat,59.11,33.9025,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..30..e0758c66a6a70d30247817bce8502135,30,2000
RNA,combat,61.38,43.65,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..50..e0758c66a6a70d30247817bce8502135,50,2000
RNA,combat,63.34,52.685,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..60..e0758c66a6a70d30247817bce8502135,60,2000
RNA,combat,65.945,53.745,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..80..e0758c66a6a70d30247817bce8502135,80,2000
RNA,combat,56.22,27.28,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..30..e0758c66a6a70d30247817bce8502135,30,3000
RNA,combat,58.59,40.415,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..50..e0758c66a6a70d30247817bce8502135,50,3000
RNA,combat,60.79,46.315,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..60..e0758c66a6a70d30247817bce8502135,60,3000
RNA,combat,62.935,50.7675,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..80..e0758c66a6a70d30247817bce8502135,80,3000
RNA,combat,74.38,29.9975,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..30..e0758c66a6a70d30247817bce8502135,30,500
RNA,combat,75.795,43.3975,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..50..e0758c66a6a70d30247817bce8502135,50,500
RNA,combat,76.825,45.445,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..60..e0758c66a6a70d30247817bce8502135,60,500
RNA,combat,78.005,51.535,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..80..e0758c66a6a70d30247817bce8502135,80,500
RNA,combat,69.36,36.5,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..30..e0758c66a6a70d30247817bce8502135,30,750
RNA,combat,71.495,46.785,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..50..e0758c66a6a70d30247817bce8502135,50,750
RNA,combat,72.91,51.46,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..60..e0758c66a6a70d30247817bce8502135,60,750
RNA,combat,74.385,52.66,combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..80..e0758c66a6a70d30247817bce8502135,80,750
RNA,combat,61.56,57.9825,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..30..e0758c66a6a70d30247817bce8502135,30,1000
RNA,combat,63.895,77.9075,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..50..e0758c66a6a70d30247817bce8502135,50,1000
RNA,combat,65.795,79.35,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..60..e0758c66a6a70d30247817bce8502135,60,1000
RNA,combat,67.91,80.815,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..80..e0758c66a6a70d30247817bce8502135,80,1000
RNA,combat,58.385,55.1675,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..30..e0758c66a6a70d30247817bce8502135,30,1500
RNA,combat,60.21,71.8475,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..50..e0758c66a6a70d30247817bce8502135,50,1500
RNA,combat,61.725,76.3525,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..60..e0758c66a6a70d30247817bce8502135,60,1500
RNA,combat,63.88,80.14,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..80..e0758c66a6a70d30247817bce8502135,80,1500
RNA,combat,56.805,53.9325,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..30..e0758c66a6a70d30247817bce8502135,30,2000
RNA,combat,58.49,74.6275,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..50..e0758c66a6a70d30247817bce8502135,50,2000
RNA,combat,60.49,75.9775,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..60..e0758c66a6a70d30247817bce8502135,60,2000
RNA,combat,62.55,77.1325,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..80..e0758c66a6a70d30247817bce8502135,80,2000
RNA,combat,53.86,46.8175,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..30..e0758c66a6a70d30247817bce8502135,30,3000
RNA,combat,55.595,66.1175,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..50..e0758c66a6a70d30247817bce8502135,50,3000
RNA,combat,57.065,74.6625,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..60..e0758c66a6a70d30247817bce8502135,60,3000
RNA,combat,59.6,77.7125,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..80..e0758c66a6a70d30247817bce8502135,80,3000
RNA,combat,67.83,59.2125,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..30..e0758c66a6a70d30247817bce8502135,30,500
RNA,combat,69.57,75.855,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..50..e0758c66a6a70d30247817bce8502135,50,500
RNA,combat,71.085,77.7025,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..60..e0758c66a6a70d30247817bce8502135,60,500
RNA,combat,74.285,80.56,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..80..e0758c66a6a70d30247817bce8502135,80,500
RNA,combat,63.99,57.7625,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..30..e0758c66a6a70d30247817bce8502135,30,750
RNA,combat,66.25,77.7625,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..50..e0758c66a6a70d30247817bce8502135,50,750
RNA,combat,67.85,79.2525,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..60..e0758c66a6a70d30247817bce8502135,60,750
RNA,combat,70.09,81.625,combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..80..e0758c66a6a70d30247817bce8502135,80,750
RNA,harmony,80.15,53.9125,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,30,1000
RNA,harmony,77.23,50.6225,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,30,1500
RNA,harmony,74.415,49.42,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,30,2000
RNA,harmony,71.36,48.225,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,30,3000
RNA,harmony,82.945,55.325,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,30,500
RNA,harmony,81.585,51.94,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,30,750
RNA,harmony,80.48,67.565,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,50,1000
RNA,harmony,78.315,59.9425,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,50,1500
RNA,harmony,75.115,56.2175,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,50,2000
RNA,harmony,71.12,57.125,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,50,3000
RNA,harmony,83.45,71.9025,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,50,500
RNA,harmony,81.495,66.0825,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,50,750
RNA,harmony,81.115,71.5475,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,60,1000
RNA,harmony,78.68,66.37,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,60,1500
RNA,harmony,75.905,59.1925,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,60,2000
RNA,harmony,71.775,56.585,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,60,3000
RNA,harmony,84.035,73.2725,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,60,500
RNA,harmony,81.895,72.67,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,60,750
RNA,harmony,81.905,75.0825,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,80,1000
RNA,harmony,80.04,70.995,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,80,1500
RNA,harmony,77.175,64.565,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,80,2000
RNA,harmony,73.48,60.2675,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,80,3000
RNA,harmony,84.945,75.23,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,80,500
RNA,harmony,82.71,76.7275,harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,80,750
RNA,harmony,81.4,53.695,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,30,1000
RNA,harmony,78.595,50.495,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,30,1500
RNA,harmony,75.53,49.1075,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,30,2000
RNA,harmony,71.41,49.8125,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,30,3000
RNA,harmony,83.23,54.9975,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,30,500
RNA,harmony,82.48,52.0175,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,30,750
RNA,harmony,80.865,66.7925,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,50,1000
RNA,harmony,79.03,62.5325,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,50,1500
RNA,harmony,76.015,59.5775,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,50,2000
RNA,harmony,72.52,55.6375,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,50,3000
RNA,harmony,83.345,72.105,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,50,500
RNA,harmony,81.67,67.9325,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,50,750
RNA,harmony,80.94,72.04,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,60,1000
RNA,harmony,79.06,68.9425,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,60,1500
RNA,harmony,76.305,61.78,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,60,2000
RNA,harmony,72.445,59.1,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,60,3000
RNA,harmony,83.935,75.0925,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,60,500
RNA,harmony,81.6,72.21,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,60,750
RNA,harmony,81.415,76.1775,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,80,1000
RNA,harmony,79.895,75.5475,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,80,1500
RNA,harmony,77.475,68.75,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,80,2000
RNA,harmony,73.585,62.9675,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,80,3000
RNA,harmony,84.585,77.965,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,80,500
RNA,harmony,82.24,78.025,harmony_6_Batch_ID_1_0.125_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,80,750
scVI,scVI,70.215,79.5975,scVI_1_300_0.025_3_256_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_73e0c7a2fe2b9ab7fe2f1b1afa2980d6,90,750
scVI,scVI,60.745,84.5575,scVI_2_100_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_a180065364af54627d4f1a769a931b0e,50,1000
scVI,scVI,63.055,84.045,scVI_2_100_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_a180065364af54627d4f1a769a931b0e,50,750
scVI,scVI,60.615,84.185,scVI_2_100_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_934af3ead2760818b6c031c9d5e7998c,90,1000
scVI,scVI,62.65,85.7175,scVI_2_100_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_934af3ead2760818b6c031c9d5e7998c,90,750
scVI,scVI,62.365,81.02,scVI_2_250_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_71b92701916dc14bd2691726ff9c4072,50,1000
scVI,scVI,64.2,80.9175,scVI_2_250_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_71b92701916dc14bd2691726ff9c4072,50,750
scVI,scVI,63.335,79.5775,scVI_2_250_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_622f033632606854b779936832e11b28,90,1000
scVI,scVI,65.025,79.805,scVI_2_250_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_622f033632606854b779936832e11b28,90,750
scVI,scVI,62.61,78.6525,scVI_2_300_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_1394631a6185ec4ae84e19a9ee83755d,50,1000
scVI,scVI,63.635,80.4675,scVI_2_300_0.05_3_128_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_1394631a6185ec4ae84e19a9ee83755d,50,750
scVI,scVI,64.84,79.3025,scVI_2_300_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_73e0c7a2fe2b9ab7fe2f1b1afa2980d6,90,1000
scVI,scVI,65.72,80.7875,scVI_2_300_0.05_3_128_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_73e0c7a2fe2b9ab7fe2f1b1afa2980d6,90,750
scVI,scVI,63.48,80.1475,scVI_3_100_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_a180065364af54627d4f1a769a931b0e,50,1000
scVI,scVI,65.525,79.855,scVI_3_100_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_a180065364af54627d4f1a769a931b0e,50,750
scVI,scVI,65.085,79.9075,scVI_3_100_0.05_3_256_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_934af3ead2760818b6c031c9d5e7998c,90,1000
scVI,scVI,66.45,79.03,scVI_3_100_0.05_3_256_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_934af3ead2760818b6c031c9d5e7998c,90,750
scVI,scVI,65.37,78.6825,scVI_3_250_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_71b92701916dc14bd2691726ff9c4072,50,1000
scVI,scVI,67.92,78.15,scVI_3_250_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_71b92701916dc14bd2691726ff9c4072,50,750
scVI,scVI,67.865,78.22,scVI_3_250_0.05_3_256_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_622f033632606854b779936832e11b28,90,1000
scVI,scVI,69.045,76.8825,scVI_3_250_0.05_3_256_gene_zinb_cov2..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_622f033632606854b779936832e11b28,90,750
scVI,scVI,66.225,79.0925,scVI_3_300_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_1394631a6185ec4ae84e19a9ee83755d,50,1000
scVI,scVI,67.88,78.4625,scVI_3_300_0.05_3_256_gene_zinb_cov2..scVI..50..features_RNA.log.vst.split_Batch_ID.features.750_1394631a6185ec4ae84e19a9ee83755d,50,750
RNA,harmony,91.255,36.4475,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,30,1000
RNA,harmony,89.66,40.045,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,30,1500
RNA,harmony,88.45,27.145,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,30,2000
RNA,harmony,86.62,25.7025,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,30,3000
RNA,harmony,91.975,37.2275,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,30,500
RNA,harmony,90.75,32.9675,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,30,750
RNA,harmony,89.13,61.24,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,50,1000
RNA,harmony,88.065,55.755,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,50,1500
RNA,harmony,86.675,48.8525,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,50,2000
RNA,harmony,83.895,45.1475,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,50,3000
RNA,harmony,85.535,68.3475,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,50,500
RNA,harmony,84.085,67.0925,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,50,750
RNA,harmony,83.53,71.005,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,60,1000
RNA,harmony,87.56,59.2325,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,60,1500
RNA,harmony,86.59,52.28,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,60,2000
RNA,harmony,84.09,55.54,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,60,3000
RNA,harmony,85.9,71.6175,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00,60,500
RNA,harmony,84.005,70.2125,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00,60,750
RNA,harmony,83.42,74.8575,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00,80,1000
RNA,harmony,81.67,72.66,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00,80,1500
RNA,harmony,79.35,66.9125,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00,80,2000
RNA,harmony,84.215,55.9325,harmony_11_Batch_ID_3_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00,80,3000
