name,description,description_link,signature_length,n_cells,marker_genes
Oxt_Avp,Madrigal & Jurado,https://www.nature.com/articles/s42003-021-02110-4,20,288,Parpbp;Otx1;Mup6;Pmch;Fkbp11;Enpp2;Cd302;Tnfaip8;Nucb2;Cpxm2;Rcn1
Ntrk1_Chat,Locations in: Tago et al.,https://www.sciencedirect.com/science/article/pii/000689938790268X?via%3Dihub,20,146,Ebf3;Avp;Oxt;Sfrp1;Nog;H2-DMb2;Caprin2;Fkbp11;Bmp4;Chil1;Cdh9;Grm3;Plekha2;Tns1;Maml3;Racgap1;Ern1;Dact1;Adam23;Vstm2a
Qrfp_Car8,Cook thesis,https://www.research.manchester.ac.uk/portal/files/60768465/FULL_TEXT.PDF,10,197,Pirt;Tbx19;Anxa2;Cd1d1;Crhr2
Pomc_Anxa2,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,8,238,Shox2;Tcf7l2;Gbx2;Nbl1;Ramp3;Gpr4;Slitrk6;Fbln1;Synpo2;Arsj;Nkd1;Edaradd;Hrk;Clmn
Pomc_Ttr,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,5,197,Hdc;Prph;Barhl2;Tmem114;Otop3;Wnt2;Wif1;Slc35d3;Avil;Wnt9b;Tspan12;Gm8773;Slc26a4;Oas1d;Kremen1;Syk;Matn2;Lix1;Ism1;Cwh43
Agrp_Acvr1c,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,13,2368,Pomc;Cd44;Anxa2;Prdm12;Sox3;Dpys;Pon3;Myo3b
Ghrh_Mbnl3,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,10,601,Agrp;Npy;Acvr1c;Gm8773;Krtap17-1;Atf3;Nr5a2;Psmb8;Timp1;Serpina3c;Gm10714;C1qtnf7;Ccdc160
Tac2_Kiss1,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,20,379,Gpr50;Tac2;Nup62cl;Renbp
Slc6a3_Rxfp2,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,16,328,Vip;Grp;Dsg2;Emp1;Pvrl3
Pirt_Tbx19,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,5,106,Rfx4;Pter;Gm867;Pdyn;Car12;Hcrt;Vim;Mns1;Vgll2;Hspb3;Psmb8;Tmem106a;Kif26a;Igfbp3;Prrg4;Gast;Cdkl4;Tead1;Dtx3l;Gnb4
Gpr50_Pgr15l,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,4,223,Vip;Nms;Npy6r;Sod3;Nov;Cebpa;Ctla2a;Creb3l1;Insl6;Rhpn2;Dusp4;D7Ertd443e;Itgb8;Flt3;Iqsec3
Lef1_Wif1,Campbell et al. ARH,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5323293/,10,314,Tac2;Kiss1;Lhfpl1;Rxfp1;Nr5a2;Inhbb;Nr4a2;Col24a1;Col2a1;Rd3;Npr3;Lrrc38;Slc38a3;Nxf3;Lipg;Aebp1;Sdc2;Laptm4b;Rap2c;Rara
Sln_Ctxn3,?,"",20,167,Trh;Omp;Sall3;Ghrh;Mab21l2;Sim2;Gstm2;Traf3ip2
