reduction	mixingrf	mixingknn	mean_knn_purity	asw	method	ndim	features_ngenes	scvi_params	nlayers	max_epochs	dropout_rate	source	mean_purity_knn_norm	mixingknn_norm	mixingrf_norm	asw_norm	mixing_score	purity_score
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_8706ee45381c4acbfa08d7e40aaea59d	0.943993627554893	0.439113743237375	0.282303635152474	0.0890746682911766	scVI	85	3000	400_0.1_4_256	4	400	0.1	neuron	45.59	90.43	91.61	48.87	91.02	45.59
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_d0c9a7899611a2921ca3aed39a5066ca	0.944046727663768	0.462422423415023	0.288730020691583	0.116218453212424	scVI	85	750	400_0.1_4_256	4	400	0.1	neuron	54.65	95.23	91.64	76.43	93.435	54.65
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_a0349c4e9897b253dcc6bdcbcf38d7f8	0.943322504271059	0.456823669516758	0.301903408217797	0.109207798231351	scVI	85	1000	400_0.15_3_256	3	400	0.15	neuron	73.24	94.08	91.18	69.31	92.63	73.24
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_8e7a612d2612980b8f26ded61f4a6892	0.942757380180959	0.453194341284411	0.294247913741238	0.104617929548253	scVI	85	1500	400_0.15_3_256	3	400	0.15	neuron	62.44	93.33	90.82	64.65	92.075	62.44
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_a9c07820f8be9aef631d80d21a72a075	0.940816294551403	0.441837740168979	0.29181554498867	0.0980915419072016	scVI	85	2000	400_0.15_3_256	3	400	0.15	neuron	59.01	90.99	89.59	58.02	90.29	59.01
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_d7f598fa25054a9ebe36a838827e77c9	0.939948508176067	0.440809890634265	0.289680167529193	0.0973901586610961	scVI	85	2500	400_0.15_3_256	3	400	0.15	neuron	56	90.78	89.03	57.31	89.905	56
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_f623c9dd77be92d64869e7a240409ebe	0.939049169391306	0.436196699094583	0.286870852217525	0.0938122318344541	scVI	85	3000	400_0.15_3_256	3	400	0.15	neuron	52.03	89.83	88.46	53.68	89.145	52.03
scVI_0_400_0.15_3_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_64203fb2c726221727cd01767d952850	0.943682748863552	0.462422423415023	0.301433841581383	0.11709402575566	scVI	85	750	400_0.15_3_256	3	400	0.15	neuron	72.58	95.23	91.41	77.32	93.32	72.58
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_61daeca5b14c19a06d57788545fd22bc	0.941237405891153	0.464981614936524	0.285435055419437	0.128830857722171	scVI	85	1000	400_0.15_4_256	4	400	0.15	neuron	50	95.76	89.85	89.24	92.805	50
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_24d3c258503a7ef03945aac24639cb4d	0.938140592347621	0.457376860287411	0.280061297980414	0.115879584634897	scVI	85	1500	400_0.15_4_256	4	400	0.15	neuron	42.42	94.19	87.88	76.08	91.035	42.42
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_5cb7c1208d4c7d3a9bd8c4bd0b0de0d2	0.938771986673332	0.451928866424202	0.282250026839703	0.113659002551973	scVI	85	2000	400_0.15_4_256	4	400	0.15	neuron	45.51	93.07	88.29	73.83	90.68	45.51
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_41d07515c93b4fb32464ad28ffda45f5	0.937292143743742	0.445855453761876	0.278502092401285	0.106466360696367	scVI	85	2500	400_0.15_4_256	4	400	0.15	neuron	40.22	91.82	87.34	66.53	89.58	40.22
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_fdcd2f1d1f61f2c4ff42106ad3208905	0.938291989124015	0.446883303296591	0.277654674826046	0.105873029791277	scVI	85	3000	400_0.15_4_256	4	400	0.15	neuron	39.03	92.03	87.98	65.92	90.005	39.03
scVI_0_400_0.15_4_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_27466e1704ffc1d3f82787db0b6e7b8d	0.941735876110987	0.470457850600817	0.290223803788248	0.139432237925896	scVI	85	750	400_0.15_4_256	4	400	0.15	neuron	56.76	96.89	90.17	100	93.53	56.76
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_562216427a8b35b2658273fecaf712a2	0.952697470913557	0.449873167354773	0.30448436644995	0.0834872860941847	scVI	65	1000	300_0.1_3_256	3	300	0.1	neuron	76.89	92.65	97.14	43.19	94.895	76.89
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_e161d54dfe7145ee4bc08714c1a1d588	0.948364447688775	0.441837740168979	0.302751089572563	0.0855512567784378	scVI	65	1500	300_0.1_3_256	3	300	0.1	neuron	74.44	90.99	94.39	45.29	92.69	74.44
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_8cf2772ffe8c1c0633b8550e633fb30a	0.948850788499898	0.436196699094583	0.29952233166049	0.0837842468661074	scVI	65	2000	300_0.1_3_256	3	300	0.1	neuron	69.88	89.83	94.7	43.49	92.265	69.88
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_55422a2f5ac64cda7aff2b46bdb26da5	0.95450706926908	0.457642727413989	0.306508338127432	0.0784421224813671	scVI	65	750	300_0.1_3_256	3	300	0.1	neuron	79.74	94.25	98.3	38.07	96.275	79.74
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_afec08dcda9a1776d5bee20490226db9	0.947783415789938	0.457376860287411	0.299468028717126	0.099602768173043	scVI	65	1000	300_0.1_4_256	4	300	0.1	neuron	69.81	94.19	94.02	59.56	94.105	69.81
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_8b2fa41ea151287a39359619521dfa6d	0.944555341229883	0.456823669516758	0.290142047389344	0.0957849320450927	scVI	65	1500	300_0.1_4_256	4	300	0.1	neuron	56.65	94.08	91.96	55.68	93.02	56.65
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_c02decff1df2f9f913a2f8933bca3185	0.949477640952625	0.464981614936524	0.296883698460845	0.0985765009674551	scVI	65	750	300_0.1_4_256	4	300	0.1	neuron	66.16	95.76	95.1	58.51	95.43	66.16
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_6a908a78b57b96b7d1c35e4300f8c194	0.952354025358877	0.444159306364986	0.310734665922105	0.0753453309975341	scVI	85	1000	400_0.1_2_256	2	400	0.1	neuron	85.71	91.47	96.93	34.93	94.2	85.71
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_9b435dc5b88355f6035f857d1c4b86ac	0.950035494399381	0.436627371631265	0.317467424539427	0.0768710107531457	scVI	85	1500	400_0.1_2_256	2	400	0.1	neuron	95.21	89.92	95.45	36.47	92.685	95.21
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_a4e33791dcef91ffe583c27a0c7d55bc	0.949197815761504	0.428469426211499	0.311048019517814	0.071219888631928	scVI	85	2000	400_0.1_2_256	2	400	0.1	neuron	86.15	88.24	94.92	30.74	91.58	86.15
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_9ce713a5eb8dd209f8e5752ca3401815	0.950079441374637	0.420225207388221	0.308132936861366	0.0677737223732577	scVI	85	2500	400_0.1_2_256	2	400	0.1	neuron	82.03	86.54	95.48	27.24	91.01	82.03
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_e47d7ee1b14a8b1b8dc436f0331e7e25	0.947445288400195	0.41979453485154	0.304831284096953	0.0706008882202087	scVI	85	3000	400_0.1_2_256	2	400	0.1	neuron	77.38	86.45	93.8	30.11	90.125	77.38
scVI_0_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.750_cd341a09e0304cd89718f9de28a73127	0.95143856140303	0.455946580017099	0.307976767982167	0.078991896806022	scVI	85	750	400_0.1_2_256	2	400	0.1	neuron	81.81	93.9	96.34	38.63	95.12	81.81
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_126b3952ab2d034f8b065d72c9655dc4	0.947495807865767	0.46474398961103	0.297543350906809	0.102110412357001	scVI	65	750	400_0.1_3_256	3	400	0.1	neuron	67.09	95.71	93.84	62.1	94.775	67.09
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_63389c6a35696a961a96c1c424b0cb0c	0.94457438047389	0.464981614936524	0.291630085767573	0.111153925878296	scVI	65	750	400_0.1_4_256	4	400	0.1	neuron	58.75	95.76	91.98	71.29	93.87	58.75
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_0fbc4e60ba870ee09ec3f894cdd3fbb0	0.942462571210819	0.458239904412023	0.290061029401786	0.112095416376333	scVI	65	1000	400_0.1_4_256	4	400	0.1	neuron	56.53	94.37	90.63	72.24	92.5	56.53
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_98b9bda2b766d5bd5847f369f834109e	0.940531281434541	0.453625013821092	0.288181449460344	0.103156936835813	scVI	65	1500	400_0.1_4_256	4	400	0.1	neuron	53.88	93.42	89.4	63.17	91.41	53.88
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_a681d6dc72c7a8b068eb25f7cda5d5ff	0.939407747548491	0.449204869492598	0.282040395039753	0.096360418112941	scVI	65	2000	400_0.1_4_256	4	400	0.1	neuron	45.21	92.51	88.69	56.26	90.6	45.21
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_d77f626ece9c10945f4d73a5591a21fc	0.939602874599527	0.445855453761876	0.28030983196953	0.0932402593173068	scVI	65	2500	400_0.1_4_256	4	400	0.1	neuron	42.77	91.82	88.81	53.1	90.315	42.77
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_70680eb6497b3c98e56cdf4a8d1ef014	0.941761286287633	0.443966259153799	0.277249390891178	0.0918650210633341	scVI	65	3000	400_0.1_4_256	4	400	0.1	neuron	38.45	91.43	90.19	51.7	90.81	38.45
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_08d747aae2b06521ed44dba7757e2e9c	0.948193930688453	0.435361896771056	0.296334530005893	0.0806600705217779	scVI	65	2500	300_0.1_3_256	3	300	0.1	neuron	65.39	89.66	94.28	40.32	91.97	65.39
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_0294a6a2b126f5af17ddfff0ecd90822	0.946683863871103	0.428469426211499	0.295933658003435	0.0779032733318625	scVI	65	3000	300_0.1_3_256	3	300	0.1	neuron	64.82	88.24	93.32	37.52	90.78	64.82
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_76a46e2db7f71ccf589f02d9df9e60f2	0.943204066547221	0.445424781225195	0.289426872564325	0.0918500199453774	scVI	65	2000	300_0.1_4_256	4	300	0.1	neuron	55.64	91.73	91.11	51.68	91.42	55.64
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_93fb93551bf296378d4b3b9c81933744	0.942873245412575	0.449054109457542	0.284900708222291	0.0917332861239561	scVI	65	2500	300_0.1_4_256	4	300	0.1	neuron	49.25	92.48	90.89	51.57	91.685	49.25
scVI_0_300_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_bb6e134463544024c3b853be35ca07cb	0.94497494530282	0.444159306364986	0.281967971300516	0.0889920483373746	scVI	65	3000	300_0.1_4_256	4	300	0.1	neuron	45.11	91.47	92.23	48.78	91.85	45.11
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_771080946ddd355fccaf7cfd5a600fc8	0.946274310219712	0.456823669516758	0.298409349892569	0.0948022436665138	scVI	65	1000	400_0.1_3_256	3	400	0.1	neuron	68.31	94.08	93.06	54.68	93.57	68.31
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_92669ffdee83b02c413d626654dc72aa	0.94313689967567	0.449873167354773	0.293818085770149	0.0965216298612601	scVI	65	1500	400_0.1_3_256	3	400	0.1	neuron	61.83	92.65	91.06	56.43	91.855	61.83
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_b3baf91b1a0a914561db9af743a6dac7	0.945415594640832	0.440809890634265	0.293546375683526	0.084106168889169	scVI	65	2000	400_0.1_3_256	3	400	0.1	neuron	61.45	90.78	92.51	43.82	91.645	61.45
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_acd132a61b29e4140583fe45170f9f84	0.944153121364205	0.441837740168979	0.285942638394614	0.0827777320369159	scVI	65	2500	400_0.1_3_256	3	400	0.1	neuron	50.72	90.99	91.71	42.47	91.35	50.72
scVI_0_400_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_eecc87b94b01086edab433bee6a002f4	0.943727575424606	0.431344183178159	0.287826245686275	0.0797962582552588	scVI	65	3000	400_0.1_3_256	3	400	0.1	neuron	53.38	88.83	91.44	39.44	90.135	53.38
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_b56b99866d233076c7389279a965d3e3_fromFull	0.93918622375844	0.457642727413989	0.292489593222537	0.108133609521582	scVI	65	2000	400_0.1_4_256	4	400	0.1	full	59.96	94.25	88.55	68.22	91.4	59.96
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_740e6ca85fbe5ef69c21c23a5a5cb69d_fromFull	0.940308197598766	0.453625013821092	0.286862168440022	0.106835671487339	scVI	65	2500	400_0.1_4_256	4	400	0.1	full	52.02	93.42	89.26	66.9	91.34	52.02
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_e9b11dacd25decfcd89c1623473e5352_fromFull	0.936892539561984	0.444159306364986	0.28678551731264	0.109167947566088	scVI	65	3000	400_0.1_4_256	4	400	0.1	full	51.91	91.47	87.09	69.27	89.28	51.91
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1000_9196bad3fb0a6ab8d68cea3dd2d9891a_fromFull	0.948632692295764	0.464981614936524	0.310388863426182	0.048695815821314	scVI	85	1000	400_0.1_2_256	2	400	0.1	full	85.22	95.76	94.56	7.87	95.16	85.22
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1250_03c10730a4b1685057ad0314b7f86cf4_fromFull	0.9477540714235	0.453625013821092	0.306669644854987	0.0592014704701498	scVI	85	1250	400_0.1_2_256	2	400	0.1	full	79.97	93.42	94	18.53	93.71	79.97
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.1500_55709964935345e204bf97faa19c2435_fromFull	0.948414645866029	0.445424781225195	0.308557548959448	0.0584829199434305	scVI	85	1500	400_0.1_2_256	2	400	0.1	full	82.63	91.73	94.42	17.8	93.075	82.63
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2000_5e31aa323c46e0fb15d6f94afc210cce_fromFull	0.949133791720646	0.436627371631265	0.315791928756173	0.0657573823027034	scVI	85	2000	400_0.1_2_256	2	400	0.1	full	92.84	89.92	94.88	25.19	92.4	92.84
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.2500_8bbdcc7a929382647279eed5b3816f2b_fromFull	0.948095523548187	0.42928848410873	0.314232689278374	0.0662812876434944	scVI	85	2500	400_0.1_2_256	2	400	0.1	full	90.64	88.41	94.22	25.72	91.315	90.64
scVI_1_400_0.1_2_256_gene_zinb_cov2..scVI..85..RNA.log.vst.split_Batch_ID.features.3000_8082dea406acee2a723d41906762ccd0_fromFull	0.948520498888955	0.424840097979152	0.313291953814612	0.0679056561536865	scVI	85	3000	400_0.1_2_256	2	400	0.1	full	89.32	87.49	94.49	27.37	90.99	89.32
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2000_faf95328efd432d8d2539ad16c0852db_fromFull	0.950034281072337	0.443966259153799	0.310719891383383	0.0808977150171521	scVI	65	2000	300_0.1_3_256	3	300	0.1	full	85.69	91.43	95.45	40.56	93.44	85.69
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.2500_9cb905921b2b2a2155d22b4f1bbf53da_fromFull	0.948098921939457	0.436627371631265	0.304347209074506	0.0809551228477205	scVI	65	2500	300_0.1_3_256	3	300	0.1	full	76.69	89.92	94.22	40.62	92.07	76.69
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.3000_5a67c718bb47fffe6e6c8b87f9d1b722_fromFull	0.944598742153455	0.430316333643444	0.297131326370961	0.0783854026670499	scVI	65	3000	300_0.1_3_256	3	300	0.1	full	66.51	88.62	91.99	38.01	90.305	66.51
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.750_a9ca29ae613bc8e54ae3bc4b14337d03_fromFull	0.951627254189426	0.485566298182568	0.29924953898801	0.0486792056401215	scVI	65	750	300_0.1_3_256	3	300	0.1	full	69.5	100	96.46	7.85	98.23	69.5
scVI_0_400_0.05_2_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_29be28044318a16f165ad4aa4720a84b_fromFull	0.951564364959696	0.449873167354773	0.310887726946259	0.0452620831800849	scVI	110	1250	400_0.05_2_256	2	400	0.05	full	85.92	92.65	96.42	4.38	94.535	85.92
scVI_0_400_0.05_2_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1500_d877bdedea203c5dcfd61d1867ce2844_fromFull	0.951666335936833	0.440379218097584	0.316724103816258	0.0528550603580127	scVI	110	1500	400_0.05_2_256	2	400	0.05	full	94.16	90.69	96.49	12.09	93.59	94.16
scVI_0_400_0.05_2_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2000_2d15d1b4808a8f4d44f3e609493a7c3a_fromFull	0.953216003939093	0.434068180109763	0.320863729344702	0.0559363171831208	scVI	110	2000	400_0.05_2_256	2	400	0.05	full	100	89.39	97.47	15.22	93.43	100
scVI_0_400_0.05_2_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2500_a1803698df08df7065fa6eeecebd3e34_fromFull	0.951945066186461	0.42928848410873	0.3153879837758	0.0553899196916533	scVI	110	2500	400_0.05_2_256	2	400	0.05	full	92.27	88.41	96.67	14.66	92.54	92.27
scVI_0_400_0.1_4_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_d6a1e0f5ae286a92130b2a3fe8e2f178_fromFull	0.9438145844446	0.479255260194747	0.295003660902838	0.0877253719853547	scVI	65	1000	400_0.1_4_256	4	400	0.1	full	63.51	98.7	91.49	47.5	95.095	63.51
scVI_0_150_0.1_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_b0f9c21b15e242acf15fe7b4953e6ccc_fromFull	0.951694917798079	0.443966259153799	0.309634920961554	0.0577671038193526	scVI	110	1250	150_0.1_3_256	3	150	0.1	full	84.15	91.43	96.51	17.08	93.97	84.15
scVI_0_200_0.05_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_6ca6bfc3063ebdbab9d98098d3d7ab5f_fromFull	0.954876975116008	0.451928866424202	0.313161240098528	0.0464674164622729	scVI	110	1250	200_0.05_3_256	3	200	0.05	full	89.13	93.07	98.53	5.6	95.8	89.13
scVI_0_200_0.05_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1500_14f5e045453d5cf03184e0c57f71d6fa_fromFull	0.955646939320856	0.437058044167946	0.312890122522732	0.0518618472825589	scVI	110	1500	200_0.05_3_256	3	200	0.05	full	88.75	90.01	99.02	11.08	94.515	88.75
scVI_0_300_0.05_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1250_fb23407b78b330da59bc5a1e8f539053_fromFull	0.956936132364356	0.457376860287411	0.314259239219233	0.0494916310239016	scVI	110	1250	300_0.05_3_256	3	300	0.05	full	90.68	94.19	99.84	8.67	97.015	90.68
scVI_0_300_0.05_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.1500_dba366074f94841ce5afb5e176fffc06_fromFull	0.957185691632325	0.445424781225195	0.313503126708359	0.0576409062080864	scVI	110	1500	300_0.05_3_256	3	300	0.05	full	89.61	91.73	100	16.95	95.865	89.61
scVI_0_300_0.05_3_256_gene_zinb_cov2..scVI..110..RNA.log.vst.split_Batch_ID.features.2000_330c86d91b3be52854ec975dd708395e_fromFull	0.955579403457001	0.437058044167946	0.312529823150758	0.063126734947286	scVI	110	2000	300_0.05_3_256	3	300	0.05	full	88.24	90.01	98.98	22.52	94.495	88.24
scVI_0_300_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_c444ca2980af4c18c27490c67f65d349_fromFull	0.949665267438173	0.450901016889488	0.31592876205306	0.0409500769318072	scVI	65	1000	300_0.1_2_256	2	300	0.1	full	93.04	92.86	95.22	0	94.04	93.04
scVI_0_300_0.1_2_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1250_88109b75b3ae08750826ef484d95b0b0_fromFull	0.950187264555958	0.442103607295557	0.317440722911477	0.0491426664394185	scVI	65	1250	300_0.1_2_256	2	300	0.1	full	95.17	91.05	95.55	8.32	93.3	95.17
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1000_3fc9324dc4019660b693ceee9dad7d3a_fromFull	0.952513627776444	0.470191983474239	0.303013970079759	0.0584499126601776	scVI	65	1000	300_0.1_3_256	3	300	0.1	full	74.81	96.83	97.03	17.77	96.93	74.81
scVI_0_300_0.1_3_256_gene_zinb_cov2..scVI..65..RNA.log.vst.split_Batch_ID.features.1500_85a81fcf2940f9ac20f396009f5c4967_fromFull	0.952496958315236	0.450901016889488	0.310592910298345	0.0683144625179495	scVI	65	1500	300_0.1_3_256	3	300	0.1	full	85.51	92.86	97.02	27.79	94.94	85.51
