ensembl_gene_id	external_gene_name	entrezgene_id
ENSMUSG00000028243	Ubxn2b	68053
ENSMUSG00000037341	Slc9a7	236727
ENSMUSG00000029757	Dync1i1	13426
ENSMUSG00000019828	Grm1	14816
ENSMUSG00000028249	Sdcbp	53378
ENSMUSG00000027499	Pkia	18767
ENSMUSG00000043542	Zc2hc1a	67306
ENSMUSG00000090112	Shprh	268281
ENSMUSG00000037315	Jade3	382207
ENSMUSG00000027500	Stmn2	20257
ENSMUSG00000031059	Ndufb11	104130
ENSMUSG00000028245	Nsmaf	18201
ENSMUSG00000031060	Rbm10	236732
ENSMUSG00000040269	Mrps28	66230
ENSMUSG00000097007	4930432B10Rik	
ENSMUSG00000027506	Tpd52	21985
ENSMUSG00000055493	Epm2a	13853
ENSMUSG00000019820	Utrn	22288
ENSMUSG00000042541	Sem1	20422
ENSMUSG00000041272	Tox	252838
ENSMUSG00000001924	Uba1	22201
ENSMUSG00000042505	Sdhaf3	71238
ENSMUSG00000040209	Zfp704	170753
ENSMUSG00000041261	Car8	12319
ENSMUSG00000027508	Pag1	94212
ENSMUSG00000047187	Rab2a	59021
ENSMUSG00000051951	Xkr4	497097
ENSMUSG00000041235	Chd7	320790
ENSMUSG00000027533	Fabp5	16592
ENSMUSG00000089699	Gm1992	
ENSMUSG00000031065	Cdk16	18555
ENSMUSG00000102331	Gm19938	
ENSMUSG00000042460	C1galt1	94192
ENSMUSG00000078348	Sf3b5	66125
ENSMUSG00000019817	Plagl1	22634
ENSMUSG00000041216	Clvs1	74438
ENSMUSG00000033845	Mrpl15	27395
ENSMUSG00000031066	Usp11	236733
ENSMUSG00000042447	Mios	252875
ENSMUSG00000028207	Asph	65973
ENSMUSG00000039795	Zfand1	66361
ENSMUSG00000027534	Snx16	74718
ENSMUSG00000001127	Araf	11836
ENSMUSG00000062866	Phactr2	215789
ENSMUSG00000062995	Ica1	15893
ENSMUSG00000033813	Tcea1	21399
ENSMUSG00000039717	Ralyl	76897
ENSMUSG00000019810	Fuca2	66848
ENSMUSG00000002459	Rgs20	58175
ENSMUSG00000019809	Pex3	56535
ENSMUSG00000037217	Syn1	20964
ENSMUSG00000033793	Atp6v1h	108664
ENSMUSG00000046178	Nxph1	18231
ENSMUSG00000027550	Lrrcc1	71710
ENSMUSG00000029632	Ndufa4	17992
ENSMUSG00000029629	Phf14	75725
ENSMUSG00000019806	Aig1	66253
ENSMUSG00000015501	Hivep2	15273
ENSMUSG00000025907	Rb1cc1	12421
ENSMUSG00000054737	Zfp182	319535
ENSMUSG00000032625	Thsd7a	330267
ENSMUSG00000059482	2610301B20Rik	67157
ENSMUSG00000050323	Ndufaf6	76947
ENSMUSG00000019868	Vta1	66201
ENSMUSG00000078784	Rbis	69126
ENSMUSG00000090031	4732440D04Rik	
ENSMUSG00000029571	Tmem106b	71900
ENSMUSG00000033740	St18	240690
ENSMUSG00000036782	Klhl13	67455
ENSMUSG00000029569	Tmem168	101118
ENSMUSG00000039910	Cited2	17684
ENSMUSG00000042742	Bmt2	101148
ENSMUSG00000036769	Wdr44	72404
ENSMUSG00000048216	Gpr85	64450
ENSMUSG00000040738	Ints8	72656
ENSMUSG00000039879	Heca	380629
ENSMUSG00000019854	Reps1	19707
ENSMUSG00000047213	Ythdf3	229096
ENSMUSG00000051285	Pcmtd1	319263
ENSMUSG00000045205	Dpy19l4	381510
ENSMUSG00000025909	Sntg1	71096
ENSMUSG00000027599	Armc1	74252
ENSMUSG00000059554	Ccdc28a	215814
ENSMUSG00000054556	Gm4876	232599
ENSMUSG00000058503	Fam133b	68152
ENSMUSG00000040720	Virma	66185
ENSMUSG00000069094	Pde7a	18583
ENSMUSG00000019852	Arfgef3	215821
ENSMUSG00000040302	Rbm48	269623
ENSMUSG00000078816	Prkcg	18752
ENSMUSG00000005907	Pex1	71382
ENSMUSG00000069806	Cacng7	81904
ENSMUSG00000107815	Gm44257	
ENSMUSG00000053395	Cacng8	81905
ENSMUSG00000028214	Gem	14579
ENSMUSG00000015733	Capza2	12343
ENSMUSG00000107862	Gm44151	
ENSMUSG00000048106	4632415L05Rik	
ENSMUSG00000049225	Pdp1	381511
ENSMUSG00000045210	Vcpip1	70675
ENSMUSG00000029534	St7	64213
ENSMUSG00000007415	Gatad1	67210
ENSMUSG00000035674	Ndufa3	66091
ENSMUSG00000049488	Tmem67	329795
ENSMUSG00000006335	Tfpt	69714
ENSMUSG00000008373	Prpf31	68988
ENSMUSG00000040351	Ankib1	70797
ENSMUSG00000028218	Cibar1	68099
ENSMUSG00000020003	Pex7	18634
ENSMUSG00000000600	Krit1	79264
ENSMUSG00000035632	Cnot3	232791
ENSMUSG00000071369	Map3k5	26408
ENSMUSG00000006586	Runx1t1	12395
ENSMUSG00000031093	Dock11	75974
ENSMUSG00000002428	Hltf	20585
ENSMUSG00000019734	Tmc4	353499
ENSMUSG00000046101	Mcmdc2	240697
ENSMUSG00000040550	Otud6b	72201
ENSMUSG00000019996	Map7	17761
ENSMUSG00000028221	Pip4p2	72519
ENSMUSG00000035596	Mboat7	77582
ENSMUSG00000040429	Mterf1a	545725
ENSMUSG00000040536	Necab1	69352
ENSMUSG00000040407	Akap9	100986
ENSMUSG00000019528	Gyg	27357
ENSMUSG00000035585	Tsen34	66078
ENSMUSG00000028222	Calb1	12307
ENSMUSG00000025917	Cops5	26754
ENSMUSG00000037608	Bclaf1	72567
ENSMUSG00000006333	Rps9	76846
ENSMUSG00000036699	Zcchc12	72693
ENSMUSG00000000416	Cttnbp2	30785
ENSMUSG00000056763	Cspp1	211660
ENSMUSG00000027630	Tbl1xr1	81004
ENSMUSG00000006373	Pgrmc1	53328
ENSMUSG00000059708	Akap17b	338351
ENSMUSG00000041135	Ripk2	192656
ENSMUSG00000001467	Cyp51	13121
ENSMUSG00000016319	Slc25a5	11740
ENSMUSG00000006423	C330007P06Rik	77644
ENSMUSG00000028226	Mmp16	17389
ENSMUSG00000060882	Kcnd2	16508
ENSMUSG00000019990	Pde7b	29863
ENSMUSG00000028926	Cdk14	18647
ENSMUSG00000106826	Gm42583	
ENSMUSG00000102758	Naaladl2	635702
ENSMUSG00000087402	Gm11867	
ENSMUSG00000063887	Nlgn1	192167
ENSMUSG00000029670	Ing3	71777
ENSMUSG00000019986	Ahi1	52906
ENSMUSG00000050379	Septin6	56526
ENSMUSG00000028228	Cpne3	70568
ENSMUSG00000067851	Arfgef1	211673
ENSMUSG00000046798	Cldn12	64945
ENSMUSG00000028229	Rmdn1	66302
ENSMUSG00000078772	Gm12353	
ENSMUSG00000041058	Wwp1	107568
ENSMUSG00000079641	Rpl39	67248
ENSMUSG00000040473	Cfap69	207686
ENSMUSG00000036572	Upf3b	68134
ENSMUSG00000030428	Ttyh1	57776
ENSMUSG00000019977	Hbs1l	56422
ENSMUSG00000016409	Nkap	67050
ENSMUSG00000029672	Fam3c	27999
ENSMUSG00000016427	Ndufa1	54405
ENSMUSG00000050530	Fam171a1	269233
ENSMUSG00000068748	Ptprz1	19283
ENSMUSG00000027698	Nceh1	320024
ENSMUSG00000026643	Nmt2	18108
ENSMUSG00000055761	Nkain3	269513
ENSMUSG00000015653	Steap2	74051
ENSMUSG00000028252	Ccnc	51813
ENSMUSG00000039286	Fndc3b	72007
ENSMUSG00000035545	Leng8	232798
ENSMUSG00000019970	Sgk1	20393
ENSMUSG00000026648	Dclre1c	227525
ENSMUSG00000092094	Zfp804b	207618
ENSMUSG00000043432	Leng9	243813
ENSMUSG00000017978	Cadps2	320405
ENSMUSG00000003161	Sri	109552
ENSMUSG00000040455	Usp45	77593
ENSMUSG00000016918	Sulf1	240725
ENSMUSG00000028248	Pnisr	66625
ENSMUSG00000040537	Adam22	11496
ENSMUSG00000109865	Hspa14	50497
ENSMUSG00000027692	Tnik	665113
ENSMUSG00000036502	Tmem255a	245386
ENSMUSG00000019254	Ppp1r12c	232807
ENSMUSG00000028247	Coq3	230027
ENSMUSG00000026655	Fam107b	66540
ENSMUSG00000028246	Faxc	76132
ENSMUSG00000026657	Frmd4a	209630
ENSMUSG00000040410	Fbxl4	269514
ENSMUSG00000071359	Tbpl1	237336
ENSMUSG00000016534	Lamp2	16784
ENSMUSG00000005886	Ncoa2	17978
ENSMUSG00000031095	Cul4b	72584
ENSMUSG00000061983	Rps12	20042
ENSMUSG00000040387	Klhl32	212390
ENSMUSG00000104284	Gm10862	
ENSMUSG00000025935	Tram1	72265
ENSMUSG00000039449	Prpf18	67229
ENSMUSG00000023089	Ndufa5	68202
ENSMUSG00000004961	Syt5	53420
ENSMUSG00000028261	Ndufaf4	68493
ENSMUSG00000000355	Mcts1	68995
ENSMUSG00000029684	Wasl	73178
ENSMUSG00000048186	Bend7	209645
ENSMUSG00000048970	C1galt1c1	59048
ENSMUSG00000019998	Stx7	53331
ENSMUSG00000025937	Lactb2	212442
ENSMUSG00000045282	Tmem86b	68255
ENSMUSG00000001986	Gria3	53623
ENSMUSG00000040359	Ufl1	67490
ENSMUSG00000052296	Ppp6r1	243819
ENSMUSG00000026662	Sephs1	109079
ENSMUSG00000026664	Phyh	16922
ENSMUSG00000063802	Hspbp1	66245
ENSMUSG00000029676	Pot1a	101185
ENSMUSG00000039221	Rpl22l1	68028
ENSMUSG00000037475	Thoc2	331401
ENSMUSG00000035390	Brsk1	381979
ENSMUSG00000055373	Fut9	14348
ENSMUSG00000024211	Grm8	14823
ENSMUSG00000063600	Egfem1	75740
ENSMUSG00000039841	Zfp800	627049
ENSMUSG00000025860	Xiap	11798
ENSMUSG00000026672	Optn	71648
ENSMUSG00000020440	Arf5	11844
ENSMUSG00000059851	Kmt5c	232811
ENSMUSG00000025862	Stag2	20843
ENSMUSG00000039145	Camk1d	227541
ENSMUSG00000092083	Kcnb2	98741
ENSMUSG00000102937	Gm38116	
ENSMUSG00000025925	Terf1	21749
ENSMUSG00000054099	Slc25a40	319653
ENSMUSG00000039128	Cdc123	98828
ENSMUSG00000067795	4930444P10Rik	75799
ENSMUSG00000043716	Rpl7	19989
ENSMUSG00000028284	Map3k7	26409
ENSMUSG00000019984	Med23	70208
ENSMUSG00000001424	Snd1	56463
ENSMUSG00000037730	Mynn	80732
ENSMUSG00000025817	Nudt5	53893
ENSMUSG00000030432	Rpl28	19943
ENSMUSG00000040570	Rundc3b	242819
ENSMUSG00000025920	Stau2	29819
ENSMUSG00000060860	Ube2s	77891
ENSMUSG00000053550	Shisa7	232813
ENSMUSG00000025816	Sec61a2	57743
ENSMUSG00000049939	Lrrc4	192198
ENSMUSG00000025815	Dhtkd1	209692
ENSMUSG00000092090	Gm3294	
ENSMUSG00000035285	Nat14	269854
ENSMUSG00000040270	Bach2	12014
ENSMUSG00000029701	Rbm28	68272
ENSMUSG00000016150	Tenm1	23963
ENSMUSG00000043241	Upf2	326622
ENSMUSG00000028282	Casp8ap2	26885
ENSMUSG00000027706	Sec62	69276
ENSMUSG00000061374	Fiz1	23877
ENSMUSG00000058006	Mdn1	100019
ENSMUSG00000025939	Ube2w	66799
ENSMUSG00000037652	Phc3	241915
ENSMUSG00000079658	Eloc	67923
ENSMUSG00000039046	Usp6nl	98910
ENSMUSG00000003500	Impdh1	23917
ENSMUSG00000035228	Ccdc106	232821
ENSMUSG00000003623	Crot	74114
ENSMUSG00000031099	Smarca1	93761
ENSMUSG00000025940	Tmem70	70397
ENSMUSG00000039166	Akap7	432442
ENSMUSG00000030435	U2af2	22185
ENSMUSG00000019978	Epb41l2	13822
ENSMUSG00000079659	Tmem243	652925
ENSMUSG00000002107	Celf2	14007
ENSMUSG00000025777	Gdap1	14545
ENSMUSG00000042508	Dmtf1	23857
ENSMUSG00000040183	Ankrd6	140577
ENSMUSG00000001173	Ocrl	320634
ENSMUSG00000029767	Calu	12321
ENSMUSG00000035203	Epn1	13854
ENSMUSG00000029769	Ccdc136	232664
ENSMUSG00000027660	Skil	20482
ENSMUSG00000028278	Rragd	52187
ENSMUSG00000085037	4933421O10Rik	100504166
ENSMUSG00000028277	Ube2j1	56228
ENSMUSG00000069072	Slc7a14	241919
ENSMUSG00000037610	Kcnmb2	72413
ENSMUSG00000027663	Zmat3	22401
ENSMUSG00000046792	Zfp787	67109
ENSMUSG00000039089	L3mbtl3	237339
ENSMUSG00000027665	Pik3ca	18706
ENSMUSG00000054679	Srsf12	272009
ENSMUSG00000040128	Pnrc1	108767
ENSMUSG00000056004	Elapor2	231014
ENSMUSG00000028274	Rngtt	24018
ENSMUSG00000044876	Zfp444	72667
ENSMUSG00000063785	Utp14a	72554
ENSMUSG00000025782	Taf3	209361
ENSMUSG00000027667	Zfp639	67778
ENSMUSG00000111950	Gm48893	
ENSMUSG00000025781	Atp5c1	11949
ENSMUSG00000039031	Arhgap18	73910
ENSMUSG00000054893	Zfp667	384763
ENSMUSG00000028291	Akirin2	433693
ENSMUSG00000027668	Mfn1	67414
ENSMUSG00000040044	Orc3	50793
ENSMUSG00000037262	Kin	16588
ENSMUSG00000004285	Atp6v1f	66144
ENSMUSG00000027669	Gnb4	14696
ENSMUSG00000036932	Aifm1	26926
ENSMUSG00000027671	Actl6a	56456
ENSMUSG00000036916	Zfp280c	208968
ENSMUSG00000028292	Rars2	109093
ENSMUSG00000061186	Sfmbt2	353282
ENSMUSG00000019889	Ptprk	19272
ENSMUSG00000002266	Zim1	22776
ENSMUSG00000037531	Mrpl47	74600
ENSMUSG00000002265	Peg3	18616
ENSMUSG00000027673	Ndufb5	66046
ENSMUSG00000028033	Kcnq5	226922
ENSMUSG00000028293	Slc35a1	24060
ENSMUSG00000012535	Tnpo3	320938
ENSMUSG00000056900	Usp13	72607
ENSMUSG00000051527	Usp29	57775
ENSMUSG00000109416	Gm44863	
ENSMUSG00000109082	Gm44586	
ENSMUSG00000108043	Zim3	116811
ENSMUSG00000041670	Rims1	116837
ENSMUSG00000027674	Pex5l	58869
ENSMUSG00000031105	Slc25a14	20523
ENSMUSG00000028883	Sema3a	20346
ENSMUSG00000028295	Smim8	66291
ENSMUSG00000001763	Tspan33	232670
ENSMUSG00000039967	Zfp292	30046
ENSMUSG00000110105	Gm45844	
ENSMUSG00000038916	Soga3	67412
ENSMUSG00000026158	Ogfrl1	70155
ENSMUSG00000000605	Clcn4	12727
ENSMUSG00000031109	Enox2	209224
ENSMUSG00000110723	Gm49353	
ENSMUSG00000026156	B3gat2	280645
ENSMUSG00000027677	Ttc14	67120
ENSMUSG00000004360	9330159F19Rik	212448
ENSMUSG00000110830	Gm46218	
ENSMUSG00000019883	Echdc1	52665
ENSMUSG00000061601	Pclo	26875
ENSMUSG00000026155	Smap1	98366
ENSMUSG00000045083	Lingo2	242384
ENSMUSG00000029772	Ahcyl2	74340
ENSMUSG00000038876	Rnf146	68031
ENSMUSG00000026153	Fam135a	68187
ENSMUSG00000098233	Gm26954	
ENSMUSG00000036198	Arhgap36	75404
ENSMUSG00000027676	Ccdc39	51938
ENSMUSG00000019792	Trmt11	73681
ENSMUSG00000031111	Igsf1	209268
ENSMUSG00000027680	Fxr1	14359
ENSMUSG00000040118	Cacna2d1	12293
ENSMUSG00000019791	Hint3	66847
ENSMUSG00000037197	Rbm17	76938
ENSMUSG00000039697	Ncoa7	211329
ENSMUSG00000036822	Topors	106021
ENSMUSG00000071014	Ndufb6	230075
ENSMUSG00000085396	Firre	103012
ENSMUSG00000027679	Dnajc19	67713
ENSMUSG00000031112	Stk26	70415
ENSMUSG00000105265	Sox2ot	320478
ENSMUSG00000026141	Col19a1	12823
ENSMUSG00000028410	Dnaja1	15502
ENSMUSG00000058594	Fbh1	50755
ENSMUSG00000000296	Tpd52l1	21987
ENSMUSG00000037400	Atp11b	76295
ENSMUSG00000028409	Smu1	74255
ENSMUSG00000058440	Nrf1	18181
ENSMUSG00000063760	Rnf217	268291
ENSMUSG00000062184	Hs6st2	50786
ENSMUSG00000069670	Nkain2	432450
ENSMUSG00000073725	Lmbrd1	68421
ENSMUSG00000028413	B4galt1	14595
ENSMUSG00000031119	Gpc4	14735
ENSMUSG00000047909	Ankrd16	320816
ENSMUSG00000028416	Bag1	12017
ENSMUSG00000027708	Dcun1d1	114893
ENSMUSG00000073207	Ccdc160	434778
ENSMUSG00000025626	Phf6	70998
ENSMUSG00000028419	Chmp5	76959
ENSMUSG00000019785	Clvs2	215890
ENSMUSG00000039159	Ube2h	22214
ENSMUSG00000033569	Adgrb3	210933
ENSMUSG00000028423	Nfx1	74164
ENSMUSG00000085655	Gm15952	
ENSMUSG00000027709	Mccc1	72039
ENSMUSG00000025630	Hprt	15452
ENSMUSG00000039531	Zup1	72580
ENSMUSG00000026767	Mindy3	66960
ENSMUSG00000027710	Acad9	229211
ENSMUSG00000029775	Klhdc10	76788
ENSMUSG00000102386	2900022M07Rik	
ENSMUSG00000019782	Rwdd1	66521
ENSMUSG00000048874	Phf3	213109
ENSMUSG00000030386	Zfp606	67370
ENSMUSG00000067925	Rtl8a	66158
ENSMUSG00000067924	Rtl8b	553127
ENSMUSG00000085998	AW822252	331578
ENSMUSG00000039497	Dse	212898
ENSMUSG00000029782	Tmem209	72649
ENSMUSG00000039480	Nt5dc1	319638
ENSMUSG00000026727	Rsu1	20163
ENSMUSG00000070822	Zscan18	232875
ENSMUSG00000027714	Exosc9	50911
ENSMUSG00000057894	Zfp329	67230
ENSMUSG00000028780	Sema3c	20348
ENSMUSG00000036241	Ube2r2	67615
ENSMUSG00000054715	Zscan22	232878
ENSMUSG00000026058	Khdrbs2	170771
ENSMUSG00000028433	Ubap2	68926
ENSMUSG00000012848	Rps5	20103
ENSMUSG00000039485	Tspyl4	72480
ENSMUSG00000026134	Prim2	19076
ENSMUSG00000037325	Bbs7	71492
ENSMUSG00000073176	Zfp449	78619
ENSMUSG00000033961	Zfp446	269870
ENSMUSG00000028436	Dcaf12	68970
ENSMUSG00000004768	Rab23	19335
ENSMUSG00000035967	Ints6l	236790
ENSMUSG00000044499	Hs3st5	319415
ENSMUSG00000026723	Trdmt1	13434
ENSMUSG00000028437	Ubap1	67123
ENSMUSG00000019777	Hdac2	15182
ENSMUSG00000042197	Zfp451	98403
ENSMUSG00000069662	Marcks	17118
ENSMUSG00000005566	Trim28	21849
ENSMUSG00000042182	Bend6	320705
ENSMUSG00000037270	4932438A13Rik	229227
ENSMUSG00000057614	Gnai1	14677
ENSMUSG00000060681	Slc9a6	236794
ENSMUSG00000040003	Magi2	50791
ENSMUSG00000026131	Dst	13518
ENSMUSG00000063275	Hacd1	30963
ENSMUSG00000051736	Fam229b	66337
ENSMUSG00000028439	Fam219a	71901
ENSMUSG00000033916	Chmp2a	68953
ENSMUSG00000005575	Ube2m	22192
ENSMUSG00000026718	Stam	20844
ENSMUSG00000023092	Fhl1	14199
ENSMUSG00000051855	Mest	17294
ENSMUSG00000028445	Enho	69638
ENSMUSG00000030380	Mzf1	109889
ENSMUSG00000019843	Fyn	14360
ENSMUSG00000028444	Cntfr	12804
ENSMUSG00000073889	Il11ra1	16157
ENSMUSG00000039987	Phtf2	68770
ENSMUSG00000056394	Lig1	16881
ENSMUSG00000025607	Copg2	54160
ENSMUSG00000045435	Tmem60	212090
ENSMUSG00000019842	Traf3ip2	103213
ENSMUSG00000039968	Rsbn1l	242860
ENSMUSG00000067873	Htatsf1	72459
ENSMUSG00000028771	Ptpn12	19248
ENSMUSG00000087177	E130307A14Rik	327744
ENSMUSG00000057914	Cacnb2	12296
ENSMUSG00000028447	Dctn3	53598
ENSMUSG00000019841	Rev3l	19714
ENSMUSG00000036078	Sigmar1	18391
ENSMUSG00000039934	Gsap	212167
ENSMUSG00000036073	Galt	14430
ENSMUSG00000070271	Gm13268	
ENSMUSG00000044471	Lncpint	232685
ENSMUSG00000104106	Gm10848	
ENSMUSG00000087086	Gm13269	
ENSMUSG00000026707	Nsun6	74455
ENSMUSG00000104030	5330406M23Rik	
ENSMUSG00000103220	Gm37728	
ENSMUSG00000087380	2210408F21Rik	73652
ENSMUSG00000073888	Ccl27a	100040048
ENSMUSG00000073888	Ccl27a	100039863
ENSMUSG00000073888	Ccl27a	20301
ENSMUSG00000045031	Cetn4	207175
ENSMUSG00000031134	Rbmx	19655
ENSMUSG00000086212	Mkln1os	100503869
ENSMUSG00000103364	Gm38157	
ENSMUSG00000025609	Mkln1	27418
ENSMUSG00000017418	Arl5b	75869
ENSMUSG00000038510	Rpf2	67239
ENSMUSG00000026748	Plxdc2	67448
ENSMUSG00000027722	Spata5	57815
ENSMUSG00000047221	Fam185a	330050
ENSMUSG00000053702	Nebl	74103
ENSMUSG00000075232	Amd1	11702
ENSMUSG00000031137	Fgf13	14168
ENSMUSG00000029765	Plxna4	243743
ENSMUSG00000044864	Ankrd50	99696
ENSMUSG00000037509	Arhgef4	226970
ENSMUSG00000026743	Mllt10	17354
ENSMUSG00000063428	Ddo	70503
ENSMUSG00000053768	Chchd3	66075
ENSMUSG00000062949	Atp11c	320940
ENSMUSG00000026740	Dnajc1	13418
ENSMUSG00000044968	Napepld	242864
ENSMUSG00000060798	Intu	380614
ENSMUSG00000054885	4930578G10Rik	
ENSMUSG00000038446	Cdc40	71713
ENSMUSG00000037503	Fam168b	214469
ENSMUSG00000051154	Commd3	12238
ENSMUSG00000025757	Hspa4l	18415
ENSMUSG00000029763	Exoc4	20336
ENSMUSG00000019831	Wasf1	83767
ENSMUSG00000036062	Phf24	230085
ENSMUSG00000029014	Dnajc2	22791
ENSMUSG00000026123	Plekhb2	226971
ENSMUSG00000038417	Fig4	103199
ENSMUSG00000118604	Gm53013	
ENSMUSG00000071753	Cdr1os	331424
ENSMUSG00000045216	Hs6st1	50785
ENSMUSG00000037470	Uggt1	320011
ENSMUSG00000019826	Zbtb24	268294
ENSMUSG00000041571	Selenow	20364
ENSMUSG00000028932	Psmc2	19181
ENSMUSG00000028452	Vcp	269523
ENSMUSG00000056215	Lrguk	74354
ENSMUSG00000070808	Bicra	243842
ENSMUSG00000023094	Msrb2	76467
ENSMUSG00000000838	Fmr1	14265
ENSMUSG00000006024	Napa	108124
ENSMUSG00000107741	Gm2011	100039027
ENSMUSG00000037818	Abhd18	269423
ENSMUSG00000001642	Akr1b3	11677
ENSMUSG00000036617	Etl4	208618
ENSMUSG00000006021	Kptn	70394
ENSMUSG00000030376	Slc8a2	110891
ENSMUSG00000019822	Smpd2	20598
ENSMUSG00000010453	Kansl3	226976
ENSMUSG00000097583	6430590A07Rik	619719
ENSMUSG00000041420	Meis3	17537
ENSMUSG00000025762	Larp1b	214048
ENSMUSG00000078451	Ppil6	73075
ENSMUSG00000036002	Fam214b	230088
ENSMUSG00000049940	Pgrmc2	70804
ENSMUSG00000025764	Jade1	269424
ENSMUSG00000029012	Orc5	26429
ENSMUSG00000029761	Cald1	109624
ENSMUSG00000028456	Unc13b	22249
ENSMUSG00000031189	Aff2	14266
ENSMUSG00000019813	Cep57l1	103268
ENSMUSG00000036591	Arhgap21	71435
ENSMUSG00000059834	Sclt1	67161
ENSMUSG00000097207	6030443J06Rik	320719
ENSMUSG00000001143	Lman2l	214895
ENSMUSG00000091811	Inafm1	66300
ENSMUSG00000106379	Lhfpl3	269629
ENSMUSG00000073147	5031425E22Rik	269630
ENSMUSG00000029004	Kmt2e	69188
ENSMUSG00000001138	Cnnm3	94218
ENSMUSG00000038332	Sesn1	140742
ENSMUSG00000025766	D3Ertd751e	73852
ENSMUSG00000038836	Agbl3	76223
ENSMUSG00000052833	Sae1	56459
ENSMUSG00000059401	Mamld1	333639
ENSMUSG00000059273	Zc3h4	330474
ENSMUSG00000031337	Mtm1	17772
ENSMUSG00000062604	Srpk2	20817
ENSMUSG00000048756	Foxo3	56484
ENSMUSG00000038302	Afg1l	215951
ENSMUSG00000045967	Gpr158	241263
ENSMUSG00000049100	Pcdh10	18526
ENSMUSG00000046806	Cyren	78412
ENSMUSG00000058230	Arhgap35	232906
ENSMUSG00000057541	Pus7	78697
ENSMUSG00000019804	Snx3	54198
ENSMUSG00000008036	Ap2s1	232910
ENSMUSG00000015214	Mtmr1	53332
ENSMUSG00000028999	Rint1	72772
ENSMUSG00000026787	Gad2	14417
ENSMUSG00000035969	Rusc2	100213
ENSMUSG00000019802	Sec63	140740
ENSMUSG00000061518	Cox5b	12859
ENSMUSG00000038784	Cnot4	53621
ENSMUSG00000030374	Strn4	97387
ENSMUSG00000037351	Actr1b	226977
ENSMUSG00000035776	Cd99l2	171486
ENSMUSG00000044770	Scml4	268297
ENSMUSG00000102416	4933424G06Rik	71166
ENSMUSG00000104237	Gm33533	
ENSMUSG00000026784	Pdss1	56075
ENSMUSG00000028998	Tomm7	66169
ENSMUSG00000023087	Noct	12457
ENSMUSG00000037174	Elf2	69257
ENSMUSG00000038759	Nup205	70699
ENSMUSG00000038248	Sobp	109205
ENSMUSG00000026116	Tmem131	56030
ENSMUSG00000038240	Pdss2	71365
ENSMUSG00000058835	Abi1	11308
