p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff	current_cluster	p_val_adj_negbinom
4.28242545930132e-11	-0.932998701228117	0.186	0.597	2.45648489196442e-06	Rpl35a	-0.411	C286-5	8.08327404792567e-07
4.9781855196013e-11	-1.34221762342095	0.4	0.69	2.8555867777537e-06	Stmn1	-0.29	C286-5	3.93624633972535e-11
5.72191328008526e-11	-0.898662526152814	0.3	0.675	3.2822038957225e-06	Rpl36	-0.375	C286-5	1.71575397006736e-06
5.91559395208267e-11	-1.65471485593644	0.371	0.657	3.39330300279366e-06	Arl6ip1	-0.286	C286-5	1.10398727482856e-12
6.089470165539e-11	-1.01789568542838	0.229	0.608	3.49304187635648e-06	Rpl14	-0.379	C286-5	2.66107879784775e-07
6.21317631656231e-11	-1.20196416761035	0.329	0.627	3.56400219870647e-06	Rps27a	-0.298	C286-5	7.21829504699444e-10
7.14783061389583e-11	-1.06770735352385	0.371	0.664	4.10013859674292e-06	Hint1	-0.293	C286-5	4.39682363491548e-08
7.62598967835054e-11	-0.92059198624128	0.471	0.731	4.37442019929544e-06	Bex1	-0.26	C286-5	1.75016683595299e-06
8.05236626818984e-11	-0.986625458852515	0.629	0.806	4.61899833875906e-06	Eif1	-0.177	C286-5	1.6296564558872e-07
8.88173766369143e-11	-0.644004411698256	0.814	0.899	5.09474235864668e-06	Cdr1os	-0.0850000000000001	C286-5	0.200627070143861
8.92507815184773e-11	-1.69595396970889	0.614	0.735	5.11960332946289e-06	Hsp90ab1	-0.121	C286-5	6.91348382600772e-14
1.06721504586606e-10	-0.814986680847452	0.057	0.489	6.12175894609689e-06	Ndufb11	-0.432	C286-5	0.002476661432539
1.09795477105885e-10	-0.901085315537501	0.1	0.526	6.29808815774779e-06	Rps4x	-0.426	C286-5	4.51834295186663e-05
1.34894861658685e-10	-1.15949463138991	0.329	0.634	7.73783905446549e-06	Nrsn2	-0.305	C286-5	1.58190627996909e-08
1.64306919808719e-10	-0.834119617393827	0.114	0.522	9.42497353406775e-06	Ubl5	-0.408	C286-5	9.07230727541554e-05
1.72828082541452e-10	-0.82133264495891	0.129	0.556	9.9137644707428e-06	Mif	-0.427	C286-5	8.30513957275073e-05
2.31256687599893e-10	-1.03311316065901	0.157	0.549	1.3265346114105e-05	Rps3a1	-0.392	C286-5	4.28203256918369e-07
2.49868955513746e-10	-1.27323027327505	0.243	0.586	1.43329830261795e-05	Ndufa4	-0.343	C286-5	2.3071350458946e-09
2.62820560950785e-10	-0.880455055028175	0.157	0.552	1.50759130172589e-05	Tuba1b	-0.395	C286-5	1.94991762606349e-05
3.04609474069491e-10	-0.833088037751708	0.186	0.601	1.74730086515741e-05	Rtl8a	-0.415	C286-5	4.57825184635009e-05
3.17382901315292e-10	-0.916238935907066	0.143	0.537	1.82057179852478e-05	Rps3	-0.394	C286-5	5.10572999395692e-06
3.26836423074818e-10	-1.00082648867294	0.157	0.56	1.87479909004177e-05	Cox6c	-0.403	C286-5	7.2525649032228e-07
3.27941871230702e-10	-0.948885377919285	0.143	0.534	1.88114016175355e-05	Atp5o.1	-0.391	C286-5	4.30781495326556e-06
3.32490992462606e-10	-1.92136451428345	0.471	0.683	1.907234830964e-05	Calm1	-0.212	C286-5	6.77305340295393e-16
3.98853547289524e-10	-0.941840356100943	0.2	0.582	2.28790371796217e-05	Rps11	-0.382	C286-5	2.31386191167895e-06
4.6488258031475e-10	-0.930036794040198	0.114	0.507	2.66665945720147e-05	Tomm20	-0.393	C286-5	2.45687099108565e-05
4.6991363939072e-10	-0.719288556847512	0.014	0.422	2.69551861827305e-05	Dynlrb1	-0.408	C286-5	0.275906151304409
4.94031898608787e-10	-0.883969373017726	0.314	0.66	2.83386577679972e-05	Gm1673	-0.346	C286-5	5.15213615963412e-06
5.01433226091121e-10	-0.87379222146706	0.229	0.601	2.87632127150389e-05	Rps26	-0.372	C286-5	3.09149226455724e-05
6.54996133071963e-10	-0.462478446770035	1	1	3.7571888185274e-05	Snhg14	0	C286-5	1
7.23794972485761e-10	-1.01653888995251	0.2	0.563	4.15183272117282e-05	Tpt1	-0.363	C286-5	7.17632051040671e-07
7.46823981588269e-10	-0.852474921155531	0.229	0.597	4.28393172318663e-05	Rpl22l1	-0.368	C286-5	3.21410163230222e-05
7.46850847317841e-10	-0.763795395458357	0.171	0.567	4.2840858303846e-05	Avp	-0.396	C286-5	0.000306168314323073
7.8010859352828e-10	-0.968818504346685	0.171	0.545	4.47485891419692e-05	Rps16	-0.374	C286-5	1.63679454468375e-06
7.81363274316733e-10	-0.629151755649045	0.043	0.444	4.48205601413564e-05	Cycs	-0.401	C286-5	0.125115217916374
7.9432535480696e-10	-0.756449335637907	0.929	0.914	4.55640910024368e-05	6330403K07Rik	0.015	C286-5	0.000666128256316811
8.86413367361039e-10	-0.917050777546263	0.229	0.582	5.08464435785639e-05	Ndufa5	-0.353	C286-5	6.57590670569535e-06
9.48185570726149e-10	-1.14975796917189	0.543	0.694	5.43898207079934e-05	Slc25a4	-0.151	C286-5	7.63558998923856e-09
9.87457787501478e-10	-1.09741014849176	0.243	0.593	5.66425536066598e-05	Nenf	-0.35	C286-5	1.25002198435746e-07
9.92521242124566e-10	-0.783523776395804	0.186	0.567	5.69330034907494e-05	Rps27	-0.381	C286-5	0.000946162237435376
1.03517532221737e-09	-0.781282526167434	0.129	0.549	5.93797268330329e-05	Mrfap1	-0.42	C286-5	0.000325709854066306
1.28194511644627e-09	-0.961214393837891	0.243	0.59	7.35349357695907e-05	Rplp2	-0.347	C286-5	2.08225613213289e-06
1.32302765944567e-09	-0.756908112670459	0.1	0.507	7.58915126011226e-05	Pfdn5	-0.407	C286-5	0.000491860585281077
1.40137424906636e-09	-0.971301075339404	0.271	0.604	8.03856296749443e-05	Fkbp3	-0.333	C286-5	6.09338151960555e-07
1.40359943656218e-09	-0.772987278964819	0.7	0.884	8.05132708800795e-05	Clk1	-0.184	C286-5	0.00652996296015871
1.63806003988122e-09	-0.777830564983895	0.157	0.537	9.39624000076666e-05	Rpl34	-0.38	C286-5	0.000108312389013315
1.72727236992054e-09	-0.837186131368625	0.186	0.575	9.9079797683382e-05	Atp5h	-0.389	C286-5	1.1040143704756e-05
1.73509122198215e-09	0.534810778790642	0.814	0.448	9.952830267534e-05	Mrtfa	0.366	C286-5	1.45716198652051e-07
1.81735682072919e-09	-0.978836191365645	0.329	0.638	0.000104247221950668	Elob	-0.309	C286-5	2.50405640431813e-06
1.8175878147711e-09	-0.918810346249116	0.429	0.683	0.0001042604722309	Fkbp2	-0.254	C286-5	1.31207328285199e-05
2.0302658951643e-09	-0.823821786943377	0.171	0.541	0.000116460112278414	Atp6v0e2	-0.37	C286-5	4.20256730032949e-05
2.06528458060464e-09	-0.809589720753699	0.143	0.522	0.000118468854112643	Atp6v1f	-0.379	C286-5	0.000210949961659802
2.21493276991184e-09	-0.928892026469373	0.186	0.541	0.000127052973547683	Sub1	-0.355	C286-5	5.41990476118436e-06
2.27301202643239e-09	-0.917099957524732	0.271	0.597	0.000130384515860215	Sncb	-0.326	C286-5	2.80651299748213e-06
2.32709972311238e-09	-1.83320173896486	0.6	0.728	0.000133487094317172	Ubb	-0.128	C286-5	7.51540956971823e-15
2.33992825802306e-09	-1.0465850986995	0.414	0.642	0.000134222964736719	Atp5md	-0.228	C286-5	9.39251095951663e-08
2.51138498239833e-09	-0.663624043101045	0.229	0.597	0.000144058065360333	Ergic3	-0.368	C286-5	0.00272970258581085
2.64030150932465e-09	-0.798382476691937	0.086	0.478	0.000151452975177881	mt-Nd2	-0.392	C286-5	0.00112499469557602
2.82932419440419e-09	-0.879308721364256	0.671	0.799	0.000162295694439413	Uchl1	-0.128	C286-5	1.65779303881319e-05
2.8513862595433e-09	-0.828696471421709	0.129	0.504	0.000163561218619923	Ubc	-0.375	C286-5	0.000149225248787253
3.16380582133944e-09	-0.842336064433065	0.171	0.552	0.000181482229523673	Atp5g3	-0.381	C286-5	2.15033218827989e-05
3.46032800678305e-09	-0.852613703860853	0.871	0.892	0.000198491335125089	Gap43	-0.021	C286-5	0.000158791669023098
3.47999260440814e-09	-0.868625170015772	0.771	0.843	0.00019961933577406	Tmx4	-0.072	C286-5	0.000247117130441972
4.46949258035382e-09	-0.970718995974148	0.414	0.668	0.000256379033394256	Tubb2a	-0.254	C286-5	1.00765090590988e-06
4.48763138887304e-09	0.580094332557108	0.986	0.914	0.000257419511728535	Rnpc3	0.072	C286-5	6.4548348672737e-05
4.63004523563943e-09	-0.932612809144735	0.243	0.571	0.000265588654806749	Rps20	-0.328	C286-5	7.07262881903903e-06
4.95843307585609e-09	-1.04998118206391	0.4	0.646	0.000284425638097257	Ywhah	-0.246	C286-5	1.34351782140251e-07
4.96646209283474e-09	0.443999883446445	1	1	0.000284886198569187	Grip1	0	C286-5	2.30648251294642e-09
4.98309910457901e-09	0.439067630508834	1	0.955	0.000285840530836861	Baiap3	0.045	C286-5	0.0228827228532311
5.50112454169426e-09	-0.816771538272713	0.086	0.459	0.000315555505960666	Gm10076	-0.373	C286-5	0.000477547055394774
6.18445403899925e-09	0.695286315977788	1	0.84	0.000354752652585075	Kirrel3	0.16	C286-5	7.34368112783611e-05
6.47593660920175e-09	0.547144850089537	0.814	0.496	0.000371472675777031	Caskin1	0.318	C286-5	8.01857643177857e-05
6.88691066238823e-09	0.569418711117894	0.943	0.795	0.000395046969415914	Srgap3	0.148	C286-5	1.0383990135911e-06
6.95643257805089e-09	0.366424573541436	1	0.996	0.000399034885542155	Grin2b	0.004	C286-5	7.10381785556196e-05
6.99485836583075e-09	-0.895739131044191	0.157	0.519	0.000401239065580784	Nme1	-0.362	C286-5	2.04073350377295e-05
7.12729103722265e-09	0.566577876292073	0.886	0.597	0.000408835668477166	Kcnd3	0.289	C286-5	1.43171307640312e-07
7.21931323964054e-09	-0.77910934558087	0.1	0.47	0.00041411424605226	Uqcrb	-0.37	C286-5	0.000755029488384507
7.49217829694783e-09	-0.742019716729625	0.129	0.496	0.000429766331469521	Calm3	-0.367	C286-5	0.000525435412459448
7.5129289101671e-09	-0.825685242612654	0.543	0.754	0.000430956628145005	Tmem59l	-0.211	C286-5	4.43522402004766e-05
7.51937914798562e-09	-0.924726006158331	0.343	0.631	0.000431326626686751	Selenok	-0.288	C286-5	7.52672475747367e-06
7.78009178955665e-09	-0.778763249985442	0.114	0.489	0.000446281625232548	Pgam1	-0.375	C286-5	0.000355086963190768
7.88742131887597e-09	-1.06492514121014	0.743	0.832	0.000452438261693363	Rpl6	-0.089	C286-5	7.12912751212329e-07
7.9385486364636e-09	-0.946232956016737	0.2	0.545	0.000455371026884825	Atp5j	-0.345	C286-5	1.32679713533406e-05
9.37670408094148e-09	-0.739954095134301	0.329	0.638	0.000537866499490965	Tbca	-0.309	C286-5	0.000193375501186907
9.72094287024579e-09	-0.748032990685791	0.086	0.47	0.000557612724923039	Atp5e	-0.384	C286-5	0.000937184135406531
9.81385036744082e-09	-0.936680917651324	0.371	0.634	0.00056294208477714	Dynll1	-0.263	C286-5	1.86679005210193e-06
1.01162100455856e-08	-1.01813508689924	0.686	0.772	0.000580286040634883	Sec62	-0.086	C286-5	2.1644175370922e-06
1.04172539645451e-08	-0.767652032380099	0.129	0.5	0.000597554521914237	Uqcr11	-0.371	C286-5	0.000351542502937898
1.04777219213153e-08	-0.724814315352667	0.414	0.69	0.000601023084850491	Selenom	-0.276	C286-5	0.00177516748555524
1.06476584315852e-08	-0.822045713268903	0.486	0.709	0.00061077098295259	Itm2c	-0.223	C286-5	7.05079358995889e-05
1.11407734487358e-08	-0.557930778551412	0.014	0.369	0.000639057046566383	Rpl7	-0.355	C286-5	1
1.15696619196265e-08	-0.796817728854958	0.257	0.593	0.000663658947033614	Ldhb	-0.336	C286-5	8.21094521112064e-05
1.16054262501744e-08	-0.647176209606117	0.043	0.41	0.000665710460562505	Ndufb7	-0.367	C286-5	0.155449585324304
1.21131549049127e-08	-0.924884558628207	0.486	0.675	0.0006948347916556	Actg1	-0.189	C286-5	7.18795396205498e-06
1.24011338722874e-08	-0.901018582082951	0.171	0.511	0.000711353841182149	Ndufc1	-0.34	C286-5	2.23232405701665e-05
1.35233525544725e-08	-0.617843793862684	0.071	0.433	0.000775726549229649	mt-Rnr1	-0.362	C286-5	0.082472833957688
1.35687323818193e-08	-0.751452071556399	0.229	0.582	0.00077832962688592	Ndufa11	-0.353	C286-5	0.00011958273578348
1.38119193931964e-08	-0.87351240748146	0.314	0.612	0.000792279320232534	Rabac1	-0.298	C286-5	2.5075515640154e-05
1.46222215972465e-08	-0.801415514377463	0.371	0.631	0.000838759875261251	Uqcrq	-0.26	C286-5	8.74621439288654e-05
1.47112679116521e-08	-0.628483600461381	0.086	0.466	0.000843867749948185	Rps23	-0.38	C286-5	0.0119024382959093
1.78633897924464e-08	0.554068827868896	0.786	0.481	0.00102467976527431	Mecr	0.305	C286-5	2.38650819041354e-06
1.79083755957889e-08	-0.924286052081442	0.2	0.56	0.00102726024092564	Chgb	-0.36	C286-5	5.72074672366949e-05
2.03979926459148e-08	-0.329586317958182	1	1	0.00117006965415497	Ahi1	0	C286-5	
2.10685099328657e-08	-0.617551295020836	0.114	0.478	0.00120853186676904	Chmp2a	-0.364	C286-5	0.0215431454601469
2.12184169357074e-08	-0.815713361349318	0.257	0.578	0.00121713083226605	Timp2	-0.321	C286-5	6.50133015339558e-05
2.22652241298127e-08	-0.688930069800259	0.243	0.575	0.00127717778653431	Rps14	-0.332	C286-5	0.000480221894973657
2.46274251329365e-08	-0.75449084135682	0.129	0.474	0.0014126783604755	Cacybp	-0.345	C286-5	0.00037380329694998
2.47705191867874e-08	-0.70556176347017	0.186	0.53	0.0014208865215925	Crip2	-0.344	C286-5	0.00150060658550006
2.55285771695742e-08	-1.44124152303341	0.529	0.646	0.00146437024360112	Ppia	-0.117	C286-5	2.32928756407538e-10
2.56188821545632e-08	-0.862361702733042	0.286	0.582	0.00146955031815005	Cfl1	-0.296	C286-5	4.10621863791885e-05
2.6792620103101e-08	0.368864055497347	1	0.996	0.00153687827435408	Frmd4a	0.004	C286-5	1.18698216543424e-05
2.68098480307119e-08	-0.568716051581653	0.9	0.951	0.00153786650273769	Ddx5	-0.0509999999999999	C286-5	1
2.69405806575658e-08	-0.896411442731235	0.286	0.567	0.00154536558767929	Ywhab	-0.281	C286-5	5.77996329188752e-06
2.71716163282701e-08	-0.786768644931476	0.143	0.496	0.00155861825582223	Ndufb8	-0.353	C286-5	0.000147253884834044
3.23548040449562e-08	0.541459848022481	0.729	0.392	0.00185593626962677	Zcchc14	0.337	C286-5	0.000184787585724278
3.25933235823688e-08	-0.91491611823253	0.6	0.716	0.00186961822733184	Eef1a1	-0.116	C286-5	1.37591832322961e-05
3.30420055486676e-08	-0.725188920612729	0.457	0.705	0.00189535552228267	Saraf	-0.248	C286-5	0.00110839405048339
3.61208056183489e-08	-0.693252322509668	0.129	0.493	0.00207196165187973	Rpl18a	-0.364	C286-5	0.000945939226369185
3.68325221509875e-08	-0.712242656972595	0.314	0.631	0.00211278713562495	Igsf8	-0.317	C286-5	0.00429703407544123
3.84844334017277e-08	-0.749339114198706	0.129	0.474	0.0022075440687899	Fabp5	-0.345	C286-5	0.00150606805223239
4.25440191027235e-08	-0.600317685792944	0.086	0.433	0.00244041002377043	Ndufa8	-0.347	C286-5	0.0592748934661191
4.29232162513373e-08	-0.724507294375758	0.157	0.507	0.00246216153060921	Rps9	-0.35	C286-5	0.00197424174349258
4.3134407405213e-08	-0.849153006792289	0.557	0.713	0.00247427587757783	Oaz1	-0.156	C286-5	7.18999110646325e-05
4.34349637090986e-08	-0.706705656877833	0.171	0.515	0.00249151638828131	Eef1b2	-0.344	C286-5	0.000908011770517563
4.38597395739094e-08	-0.755927727315665	0.457	0.698	0.00251588238143859	Cd81	-0.241	C286-5	0.00101744282677537
4.9076044387668e-08	-0.734922161450298	0.214	0.541	0.00281510005816541	Calr	-0.327	C286-5	0.000630274115398226
4.94353146273872e-08	-0.834041095249862	0.386	0.646	0.00283570851765618	Pebp1	-0.26	C286-5	0.000223295789848215
5.53198895443263e-08	-0.703193807279619	0.271	0.582	0.00317325950404165	Rps15	-0.311	C286-5	0.000996151501733119
5.57645940651184e-08	0.311002602985601	0.271	0.056	0.00319876864476332	Deup1	0.215	C286-5	0.134556978472633
5.7332516636807e-08	0.478703082304284	1	0.937	0.00328870781932052	Pbx1	0.0629999999999999	C286-5	3.02743201447559e-10
5.77243696421871e-08	-0.766729017298741	0.186	0.511	0.00331118529141514	Dynll2	-0.325	C286-5	0.000261038705443881
6.08053645986879e-08	-0.81771462354683	0.329	0.601	0.00348791732410994	Pkm	-0.272	C286-5	4.8439047069653e-05
6.70000695811631e-08	-0.71021314349162	0.2	0.537	0.00384325799131468	Swi5	-0.337	C286-5	0.00287979480086893
7.0346791087731e-08	0.502039059986457	0.986	0.866	0.00403523263037443	Mbnl2	0.12	C286-5	3.71785890283176e-05
7.066681214856e-08	-0.699214725223949	0.143	0.478	0.0040535896784657	Rpl30	-0.335	C286-5	0.00307204670007539
7.07148447039161e-08	-0.760112540536595	0.214	0.534	0.00405634492190604	Tm2d3	-0.32	C286-5	0.000466462115386078
7.22812748287273e-08	-0.733235160000463	0.243	0.575	0.00414619848672545	Rpl37a	-0.332	C286-5	0.00205001692215881
8.64774872778625e-08	-0.807580380981846	0.371	0.679	0.00496052162523275	C1ql3	-0.308	C286-5	0.00422117998892881
8.77405552161214e-08	-0.906236417887582	0.329	0.597	0.00503297372830715	Cox5a	-0.268	C286-5	4.37109543220201e-05
8.99372248664859e-08	-0.679937752406748	0.271	0.59	0.00515897909279137	Emc7	-0.319	C286-5	0.00276375690098681
9.23654059709709e-08	0.492412107874918	0.986	0.817	0.00529826441730683	Cmip	0.169	C286-5	0.000627030195836513
9.25413060452042e-08	-0.672579829359409	0.157	0.5	0.005308354397365	Sec11c	-0.343	C286-5	0.00467600335210586
9.34563589522937e-08	0.48800080960028	1	0.937	0.00536084366222147	Prickle2	0.0629999999999999	C286-5	3.78845316725088e-13
