gene	class	siteSet_name	pwm_name	total_pwms_in_gene	n_transcripts	pwms_per_transcript
Nr2e1	Background	MA0018.1	CREB1	10	2	5
Ostm1	Background	MA0018.1	CREB1	11	2	5.5
Ranbp2	Background	MA0018.1	CREB1	17	4	4.25
Dnajb12	Background	MA0018.1	CREB1	7	1	7
Lrrc20	Background	MA0018.1	CREB1	1	1	1
Macroh2a2	Background	MA0018.1	CREB1	6	1	6
Tspan15	Background	MA0018.1	CREB1	1	2	0.5
Egr2	IEGs	MA0018.1	CREB1	8	2	4
Phyhipl	Background	MA0018.1	CREB1	7	2	3.5
Snrpd3	Background	MA0018.1	CREB1	6	1	6
Mcm3ap	Background	MA0018.1	CREB1	5	2	2.5
Col18a1	Background	MA0018.1	CREB1	18	5	3.6
Rrp1	Background	MA0018.1	CREB1	8	1	8
Tcf3	Background	MA0018.1	CREB1	13	4	3.25
Csnk1g2	Background	MA0018.1	CREB1	21	2	10.5
Gadd45b	IEGs	MA0018.1	CREB1	3	1	3
Zbtb7a	Background	MA0018.1	CREB1	14	6	2.33333333333333
Matk	Background	MA0018.1	CREB1	6	3	2
Mrpl54	Background	MA0018.1	CREB1	5	1	5
Hmg20b	Background	MA0018.1	CREB1	9	2	4.5
Celf5	Background	MA0018.1	CREB1	16	4	4
Ncln	Background	MA0018.1	CREB1	7	2	3.5
S1pr4	Background	MA0018.1	CREB1	4	1	4
Tdg	Background	MA0018.1	CREB1	5	1	5
Nuak1	Background	MA0018.1	CREB1	6	1	6
Cry1	Background	MA0018.1	CREB1	12	1	12
Anks1b	Background	MA0018.1	CREB1	23	6	3.83333333333333
Ikbip	Background	MA0018.1	CREB1	5	1	5
Mrpl42	Background	MA0018.1	CREB1	1	1	1
Dusp6	IEGs	MA0018.1	CREB1	7	2	3.5
Slc6a15	Background	MA0018.1	CREB1	3	1	3
Ptprb	Background	MA0018.1	CREB1	10	3	3.33333333333333
Gm5781	Background	MA0018.1	CREB1	2	1	2
Cpm	Background	MA0018.1	CREB1	9	2	4.5
Msrb3	Background	MA0018.1	CREB1	8	2	4
Ppm1h	Background	MA0018.1	CREB1	18	4	4.5
Ndufa4l2	Background	MA0018.1	CREB1	4	1	4
Il23a	IEGs	MA0018.1	CREB1	3	1	3
Cs	Background	MA0018.1	CREB1	8	2	4
Smarcc2	Background	MA0018.1	CREB1	14	4	3.5
Rdh5	Background	MA0018.1	CREB1	4	1	4
Drg1	Background	MA0018.1	CREB1	3	1	3
Tug1	Background	MA0018.1	CREB1	17	3	5.66666666666667
Zmat5	Background	MA0018.1	CREB1	3	1	3
Rhbdd3	Background	MA0018.1	CREB1	4	2	2
Kremen1	Background	MA0018.1	CREB1	6	1	6
Nacad	Background	MA0018.1	CREB1	13	2	6.5
Cobl	Background	MA0018.1	CREB1	5	2	2.5
Eldr	Background	MA0018.1	CREB1	1	1	1
Wdr92	Background	MA0018.1	CREB1	7	1	7
Peli1	IEGs	MA0018.1	CREB1	8	3	2.66666666666667
Ugp2	Background	MA0018.1	CREB1	5	2	2.5
Rpl15-ps1	Background	MA0018.1	CREB1	3	1	3
Cct4	Background	MA0018.1	CREB1	5	1	5
Usp34	Background	MA0018.1	CREB1	1	1	1
Ahsa2	Background	MA0018.1	CREB1	4	1	4
5730522E02Rik	Background	MA0018.1	CREB1	4	1	4
Efemp1	Background	MA0018.1	CREB1	7	3	2.33333333333333
Ppp4r3b	Background	MA0018.1	CREB1	14	3	4.66666666666667
Rps27a	Background	MA0018.1	CREB1	7	2	3.5
Stk10	Background	MA0018.1	CREB1	8	2	4
Tenm2	Background	MA0018.1	CREB1	14	6	2.33333333333333
Hspd1-ps3	Background	MA0018.1	CREB1	5	1	5
Adra1b	Background	MA0018.1	CREB1	18	2	9
Med7	Background	MA0018.1	CREB1	4	1	4
Rack1	Background	MA0018.1	CREB1	11	3	3.66666666666667
Trim41	Background	MA0018.1	CREB1	8	2	4
Phykpl	Background	MA0018.1	CREB1	5	1	5
Sec24a	Background	MA0018.1	CREB1	18	3	6
9530068E07Rik	Background	MA0018.1	CREB1	5	1	5
Septin8	Background	MA0018.1	CREB1	1	1	1
Irf1	IEGs	MA0018.1	CREB1	4	1	4
Tnip1	Background	MA0018.1	CREB1	10	4	2.5
Slc36a1	Background	MA0018.1	CREB1	5	2	2.5
Sparc	Background	MA0018.1	CREB1	11	4	2.75
Gm12258	Background	MA0018.1	CREB1	3	1	3
Rasd1	IEGs	MA0018.1	CREB1	4	1	4
Pmp22	Background	MA0018.1	CREB1	13	3	4.33333333333333
Per1	IEGs	MA0018.1	CREB1	13	4	3.25
Trappc1	Background	MA0018.1	CREB1	8	1	8
Efnb3	Background	MA0018.1	CREB1	2	1	2
Cd68	Background	MA0018.1	CREB1	3	1	3
Tmem256	Background	MA0018.1	CREB1	6	1	6
Slc16a11	Background	MA0018.1	CREB1	10	2	5
0610010K14Rik	Background	MA0018.1	CREB1	8	1	8
Psmb6	Background	MA0018.1	CREB1	10	2	5
Txndc17	Background	MA0018.1	CREB1	4	1	4
Ccdc92b	Background	MA0018.1	CREB1	3	1	3
Mnt	Background	MA0018.1	CREB1	4	1	4
1700016P03Rik	IEGs	MA0018.1	CREB1	8	1	8
Rtn4rl1	Background	MA0018.1	CREB1	1	1	1
Vps53	Background	MA0018.1	CREB1	8	3	2.66666666666667
Timm22	Background	MA0018.1	CREB1	4	1	4
Traf4	Background	MA0018.1	CREB1	4	1	4
Tlcd1	Background	MA0018.1	CREB1	14	3	4.66666666666667
Rskr	Background	MA0018.1	CREB1	3	1	3
Spag5	Background	MA0018.1	CREB1	6	2	3
Evi2a	Background	MA0018.1	CREB1	4	2	2
Ccl2	IEGs	MA0018.1	CREB1	1	1	1
Ccl12	IEGs	MA0018.1	CREB1	3	1	3
Ccl5	IEGs	MA0018.1	CREB1	2	1	2
Ccl3	IEGs	MA0018.1	CREB1	4	1	4
Heatr6	Background	MA0018.1	CREB1	2	1	2
Dusp14	Background	MA0018.1	CREB1	11	2	5.5
Appbp2	Background	MA0018.1	CREB1	6	1	6
Trim37	Background	MA0018.1	CREB1	9	1	9
Tspoap1	Background	MA0018.1	CREB1	5	2	2.5
Car10	Background	MA0018.1	CREB1	7	3	2.33333333333333
Ankrd40	Background	MA0018.1	CREB1	1	1	1
Xylt2	Background	MA0018.1	CREB1	5	1	5
Gngt2	Background	MA0018.1	CREB1	4	2	2
Mrpl10	Background	MA0018.1	CREB1	5	1	5
Med1	Background	MA0018.1	CREB1	11	3	3.66666666666667
Stard3	Background	MA0018.1	CREB1	7	3	2.33333333333333
Ormdl3	Background	MA0018.1	CREB1	8	2	4
Rapgefl1	Background	MA0018.1	CREB1	2	1	2
Smarce1	Background	MA0018.1	CREB1	7	2	3.5
Cavin1	Background	MA0018.1	CREB1	8	2	4
Atp6v0a1	Background	MA0018.1	CREB1	23	9	2.55555555555556
Naglu	Background	MA0018.1	CREB1	13	3	4.33333333333333
Psmc3ip	Background	MA0018.1	CREB1	5	1	5
Tubg1	Background	MA0018.1	CREB1	3	1	3
Fzd2	Background	MA0018.1	CREB1	16	2	8
Adam11	Background	MA0018.1	CREB1	9	2	4.5
Efcab15	Background	MA0018.1	CREB1	6	2	3
Limd2	Background	MA0018.1	CREB1	6	2	3
Bptf	Background	MA0018.1	CREB1	9	1	9
Grin2c	Background	MA0018.1	CREB1	2	1	2
Hid1	Background	MA0018.1	CREB1	3	1	3
Acox1	Background	MA0018.1	CREB1	9	2	4.5
Ube2o	Background	MA0018.1	CREB1	5	1	5
St6galnac2	Background	MA0018.1	CREB1	18	4	4.5
Socs3	IEGs	MA0018.1	CREB1	5	2	2.5
Eif4a3	Background	MA0018.1	CREB1	10	1	10
0610009L18Rik	Background	MA0018.1	CREB1	6	1	6
Notum	Background	MA0018.1	CREB1	10	2	5
Dus1l	Background	MA0018.1	CREB1	2	1	2
Hexdc	Background	MA0018.1	CREB1	12	2	6
Cybc1	Background	MA0018.1	CREB1	7	1	7
Fam228b	Background	MA0018.1	CREB1	3	1	3
Lratd1	Background	MA0018.1	CREB1	1	1	1
Id2	IEGs	MA0018.1	CREB1	15	2	7.5
Rnf144a	Background	MA0018.1	CREB1	8	2	4
Ferd3l	Background	MA0018.1	CREB1	1	1	1
Etv1	Background	MA0018.1	CREB1	6	3	2
Ap4s1	Background	MA0018.1	CREB1	5	1	5
Dtd2	Background	MA0018.1	CREB1	8	2	4
Nfkbia	IEGs	MA0018.1	CREB1	6	2	3
Mia2	Background	MA0018.1	CREB1	7	3	2.33333333333333
Fbxo33	IEGs	MA0018.1	CREB1	11	1	11
Rps29	Background	MA0018.1	CREB1	10	1	10
Arf6	Background	MA0018.1	CREB1	12	2	6
Actr10	Background	MA0018.1	CREB1	13	2	6.5
3110056K07Rik	Background	MA0018.1	CREB1	5	1	5
Dbpht2	Background	MA0018.1	CREB1	1	2	0.5
Syne2	Background	MA0018.1	CREB1	18	5	3.6
Fntb	Background	MA0018.1	CREB1	19	5	3.8
Smoc1	Background	MA0018.1	CREB1	4	1	4
Ptgr2	Background	MA0018.1	CREB1	8	1	8
Fos	IEGs	MA0018.1	CREB1	7	2	3.5
Flrt2	Background	MA0018.1	CREB1	4	3	1.33333333333333
Ccdc88c	Background	MA0018.1	CREB1	9	1	9
Ppp4r3a	Background	MA0018.1	CREB1	11	2	5.5
Tunar	Background	MA0018.1	CREB1	6	1	6
Gskip	Background	MA0018.1	CREB1	6	1	6
Eml1	Background	MA0018.1	CREB1	9	3	3
Klc1	Background	MA0018.1	CREB1	16	3	5.33333333333333
Zfyve21	Background	MA0018.1	CREB1	7	1	7
Tedc1	Background	MA0018.1	CREB1	4	1	4
Itgb8	Background	MA0018.1	CREB1	2	1	2
Klf6	IEGs	MA0018.1	CREB1	8	2	4
Hecw1	Background	MA0018.1	CREB1	7	4	1.75
Inhba	IEGs	MA0018.1	CREB1	1	2	0.5
Cdk13	Background	MA0018.1	CREB1	11	1	11
Amph	Background	MA0018.1	CREB1	5	1	5
Stard3nl	Background	MA0018.1	CREB1	7	1	7
H4c9	Background	MA0018.1	CREB1	6	1	6
BC005537	Background	MA0018.1	CREB1	8	3	2.66666666666667
Serpinb1b	Background	MA0018.1	CREB1	5	2	2.5
Ripk1	Background	MA0018.1	CREB1	6	1	6
Eci2	Background	MA0018.1	CREB1	4	3	1.33333333333333
Nrn1	IEGs	MA0018.1	CREB1	3	1	3
Ssr1	Background	MA0018.1	CREB1	7	3	2.33333333333333
Riok1	Background	MA0018.1	CREB1	7	1	7
Gcnt2	Background	MA0018.1	CREB1	12	4	3
Cd83	IEGs	MA0018.1	CREB1	6	1	6
Kif13a	Background	MA0018.1	CREB1	6	1	6
Fbxw17	Background	MA0018.1	CREB1	2	1	2
Gadd45g	IEGs	MA0018.1	CREB1	1	1	1
Sptlc1	Background	MA0018.1	CREB1	2	1	2
Drd1	Background	MA0018.1	CREB1	12	2	6
Hk3	Background	MA0018.1	CREB1	1	1	1
Tmed9	Background	MA0018.1	CREB1	3	2	1.5
Tgfbi	Background	MA0018.1	CREB1	10	3	3.33333333333333
Trpc7	Background	MA0018.1	CREB1	3	1	3
Klhl3	Background	MA0018.1	CREB1	11	3	3.66666666666667
Ercc6l2	Background	MA0018.1	CREB1	7	1	7
Zfp367	Background	MA0018.1	CREB1	8	2	4
Adcy2	Background	MA0018.1	CREB1	3	1	3
Srd5a1	Background	MA0018.1	CREB1	3	2	1.5
Ice1	Background	MA0018.1	CREB1	9	2	4.5
Homer1	IEGs	MA0018.1	CREB1	19	4	4.75
Fcho2	Background	MA0018.1	CREB1	10	2	5
Map1b	Background	MA0018.1	CREB1	38	9	4.22222222222222
Cdk7	Background	MA0018.1	CREB1	4	1	4
Kif2a	Background	MA0018.1	CREB1	7	1	7
Plk2	IEGs	MA0018.1	CREB1	18	4	4.5
Slc38a9	Background	MA0018.1	CREB1	9	2	4.5
Fst	Background	MA0018.1	CREB1	7	2	3.5
Tmem267	Background	MA0018.1	CREB1	9	1	9
Slc4a7	Background	MA0018.1	CREB1	11	3	3.66666666666667
Rtraf	Background	MA0018.1	CREB1	1	1	1
Ecd	Background	MA0018.1	CREB1	3	1	3
Cfap70	Background	MA0018.1	CREB1	3	1	3
Ppp3cb	Background	MA0018.1	CREB1	5	1	5
Plau	IEGs	MA0018.1	CREB1	3	1	3
Polr3a	Background	MA0018.1	CREB1	5	1	5
Zmiz1	Background	MA0018.1	CREB1	14	5	2.8
Arf4	IEGs	MA0018.1	CREB1	7	2	3.5
Arhgef3	IEGs	MA0018.1	CREB1	17	4	4.25
Glt8d1	Background	MA0018.1	CREB1	1	1	1
Capn7	Background	MA0018.1	CREB1	1	1	1
Frmpd2	Background	MA0018.1	CREB1	3	1	3
Ccser2	Background	MA0018.1	CREB1	5	4	1.25
Ghitm	Background	MA0018.1	CREB1	7	1	7
Nrg3	Background	MA0018.1	CREB1	9	2	4.5
Dydc2	Background	MA0018.1	CREB1	3	1	3
Cgrrf1	Background	MA0018.1	CREB1	4	1	4
Socs4	Background	MA0018.1	CREB1	5	1	5
Fbxo34	Background	MA0018.1	CREB1	10	2	5
Ktn1	Background	MA0018.1	CREB1	10	3	3.33333333333333
Osgep	Background	MA0018.1	CREB1	14	2	7
Pnp	Background	MA0018.1	CREB1	5	2	2.5
Rnase4	Background	MA0018.1	CREB1	6	2	3
Zfhx2	Background	MA0018.1	CREB1	9	3	3
Dcaf11	Background	MA0018.1	CREB1	1	1	1
Psme2	Background	MA0018.1	CREB1	8	2	4
Dhrs1	Background	MA0018.1	CREB1	14	3	4.66666666666667
Nop9	Background	MA0018.1	CREB1	6	1	6
Eef1akmt1	Background	MA0018.1	CREB1	4	1	4
Ska3	Background	MA0018.1	CREB1	3	1	3
Fgf9	Background	MA0018.1	CREB1	13	2	6.5
Tnfrsf19	Background	MA0018.1	CREB1	8	3	2.66666666666667
Dleu2	Background	MA0018.1	CREB1	13	3	4.33333333333333
Gm4131	Background	MA0018.1	CREB1	8	1	8
Ints6	Background	MA0018.1	CREB1	2	1	2
Msra	Background	MA0018.1	CREB1	7	3	2.33333333333333
Ptk2b	Background	MA0018.1	CREB1	10	4	2.5
Kctd9	Background	MA0018.1	CREB1	2	1	2
R3hcc1	Background	MA0018.1	CREB1	9	2	4.5
Egr3	IEGs	MA0018.1	CREB1	22	4	5.5
Tsc22d1	IEGs	MA0018.1	CREB1	14	6	2.33333333333333
Gm4821	Background	MA0018.1	CREB1	6	1	6
Gm4632	Background	MA0018.1	CREB1	1	1	1
Kbtbd7	Background	MA0018.1	CREB1	3	1	3
Pcdh8	IEGs	MA0018.1	CREB1	1	1	1
Mzt1	Background	MA0018.1	CREB1	5	1	5
Lmo7	Background	MA0018.1	CREB1	17	6	2.83333333333333
Gm10076	Background	MA0018.1	CREB1	1	1	1
Slitrk6	Background	MA0018.1	CREB1	2	1	2
Slitrk5	Background	MA0018.1	CREB1	5	2	2.5
Uggt2	Background	MA0018.1	CREB1	8	2	4
Mbnl2	IEGs	MA0018.1	CREB1	15	5	3
Stk24	Background	MA0018.1	CREB1	13	3	4.33333333333333
4930594M22Rik	Background	MA0018.1	CREB1	1	1	1
Ranbp3l	Background	MA0018.1	CREB1	3	1	3
Rxfp3	Background	MA0018.1	CREB1	3	1	3
Trio	Background	MA0018.1	CREB1	13	4	3.25
Ankrd46	Background	MA0018.1	CREB1	5	1	5
Zfp706	Background	MA0018.1	CREB1	5	2	2.5
Rrm2b	Background	MA0018.1	CREB1	6	1	6
Klf10	IEGs	MA0018.1	CREB1	12	2	6
Angpt1	Background	MA0018.1	CREB1	3	1	3
Rspo2	Background	MA0018.1	CREB1	2	1	2
Emc2	Background	MA0018.1	CREB1	7	1	7
Mrpl13	Background	MA0018.1	CREB1	1	1	1
Wdyhv1	Background	MA0018.1	CREB1	2	1	2
Trib1	IEGs	MA0018.1	CREB1	4	1	4
Myc	IEGs	MA0018.1	CREB1	11	2	5.5
Phf20l1	Background	MA0018.1	CREB1	18	4	4.5
Peg13	Background	MA0018.1	CREB1	4	1	4
Arc	IEGs	MA0018.1	CREB1	2	1	2
Rps6-ps1	Background	MA0018.1	CREB1	5	1	5
Cyc1	Background	MA0018.1	CREB1	4	2	2
Slc39a4	Background	MA0018.1	CREB1	9	2	4.5
Rbfox2	Background	MA0018.1	CREB1	13	4	3.25
Cyth4	Background	MA0018.1	CREB1	9	2	4.5
H1f0	Background	MA0018.1	CREB1	8	2	4
Maff	IEGs	MA0018.1	CREB1	17	2	8.5
Josd1	Background	MA0018.1	CREB1	11	1	11
Nptxr	Background	MA0018.1	CREB1	13	2	6.5
Mrtfa	Background	MA0018.1	CREB1	16	5	3.2
Xpnpep3	Background	MA0018.1	CREB1	8	1	8
Rangap1	Background	MA0018.1	CREB1	5	2	2.5
Tcf20	Background	MA0018.1	CREB1	16	5	3.2
Cdpf1	Background	MA0018.1	CREB1	6	1	6
Panx2	Background	MA0018.1	CREB1	6	1	6
Mapk12	Background	MA0018.1	CREB1	4	2	2
Lmf2	Background	MA0018.1	CREB1	8	1	8
Pdzrn4	Background	MA0018.1	CREB1	7	3	2.33333333333333
Tmem117	Background	MA0018.1	CREB1	6	2	3
Arid2	Background	MA0018.1	CREB1	9	2	4.5
Prkag1	Background	MA0018.1	CREB1	4	1	4
Tuba1a	Background	MA0018.1	CREB1	3	2	1.5
Nr4a1	IEGs	MA0018.1	CREB1	29	5	5.8
Pde1b	Background	MA0018.1	CREB1	4	2	2
Naa60	Background	MA0018.1	CREB1	6	2	3
Trap1	Background	MA0018.1	CREB1	4	1	4
Rogdi	Background	MA0018.1	CREB1	12	5	2.4
Shisa9	Background	MA0018.1	CREB1	1	1	1
Parn	Background	MA0018.1	CREB1	5	2	2.5
Cebpd	IEGs	MA0018.1	CREB1	3	1	3
Yars2	Background	MA0018.1	CREB1	10	2	5
Pi4ka	Background	MA0018.1	CREB1	11	2	5.5
Txnrd2	Background	MA0018.1	CREB1	3	2	1.5
Cdc45	Background	MA0018.1	CREB1	5	1	5
Klhl6	Background	MA0018.1	CREB1	5	1	5
Vwa5b2	Background	MA0018.1	CREB1	8	2	4
Dnajb11	Background	MA0018.1	CREB1	5	2	2.5
Ccdc50	Background	MA0018.1	CREB1	7	3	2.33333333333333
Opa1	Background	MA0018.1	CREB1	3	1	3
Hes1	IEGs	MA0018.1	CREB1	7	3	2.33333333333333
Fam43a	Background	MA0018.1	CREB1	11	2	5.5
Iqcg	Background	MA0018.1	CREB1	9	2	4.5
Lmln	Background	MA0018.1	CREB1	11	1	11
Pla1a	Background	MA0018.1	CREB1	4	1	4
Nfkbiz	IEGs	MA0018.1	CREB1	14	3	4.66666666666667
St3gal6	Background	MA0018.1	CREB1	9	3	3
Robo2	Background	MA0018.1	CREB1	4	1	4
Atp5j	Background	MA0018.1	CREB1	8	2	4
Mrap	Background	MA0018.1	CREB1	4	1	4
Ifngr2	Background	MA0018.1	CREB1	8	2	4
Son	Background	MA0018.1	CREB1	20	4	5
Rcan1	IEGs	MA0018.1	CREB1	8	2	4
Cbr3	Background	MA0018.1	CREB1	1	1	1
Ripply3	Background	MA0018.1	CREB1	4	1	4
Pigp	Background	MA0018.1	CREB1	15	2	7.5
Hmgn1	Background	MA0018.1	CREB1	8	2	4
B3galt5	Background	MA0018.1	CREB1	6	3	2
Arid1b	Background	MA0018.1	CREB1	14	3	4.66666666666667
Tmem181a	Background	MA0018.1	CREB1	8	2	4
Dynlt1c	Background	MA0018.1	CREB1	1	1	1
Sod2	IEGs	MA0018.1	CREB1	17	4	4.25
Smoc2	Background	MA0018.1	CREB1	8	2	4
1600012H06Rik	Background	MA0018.1	CREB1	7	2	3.5
Lix1	Background	MA0018.1	CREB1	4	2	2
Lnpep	Background	MA0018.1	CREB1	8	2	4
Zfp53	Background	MA0018.1	CREB1	1	1	1
Zfp40	Background	MA0018.1	CREB1	3	1	3
Hcfc1r1	Background	MA0018.1	CREB1	4	1	4
Flywch1	Background	MA0018.1	CREB1	6	2	3
Traf7	Background	MA0018.1	CREB1	9	2	4.5
Syngr3	Background	MA0018.1	CREB1	2	1	2
Clcn7	Background	MA0018.1	CREB1	14	4	3.5
Gnptg	Background	MA0018.1	CREB1	3	1	3
Gng13	Background	MA0018.1	CREB1	4	1	4
Metrn	Background	MA0018.1	CREB1	1	1	1
Dusp1	IEGs	MA0018.1	CREB1	13	2	6.5
Itpr3	Background	MA0018.1	CREB1	8	2	4
Taf11	Background	MA0018.1	CREB1	17	2	8.5
Anks1	Background	MA0018.1	CREB1	18	4	4.5
Kctd20	Background	MA0018.1	CREB1	12	2	6
Pim1	IEGs	MA0018.1	CREB1	13	2	6.5
Ccdc167	Background	MA0018.1	CREB1	7	1	7
Sik1	IEGs	MA0018.1	CREB1	12	2	6
BC051226	Background	MA0018.1	CREB1	4	1	4
C4b	Background	MA0018.1	CREB1	10	3	3.33333333333333
Skiv2l	Background	MA0018.1	CREB1	10	2	5
Sapcd1	Background	MA0018.1	CREB1	1	1	1
Tnf	IEGs	MA0018.1	CREB1	1	1	1
Ier3	IEGs	MA0018.1	CREB1	4	1	4
Abcf1	Background	MA0018.1	CREB1	9	1	9
Gnl1	Background	MA0018.1	CREB1	3	1	3
Ppp1r11	Background	MA0018.1	CREB1	4	1	4
Klhdc3	Background	MA0018.1	CREB1	14	3	4.66666666666667
Tfeb	Background	MA0018.1	CREB1	19	5	3.8
Daam2	Background	MA0018.1	CREB1	5	2	2.5
Rftn1	Background	MA0018.1	CREB1	10	2	5
Sgo1	Background	MA0018.1	CREB1	7	1	7
Sh3gl1	Background	MA0018.1	CREB1	4	1	4
A230051N06Rik	Background	MA0018.1	CREB1	2	1	2
Uhrf1	Background	MA0018.1	CREB1	7	2	3.5
Mllt1	Background	MA0018.1	CREB1	7	2	3.5
Vav1	Background	MA0018.1	CREB1	6	2	3
Rab12	Background	MA0018.1	CREB1	7	2	3.5
Dlgap1	Background	MA0018.1	CREB1	12	4	3
Myl12b	Background	MA0018.1	CREB1	5	2	2.5
Togaram2	Background	MA0018.1	CREB1	4	2	2
Ypel5	Background	MA0018.1	CREB1	10	3	3.33333333333333
Mta3	Background	MA0018.1	CREB1	11	3	3.66666666666667
Zfp36l2	IEGs	MA0018.1	CREB1	14	2	7
Plekhh2	Background	MA0018.1	CREB1	4	2	2
Prepl	Background	MA0018.1	CREB1	3	1	3
Ston1	Background	MA0018.1	CREB1	8	3	2.66666666666667
Adcyap1	Background	MA0018.1	CREB1	4	1	4
Crem	IEGs	MA0018.1	CREB1	26	5	5.2
Map3k8	IEGs	MA0018.1	CREB1	6	2	3
Colec12	Background	MA0018.1	CREB1	2	1	2
Impact	Background	MA0018.1	CREB1	11	3	3.66666666666667
Kctd1	Background	MA0018.1	CREB1	6	2	3
Gm10269	Background	MA0018.1	CREB1	2	1	2
B4galt6	Background	MA0018.1	CREB1	4	1	4
Lims2	Background	MA0018.1	CREB1	6	4	1.5
Gpr17	Background	MA0018.1	CREB1	1	1	1
Gypc	Background	MA0018.1	CREB1	1	1	1
Tslp	Background	MA0018.1	CREB1	6	2	3
Brd8	Background	MA0018.1	CREB1	3	1	3
Egr1	IEGs	MA0018.1	CREB1	6	1	6
Hspa9	Background	MA0018.1	CREB1	8	3	2.66666666666667
Ecscr	Background	MA0018.1	CREB1	4	2	2
Sting1	Background	MA0018.1	CREB1	1	1	1
Hbegf	IEGs	MA0018.1	CREB1	1	1	1
Spry4	Background	MA0018.1	CREB1	5	1	5
Lars	Background	MA0018.1	CREB1	9	2	4.5
Ythdc2	Background	MA0018.1	CREB1	6	1	6
Eif1a	Background	MA0018.1	CREB1	5	1	5
