gene	class	siteSet_name	pwm_name	total_pwms_in_gene	n_transcripts	pwms_per_transcript
Peli1	IEGs	MA0018.2	CREB1	19	3	6.33333333333333
Ugp2	Background	MA0018.2	CREB1	19	2	9.5
Rpl15-ps1	Background	MA0018.2	CREB1	7	1	7
Cct4	Background	MA0018.2	CREB1	4	1	4
Usp34	Background	MA0018.2	CREB1	3	1	3
Ahsa2	Background	MA0018.2	CREB1	2	1	2
5730522E02Rik	Background	MA0018.2	CREB1	6	1	6
Efemp1	Background	MA0018.2	CREB1	19	3	6.33333333333333
Ppp4r3b	Background	MA0018.2	CREB1	27	3	9
Rps27a	Background	MA0018.2	CREB1	11	2	5.5
Stk10	Background	MA0018.2	CREB1	8	2	4
Tenm2	Background	MA0018.2	CREB1	31	6	5.16666666666667
Hspd1-ps3	Background	MA0018.2	CREB1	8	1	8
Adra1b	Background	MA0018.2	CREB1	16	2	8
Il12b	IEGs	MA0018.2	CREB1	11	1	11
Med7	Background	MA0018.2	CREB1	5	1	5
Rack1	Background	MA0018.2	CREB1	20	3	6.66666666666667
Trim41	Background	MA0018.2	CREB1	8	2	4
Phykpl	Background	MA0018.2	CREB1	9	1	9
Sec24a	Background	MA0018.2	CREB1	25	3	8.33333333333333
9530068E07Rik	Background	MA0018.2	CREB1	7	1	7
Septin8	Background	MA0018.2	CREB1	4	1	4
Irf1	IEGs	MA0018.2	CREB1	6	1	6
Tnip1	Background	MA0018.2	CREB1	32	4	8
Slc36a1	Background	MA0018.2	CREB1	15	2	7.5
Sparc	Background	MA0018.2	CREB1	17	4	4.25
Gm12258	Background	MA0018.2	CREB1	7	1	7
Rasd1	IEGs	MA0018.2	CREB1	6	1	6
Pmp22	Background	MA0018.2	CREB1	21	3	7
Per1	IEGs	MA0018.2	CREB1	26	4	6.5
Trappc1	Background	MA0018.2	CREB1	7	1	7
Efnb3	Background	MA0018.2	CREB1	2	1	2
Cd68	Background	MA0018.2	CREB1	12	1	12
Tmem256	Background	MA0018.2	CREB1	4	1	4
Slc16a11	Background	MA0018.2	CREB1	14	2	7
0610010K14Rik	Background	MA0018.2	CREB1	10	1	10
Psmb6	Background	MA0018.2	CREB1	21	2	10.5
Slc25a11	Background	MA0018.2	CREB1	4	1	4
Txndc17	Background	MA0018.2	CREB1	16	1	16
Ccdc92b	Background	MA0018.2	CREB1	2	1	2
Mnt	Background	MA0018.2	CREB1	1	1	1
1700016P03Rik	IEGs	MA0018.2	CREB1	9	1	9
Rtn4rl1	Background	MA0018.2	CREB1	3	1	3
Vps53	Background	MA0018.2	CREB1	19	3	6.33333333333333
Timm22	Background	MA0018.2	CREB1	8	1	8
Traf4	Background	MA0018.2	CREB1	2	1	2
Tlcd1	Background	MA0018.2	CREB1	17	3	5.66666666666667
Rskr	Background	MA0018.2	CREB1	4	1	4
Spag5	Background	MA0018.2	CREB1	4	2	2
Evi2a	Background	MA0018.2	CREB1	11	2	5.5
Ccl2	IEGs	MA0018.2	CREB1	8	1	8
Ccl12	IEGs	MA0018.2	CREB1	9	1	9
Ccl5	IEGs	MA0018.2	CREB1	9	1	9
Ccl3	IEGs	MA0018.2	CREB1	7	1	7
Heatr6	Background	MA0018.2	CREB1	4	1	4
Dusp14	Background	MA0018.2	CREB1	16	2	8
Appbp2	Background	MA0018.2	CREB1	8	1	8
Trim37	Background	MA0018.2	CREB1	8	1	8
Tspoap1	Background	MA0018.2	CREB1	8	2	4
Car10	Background	MA0018.2	CREB1	19	3	6.33333333333333
Ankrd40	Background	MA0018.2	CREB1	1	1	1
Xylt2	Background	MA0018.2	CREB1	6	1	6
Gngt2	Background	MA0018.2	CREB1	14	2	7
Mrpl10	Background	MA0018.2	CREB1	8	1	8
Med1	Background	MA0018.2	CREB1	29	3	9.66666666666667
Stard3	Background	MA0018.2	CREB1	18	3	6
Ormdl3	Background	MA0018.2	CREB1	22	2	11
Rapgefl1	Background	MA0018.2	CREB1	3	1	3
Smarce1	Background	MA0018.2	CREB1	14	2	7
Cavin1	Background	MA0018.2	CREB1	12	2	6
Atp6v0a1	Background	MA0018.2	CREB1	45	9	5
Naglu	Background	MA0018.2	CREB1	22	3	7.33333333333333
Psmc3ip	Background	MA0018.2	CREB1	8	1	8
Tubg1	Background	MA0018.2	CREB1	1	1	1
Fzd2	Background	MA0018.2	CREB1	16	2	8
Adam11	Background	MA0018.2	CREB1	19	2	9.5
Efcab15	Background	MA0018.2	CREB1	15	2	7.5
Limd2	Background	MA0018.2	CREB1	10	2	5
Bptf	Background	MA0018.2	CREB1	7	1	7
Grin2c	Background	MA0018.2	CREB1	2	1	2
Hid1	Background	MA0018.2	CREB1	5	1	5
Acox1	Background	MA0018.2	CREB1	15	2	7.5
Ube2o	Background	MA0018.2	CREB1	8	1	8
St6galnac2	Background	MA0018.2	CREB1	37	4	9.25
Socs3	IEGs	MA0018.2	CREB1	14	2	7
Eif4a3	Background	MA0018.2	CREB1	11	1	11
0610009L18Rik	Background	MA0018.2	CREB1	4	1	4
Notum	Background	MA0018.2	CREB1	9	2	4.5
Dus1l	Background	MA0018.2	CREB1	5	1	5
Hexdc	Background	MA0018.2	CREB1	16	2	8
Cybc1	Background	MA0018.2	CREB1	8	1	8
Fam228b	Background	MA0018.2	CREB1	1	1	1
Lratd1	Background	MA0018.2	CREB1	3	1	3
Id2	IEGs	MA0018.2	CREB1	12	2	6
Rnf144a	Background	MA0018.2	CREB1	4	2	2
Ferd3l	Background	MA0018.2	CREB1	7	1	7
Etv1	Background	MA0018.2	CREB1	12	3	4
Ap4s1	Background	MA0018.2	CREB1	9	1	9
Dtd2	Background	MA0018.2	CREB1	13	2	6.5
Nfkbia	IEGs	MA0018.2	CREB1	11	2	5.5
Mia2	Background	MA0018.2	CREB1	20	3	6.66666666666667
Fbxo33	IEGs	MA0018.2	CREB1	10	1	10
Rps29	Background	MA0018.2	CREB1	14	1	14
Arf6	Background	MA0018.2	CREB1	18	2	9
Actr10	Background	MA0018.2	CREB1	15	2	7.5
3110056K07Rik	Background	MA0018.2	CREB1	2	1	2
Dbpht2	Background	MA0018.2	CREB1	6	2	3
Syne2	Background	MA0018.2	CREB1	36	5	7.2
Fntb	Background	MA0018.2	CREB1	32	5	6.4
Zfp36l1	IEGs	MA0018.2	CREB1	5	1	5
Smoc1	Background	MA0018.2	CREB1	3	1	3
Ptgr2	Background	MA0018.2	CREB1	8	1	8
Fos	IEGs	MA0018.2	CREB1	19	2	9.5
Flrt2	Background	MA0018.2	CREB1	22	3	7.33333333333333
Ccdc88c	Background	MA0018.2	CREB1	8	1	8
Ppp4r3a	Background	MA0018.2	CREB1	10	2	5
Tunar	Background	MA0018.2	CREB1	7	1	7
Gskip	Background	MA0018.2	CREB1	6	1	6
Eml1	Background	MA0018.2	CREB1	12	3	4
Klc1	Background	MA0018.2	CREB1	21	3	7
Zfyve21	Background	MA0018.2	CREB1	4	1	4
Tedc1	Background	MA0018.2	CREB1	5	1	5
Itgb8	Background	MA0018.2	CREB1	1	1	1
Klf6	IEGs	MA0018.2	CREB1	13	2	6.5
Hecw1	Background	MA0018.2	CREB1	14	4	3.5
Inhba	IEGs	MA0018.2	CREB1	1	2	0.5
Cdk13	Background	MA0018.2	CREB1	11	1	11
Amph	Background	MA0018.2	CREB1	11	1	11
Stard3nl	Background	MA0018.2	CREB1	5	1	5
H4c9	Background	MA0018.2	CREB1	6	1	6
BC005537	Background	MA0018.2	CREB1	13	3	4.33333333333333
Serpinb1b	Background	MA0018.2	CREB1	10	2	5
Ripk1	Background	MA0018.2	CREB1	5	1	5
Eci2	Background	MA0018.2	CREB1	22	3	7.33333333333333
Nrn1	IEGs	MA0018.2	CREB1	5	1	5
Ssr1	Background	MA0018.2	CREB1	16	3	5.33333333333333
Riok1	Background	MA0018.2	CREB1	6	1	6
Gcnt2	Background	MA0018.2	CREB1	21	4	5.25
Cd83	IEGs	MA0018.2	CREB1	4	1	4
Kif13a	Background	MA0018.2	CREB1	7	1	7
Fbxw17	Background	MA0018.2	CREB1	4	1	4
Gadd45g	IEGs	MA0018.2	CREB1	3	1	3
Sptlc1	Background	MA0018.2	CREB1	5	1	5
Drd1	Background	MA0018.2	CREB1	11	2	5.5
Hk3	Background	MA0018.2	CREB1	5	1	5
Tmed9	Background	MA0018.2	CREB1	9	2	4.5
Tgfbi	Background	MA0018.2	CREB1	21	3	7
Trpc7	Background	MA0018.2	CREB1	2	1	2
Klhl3	Background	MA0018.2	CREB1	13	3	4.33333333333333
Ercc6l2	Background	MA0018.2	CREB1	13	1	13
Zfp367	Background	MA0018.2	CREB1	18	2	9
Adcy2	Background	MA0018.2	CREB1	3	1	3
Srd5a1	Background	MA0018.2	CREB1	15	2	7.5
Ice1	Background	MA0018.2	CREB1	14	2	7
Homer1	IEGs	MA0018.2	CREB1	28	4	7
Fcho2	Background	MA0018.2	CREB1	8	2	4
Map1b	Background	MA0018.2	CREB1	71	9	7.88888888888889
Cdk7	Background	MA0018.2	CREB1	8	1	8
Kif2a	Background	MA0018.2	CREB1	6	1	6
Plk2	IEGs	MA0018.2	CREB1	33	4	8.25
Slc38a9	Background	MA0018.2	CREB1	19	2	9.5
Fst	Background	MA0018.2	CREB1	7	2	3.5
Tmem267	Background	MA0018.2	CREB1	8	1	8
Slc4a7	Background	MA0018.2	CREB1	20	3	6.66666666666667
Rtraf	Background	MA0018.2	CREB1	5	1	5
Ecd	Background	MA0018.2	CREB1	5	1	5
Cfap70	Background	MA0018.2	CREB1	6	1	6
Ppp3cb	Background	MA0018.2	CREB1	6	1	6
Plau	IEGs	MA0018.2	CREB1	8	1	8
Polr3a	Background	MA0018.2	CREB1	5	1	5
Zmiz1	Background	MA0018.2	CREB1	37	5	7.4
Gm7565	Background	MA0018.2	CREB1	5	1	5
Arf4	IEGs	MA0018.2	CREB1	16	2	8
Arhgef3	IEGs	MA0018.2	CREB1	23	4	5.75
Glt8d1	Background	MA0018.2	CREB1	2	1	2
Capn7	Background	MA0018.2	CREB1	5	1	5
Frmpd2	Background	MA0018.2	CREB1	7	1	7
Ccser2	Background	MA0018.2	CREB1	26	4	6.5
Ghitm	Background	MA0018.2	CREB1	5	1	5
Nrg3	Background	MA0018.2	CREB1	9	2	4.5
Dydc2	Background	MA0018.2	CREB1	5	1	5
Cgrrf1	Background	MA0018.2	CREB1	5	1	5
Socs4	Background	MA0018.2	CREB1	10	1	10
Fbxo34	Background	MA0018.2	CREB1	13	2	6.5
Ktn1	Background	MA0018.2	CREB1	25	3	8.33333333333333
Osgep	Background	MA0018.2	CREB1	23	2	11.5
Pnp	Background	MA0018.2	CREB1	14	2	7
Rnase4	Background	MA0018.2	CREB1	12	2	6
Zfhx2	Background	MA0018.2	CREB1	14	3	4.66666666666667
Dcaf11	Background	MA0018.2	CREB1	4	1	4
Psme2	Background	MA0018.2	CREB1	8	2	4
Dhrs1	Background	MA0018.2	CREB1	27	3	9
Nop9	Background	MA0018.2	CREB1	9	1	9
Eef1akmt1	Background	MA0018.2	CREB1	6	1	6
Ska3	Background	MA0018.2	CREB1	4	1	4
Fgf9	Background	MA0018.2	CREB1	4	2	2
Tnfrsf19	Background	MA0018.2	CREB1	15	3	5
Dleu2	Background	MA0018.2	CREB1	20	3	6.66666666666667
Gm4131	Background	MA0018.2	CREB1	9	1	9
Ints6	Background	MA0018.2	CREB1	1	1	1
Msra	Background	MA0018.2	CREB1	13	3	4.33333333333333
Ptk2b	Background	MA0018.2	CREB1	28	4	7
Kctd9	Background	MA0018.2	CREB1	8	1	8
R3hcc1	Background	MA0018.2	CREB1	11	2	5.5
Egr3	IEGs	MA0018.2	CREB1	22	4	5.5
Tsc22d1	IEGs	MA0018.2	CREB1	33	6	5.5
Gm4821	Background	MA0018.2	CREB1	9	1	9
Gm4632	Background	MA0018.2	CREB1	2	1	2
Kbtbd7	Background	MA0018.2	CREB1	6	1	6
Pcdh8	IEGs	MA0018.2	CREB1	2	1	2
Mzt1	Background	MA0018.2	CREB1	9	1	9
Lmo7	Background	MA0018.2	CREB1	35	6	5.83333333333333
Gm10076	Background	MA0018.2	CREB1	3	1	3
Slitrk6	Background	MA0018.2	CREB1	2	1	2
Slitrk5	Background	MA0018.2	CREB1	12	2	6
Uggt2	Background	MA0018.2	CREB1	10	2	5
Mbnl2	IEGs	MA0018.2	CREB1	22	5	4.4
Stk24	Background	MA0018.2	CREB1	13	3	4.33333333333333
4930594M22Rik	Background	MA0018.2	CREB1	8	1	8
Ranbp3l	Background	MA0018.2	CREB1	8	1	8
Rxfp3	Background	MA0018.2	CREB1	6	1	6
Trio	Background	MA0018.2	CREB1	22	4	5.5
Ankrd46	Background	MA0018.2	CREB1	5	1	5
Zfp706	Background	MA0018.2	CREB1	10	2	5
Rrm2b	Background	MA0018.2	CREB1	8	1	8
Klf10	IEGs	MA0018.2	CREB1	12	2	6
Angpt1	Background	MA0018.2	CREB1	5	1	5
Rspo2	Background	MA0018.2	CREB1	7	1	7
Emc2	Background	MA0018.2	CREB1	5	1	5
Mrpl13	Background	MA0018.2	CREB1	4	1	4
Wdyhv1	Background	MA0018.2	CREB1	4	1	4
Trib1	IEGs	MA0018.2	CREB1	9	1	9
Myc	IEGs	MA0018.2	CREB1	8	2	4
Phf20l1	Background	MA0018.2	CREB1	15	4	3.75
Peg13	Background	MA0018.2	CREB1	5	1	5
Arc	IEGs	MA0018.2	CREB1	6	1	6
Rps6-ps1	Background	MA0018.2	CREB1	9	1	9
Cyc1	Background	MA0018.2	CREB1	9	2	4.5
Slc39a4	Background	MA0018.2	CREB1	12	2	6
Rbfox2	Background	MA0018.2	CREB1	21	4	5.25
Cyth4	Background	MA0018.2	CREB1	13	2	6.5
H1f0	Background	MA0018.2	CREB1	5	2	2.5
Maff	IEGs	MA0018.2	CREB1	22	2	11
Josd1	Background	MA0018.2	CREB1	20	1	20
Nptxr	Background	MA0018.2	CREB1	17	2	8.5
Mrtfa	Background	MA0018.2	CREB1	29	5	5.8
Xpnpep3	Background	MA0018.2	CREB1	7	1	7
Rangap1	Background	MA0018.2	CREB1	9	2	4.5
Tcf20	Background	MA0018.2	CREB1	29	5	5.8
Cdpf1	Background	MA0018.2	CREB1	8	1	8
Panx2	Background	MA0018.2	CREB1	7	1	7
Mapk12	Background	MA0018.2	CREB1	14	2	7
Lmf2	Background	MA0018.2	CREB1	10	1	10
Pdzrn4	Background	MA0018.2	CREB1	17	3	5.66666666666667
Tmem117	Background	MA0018.2	CREB1	5	2	2.5
Arid2	Background	MA0018.2	CREB1	13	2	6.5
Prkag1	Background	MA0018.2	CREB1	4	1	4
Tuba1a	Background	MA0018.2	CREB1	9	2	4.5
Nr4a1	IEGs	MA0018.2	CREB1	33	5	6.6
Pde1b	Background	MA0018.2	CREB1	11	2	5.5
Naa60	Background	MA0018.2	CREB1	17	2	8.5
Trap1	Background	MA0018.2	CREB1	9	1	9
Rogdi	Background	MA0018.2	CREB1	28	5	5.6
Shisa9	Background	MA0018.2	CREB1	4	1	4
Parn	Background	MA0018.2	CREB1	18	2	9
Bmerb1	Background	MA0018.2	CREB1	1	1	1
Cebpd	IEGs	MA0018.2	CREB1	8	1	8
Yars2	Background	MA0018.2	CREB1	8	2	4
Pi4ka	Background	MA0018.2	CREB1	20	2	10
Txnrd2	Background	MA0018.2	CREB1	12	2	6
Cdc45	Background	MA0018.2	CREB1	11	1	11
Klhl6	Background	MA0018.2	CREB1	8	1	8
Vwa5b2	Background	MA0018.2	CREB1	11	2	5.5
Dnajb11	Background	MA0018.2	CREB1	15	2	7.5
Ccdc50	Background	MA0018.2	CREB1	8	3	2.66666666666667
Opa1	Background	MA0018.2	CREB1	7	1	7
Hes1	IEGs	MA0018.2	CREB1	8	3	2.66666666666667
Fam43a	Background	MA0018.2	CREB1	17	2	8.5
Iqcg	Background	MA0018.2	CREB1	8	2	4
Lmln	Background	MA0018.2	CREB1	8	1	8
Pla1a	Background	MA0018.2	CREB1	9	1	9
Nfkbiz	IEGs	MA0018.2	CREB1	20	3	6.66666666666667
St3gal6	Background	MA0018.2	CREB1	22	3	7.33333333333333
Crybg3	Background	MA0018.2	CREB1	4	1	4
Robo2	Background	MA0018.2	CREB1	7	1	7
Atp5j	Background	MA0018.2	CREB1	9	2	4.5
Mrap	Background	MA0018.2	CREB1	12	1	12
Ifngr2	Background	MA0018.2	CREB1	17	2	8.5
Son	Background	MA0018.2	CREB1	22	4	5.5
Rcan1	IEGs	MA0018.2	CREB1	12	2	6
Cbr3	Background	MA0018.2	CREB1	7	1	7
Ripply3	Background	MA0018.2	CREB1	1	1	1
Pigp	Background	MA0018.2	CREB1	9	2	4.5
Hmgn1	Background	MA0018.2	CREB1	15	2	7.5
B3galt5	Background	MA0018.2	CREB1	14	3	4.66666666666667
Arid1b	Background	MA0018.2	CREB1	14	3	4.66666666666667
Tmem181a	Background	MA0018.2	CREB1	11	2	5.5
Dynlt1c	Background	MA0018.2	CREB1	4	1	4
Sod2	IEGs	MA0018.2	CREB1	27	4	6.75
Smoc2	Background	MA0018.2	CREB1	14	2	7
1600012H06Rik	Background	MA0018.2	CREB1	12	2	6
Lix1	Background	MA0018.2	CREB1	9	2	4.5
Lnpep	Background	MA0018.2	CREB1	11	2	5.5
Zfp53	Background	MA0018.2	CREB1	5	1	5
Zfp40	Background	MA0018.2	CREB1	6	1	6
Hcfc1r1	Background	MA0018.2	CREB1	6	1	6
Flywch1	Background	MA0018.2	CREB1	13	2	6.5
Traf7	Background	MA0018.2	CREB1	11	2	5.5
Syngr3	Background	MA0018.2	CREB1	2	1	2
Clcn7	Background	MA0018.2	CREB1	26	4	6.5
Gnptg	Background	MA0018.2	CREB1	4	1	4
Gng13	Background	MA0018.2	CREB1	6	1	6
Metrn	Background	MA0018.2	CREB1	1	1	1
Dusp1	IEGs	MA0018.2	CREB1	14	2	7
Itpr3	Background	MA0018.2	CREB1	8	2	4
Taf11	Background	MA0018.2	CREB1	16	2	8
Anks1	Background	MA0018.2	CREB1	18	4	4.5
Kctd20	Background	MA0018.2	CREB1	9	2	4.5
Pim1	IEGs	MA0018.2	CREB1	10	2	5
Ccdc167	Background	MA0018.2	CREB1	7	1	7
Sik1	IEGs	MA0018.2	CREB1	18	2	9
Zfp811	Background	MA0018.2	CREB1	5	1	5
BC051226	Background	MA0018.2	CREB1	4	1	4
C4b	Background	MA0018.2	CREB1	21	3	7
Skiv2l	Background	MA0018.2	CREB1	18	2	9
Sapcd1	Background	MA0018.2	CREB1	3	1	3
Tnf	IEGs	MA0018.2	CREB1	6	1	6
Ier3	IEGs	MA0018.2	CREB1	8	1	8
Abcf1	Background	MA0018.2	CREB1	11	1	11
Gnl1	Background	MA0018.2	CREB1	9	1	9
Ppp1r11	Background	MA0018.2	CREB1	10	1	10
Klhdc3	Background	MA0018.2	CREB1	15	3	5
Tfeb	Background	MA0018.2	CREB1	21	5	4.2
Daam2	Background	MA0018.2	CREB1	9	2	4.5
Rftn1	Background	MA0018.2	CREB1	9	2	4.5
Sgo1	Background	MA0018.2	CREB1	15	1	15
Sh3gl1	Background	MA0018.2	CREB1	10	1	10
A230051N06Rik	Background	MA0018.2	CREB1	10	1	10
Uhrf1	Background	MA0018.2	CREB1	14	2	7
Mllt1	Background	MA0018.2	CREB1	18	2	9
Vav1	Background	MA0018.2	CREB1	22	2	11
Rab12	Background	MA0018.2	CREB1	12	2	6
Dlgap1	Background	MA0018.2	CREB1	24	4	6
Myl12b	Background	MA0018.2	CREB1	11	2	5.5
Togaram2	Background	MA0018.2	CREB1	14	2	7
Ypel5	Background	MA0018.2	CREB1	13	3	4.33333333333333
Mta3	Background	MA0018.2	CREB1	25	3	8.33333333333333
Zfp36l2	IEGs	MA0018.2	CREB1	5	2	2.5
Plekhh2	Background	MA0018.2	CREB1	14	2	7
Prepl	Background	MA0018.2	CREB1	6	1	6
Ston1	Background	MA0018.2	CREB1	14	3	4.66666666666667
Adcyap1	Background	MA0018.2	CREB1	7	1	7
Crem	IEGs	MA0018.2	CREB1	42	5	8.4
Map3k8	IEGs	MA0018.2	CREB1	7	2	3.5
Colec12	Background	MA0018.2	CREB1	5	1	5
Impact	Background	MA0018.2	CREB1	14	3	4.66666666666667
Kctd1	Background	MA0018.2	CREB1	9	2	4.5
Gm10269	Background	MA0018.2	CREB1	4	1	4
B4galt6	Background	MA0018.2	CREB1	5	1	5
Lims2	Background	MA0018.2	CREB1	31	4	7.75
Gpr17	Background	MA0018.2	CREB1	2	1	2
Gypc	Background	MA0018.2	CREB1	6	1	6
Tslp	Background	MA0018.2	CREB1	9	2	4.5
Brd8	Background	MA0018.2	CREB1	5	1	5
Egr1	IEGs	MA0018.2	CREB1	9	1	9
Hspa9	Background	MA0018.2	CREB1	11	3	3.66666666666667
Ecscr	Background	MA0018.2	CREB1	8	2	4
