reduction	mean_purity_knn	mean_entropy_knn_all	resolution	silhouette_score_cosine	mean_mixingNorm	silhouette_score_norm	mean_purity_knn_norm	mean_entropy_knn_all_norm	mean_mixingNorm_norm	mixing_score	purity_score	assay	ndim	features	method	features_ngenes
scVI_5_150_0.01_3_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.1000_8a71cab20d8ba5575858e56d9c6c5e95	0.546767022357724	0.397609070827102	8	0.121329782128068	0.900341057106146	68	85.58	50.14	71.82	60.98	81.185	scVI	90	features_RNA.log.vst.split_Batch_ID	scVI	1000
scVI_5_150_0.01_3_128_gene_zinb..scVI..90..features_RNA.log.vst.split_Batch_ID.features.750_8a71cab20d8ba5575858e56d9c6c5e95	0.553019139566396	0.405564475139437	8	0.108584436687848	0.908066620401933	61	87.38	51.82	77.14	64.48	80.785	scVI	90	features_RNA.log.vst.split_Batch_ID	scVI	750
scVI_6_150_0.01_2_256_gene_zinb..scVI..50..features_RNA.log.vst.split_Batch_ID.features.1000_8046be1573ac37fa37bc3c5b56f6e65b	0.561579014227642	0.391752162490006	7.5	0.11428529385727	0.897554158217349	64	89.85	48.89	69.9	59.395	83.3875	scVI	50	features_RNA.log.vst.split_Batch_ID	scVI	1000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..30..e0758c66a6a70d30247817bce8502135	0.414016634050881	0.402887281172553	8	0.0437049950944084	0.914455144573758	24	47.3	51.25	81.55	66.4	41.475	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..50..e0758c66a6a70d30247817bce8502135	0.456360596422024	0.399835734262286	8	0.0434797976622964	0.921916013476737	24	59.51	50.61	86.69	68.65	50.6325	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..60..e0758c66a6a70d30247817bce8502135	0.467798211011723	0.400037682738894	8	0.0437787576627343	0.926707652401823	24	62.81	50.65	89.99	70.32	53.1075	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..80..e0758c66a6a70d30247817bce8502135	0.485995923384633	0.399835734262286	8	0.0402176948565377	0.931380704005844	22	68.05	50.61	93.21	71.91	56.5375	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..30..e0758c66a6a70d30247817bce8502135	0.399365688947208	0.384481177767468	7.5	0.0323247548907225	0.909107395988704	18	43.07	47.35	77.86	62.605	36.8025	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..50..e0758c66a6a70d30247817bce8502135	0.46111266424378	0.383624353710897	7.5	0.0363370512306883	0.916286144478294	20	60.88	47.17	82.81	64.99	50.66	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..60..e0758c66a6a70d30247817bce8502135	0.469613473103909	0.384481177767468	8	0.0353466252605363	0.921327239101269	20	63.33	47.35	86.28	66.815	52.4975	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..80..e0758c66a6a70d30247817bce8502135	0.481134021334519	0.384481177767468	7.5	0.0435460177703972	0.926836229825018	24	66.65	47.35	90.08	68.715	55.9875	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..30..e0758c66a6a70d30247817bce8502135	0.384791724909142	0.373225644489773	7.5	0.0341316526165021	0.90241431299086	19	38.87	44.97	73.25	59.11	33.9025	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..50..e0758c66a6a70d30247817bce8502135	0.427558009505172	0.369658793886752	7.5	0.0379503962817163	0.910110504159345	21	51.2	44.21	78.55	61.38	43.65	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..60..e0758c66a6a70d30247817bce8502135	0.470499021526419	0.370376046056114	7.5	0.0358944523154201	0.915556749015277	20	63.58	44.37	82.31	63.34	52.685	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..80..e0758c66a6a70d30247817bce8502135	0.481158691345797	0.374421302008354	7.5	0.026380762404055	0.921888123887664	15	66.66	45.22	86.67	65.945	53.745	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..30..e0758c66a6a70d30247817bce8502135	0.350689401690723	0.360722463821872	8	0.0396407608408524	0.897880162213221	22	29.04	42.32	70.12	56.22	27.28	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..50..e0758c66a6a70d30247817bce8502135	0.410287950796757	0.356768078454947	7.5	0.0411232908410944	0.905965967682847	23	46.22	41.48	75.7	58.59	40.415	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..60..e0758c66a6a70d30247817bce8502135	0.442186189544311	0.359819625365213	7	0.0342636508646677	0.911411254456067	19	55.42	42.13	79.45	60.79	46.315	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..80..e0758c66a6a70d30247817bce8502135	0.470855465473861	0.361530985107643	7.5	0.022043802212848	0.917120491522443	12	63.69	42.49	83.38	62.935	50.7675	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..30..e0758c66a6a70d30247817bce8502135	0.369061806183251	0.455436114747361	7.5	0.0305783775212281	0.921458634293527	17	34.33	62.39	86.37	74.38	29.9975	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..50..e0758c66a6a70d30247817bce8502135	0.435624201344519	0.447308305968251	7.5	0.0233636869038445	0.928059941572756	13	53.53	60.67	90.92	75.795	43.3975	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..60..e0758c66a6a70d30247817bce8502135	0.445097644313573	0.44487969405646	7.5	0.0229440260073565	0.931803598389665	13	56.26	60.15	93.5	76.825	45.445	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.500..80..e0758c66a6a70d30247817bce8502135	0.462844984443581	0.444429163524759	8	0.0393219026714288	0.935355809847633	22	61.38	60.06	95.95	78.005	51.535	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	500
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..30..e0758c66a6a70d30247817bce8502135	0.402579927975081	0.417617125275639	8	0.0255077819189546	0.918528341183371	14	44	54.37	84.35	69.36	36.5	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	750
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..50..e0758c66a6a70d30247817bce8502135	0.445524056892049	0.413443701863454	7.5	0.0324557318008885	0.925989952076138	18	56.38	53.49	89.5	71.495	46.785	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	750
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..60..e0758c66a6a70d30247817bce8502135	0.462518751041725	0.413285990393676	7.5	0.0390465520766168	0.930153484146199	22	61.28	53.46	92.36	72.91	51.46	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	750
combat_norm..RNA..features_RNA.log.vst.split_Batch_ID.features.750..80..e0758c66a6a70d30247817bce8502135	0.471508660203345	0.413864688385321	8	0.0333415933028981	0.934247250045625	19	63.88	53.58	95.19	74.385	52.66	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	750
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..30..e0758c66a6a70d30247817bce8502135	0.466062983476521	0.390384100504651	9.5	0.080327605758589	0.904258856438624	45	62.31	48.6	74.52	61.56	57.9825	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..50..e0758c66a6a70d30247817bce8502135	0.545478003986333	0.391192621790422	9	0.0999057543039801	0.91077610429011	56	85.21	48.78	79.01	63.895	77.9075	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..60..e0758c66a6a70d30247817bce8502135	0.55446583934447	0.394759472393443	9	0.096960547117803	0.91520245710272	54	87.8	49.53	82.06	65.795	79.35	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1000..80..e0758c66a6a70d30247817bce8502135	0.560080319855732	0.399835734262286	8	0.0975451222091688	0.91976802679965	55	89.42	50.61	85.21	67.91	80.815	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	1000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..30..e0758c66a6a70d30247817bce8502135	0.454231178381879	0.375278126064926	8.5	0.0792700852923734	0.89968636873595	44	58.89	45.4	71.37	58.385	55.1675	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..50..e0758c66a6a70d30247817bce8502135	0.517486282679499	0.375278126064926	9	0.100362527478846	0.904979892312635	56	77.13	45.4	75.02	60.21	71.8475	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..60..e0758c66a6a70d30247817bce8502135	0.542913186535055	0.379202967422018	8	0.0924477085271418	0.90816098205697	52	84.47	46.24	77.21	61.725	76.3525	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.1500..80..e0758c66a6a70d30247817bce8502135	0.55696599753227	0.383782065180674	8	0.098763384111142	0.913002682152982	55	88.52	47.21	80.55	63.88	80.14	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	1500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..30..e0758c66a6a70d30247817bce8502135	0.454299316334615	0.368850272600981	8	0.0694097299537094	0.897079092543778	39	58.91	44.04	69.57	56.805	53.9325	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..50..e0758c66a6a70d30247817bce8502135	0.524559872069482	0.365097835710664	8	0.10914078928506	0.903119062843324	61	79.17	43.25	73.73	58.49	74.6275	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..60..e0758c66a6a70d30247817bce8502135	0.534263518753525	0.369658793886752	8	0.104373672298774	0.907518843107123	58	81.97	44.21	76.77	60.49	75.9775	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.2000..80..e0758c66a6a70d30247817bce8502135	0.543080231246475	0.373225644489773	8	0.0984848600011055	0.912400821583751	55	84.51	44.97	80.13	62.55	77.1325	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	2000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..30..e0758c66a6a70d30247817bce8502135	0.430639505883043	0.356768078454947	8	0.0555490201031366	0.892239424894283	31	52.09	41.48	66.24	53.86	46.8175	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..50..e0758c66a6a70d30247817bce8502135	0.494443384877205	0.354819541084689	8	0.0954218249312286	0.897870408102365	53	70.49	41.07	70.12	55.595	66.1175	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..60..e0758c66a6a70d30247817bce8502135	0.525879952763678	0.354819541084689	8	0.106832388300516	0.902136575613807	60	79.55	41.07	73.06	57.065	74.6625	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.3000..80..e0758c66a6a70d30247817bce8502135	0.541121157642414	0.361421576408666	7.5	0.105589907104501	0.907459459804204	59	83.95	42.47	76.73	59.6	77.7125	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	3000
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..30..e0758c66a6a70d30247817bce8502135	0.48215188406314	0.425774478064581	9	0.0644258762757315	0.911570821441238	36	66.95	56.1	79.56	67.83	59.2125	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..50..e0758c66a6a70d30247817bce8502135	0.548732887856675	0.426692009518236	8.5	0.0805372474502407	0.916337558158136	45	86.14	56.3	82.84	69.57	75.855	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..60..e0758c66a6a70d30247817bce8502135	0.559586366452844	0.429699319421673	8.5	0.0774733300074479	0.919819641183098	43	89.27	56.93	85.24	71.085	77.7025	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.500..80..e0758c66a6a70d30247817bce8502135	0.569298329685418	0.445954936979892	7.5	0.0823535613986183	0.924093728365856	46	92.08	60.38	88.19	74.285	80.56	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	500
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..30..e0758c66a6a70d30247817bce8502135	0.469681613727554	0.400736795325688	9	0.0730729894574789	0.908125616467146	41	63.35	50.8	77.18	63.99	57.7625	RNA	30	features_RNA.log.vst.split_Batch_ID	combat	750
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..50..e0758c66a6a70d30247817bce8502135	0.552911644203999	0.402887281172553	9	0.0881845284101953	0.914027586700889	49	87.35	51.25	81.25	66.25	77.7625	RNA	50	features_RNA.log.vst.split_Batch_ID	combat	750
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..60..e0758c66a6a70d30247817bce8502135	0.557472396228803	0.405564475139437	8.5	0.0914229920507307	0.917845592677389	51	88.67	51.82	83.88	67.85	79.2525	RNA	60	features_RNA.log.vst.split_Batch_ID	combat	750
combat_scale..RNA..features_RNA.log.vst.split_Batch_ID.features.750..80..e0758c66a6a70d30247817bce8502135	0.56037008807588	0.412368458940021	8	0.103793830266517	0.922254172925262	58	89.5	53.26	86.92	70.09	81.625	RNA	80	features_RNA.log.vst.split_Batch_ID	combat	750
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00	0.432219421817488	0.518684229470011	10.5	0.103497909972922	0.91875189281352	58	52.55	75.79	84.51	80.15	53.9125	RNA	30	RNA.log.vst.split_Batch_ID	harmony	1000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00	0.419316287169633	0.504202967422018	11	0.100722796561646	0.914731954963381	56	48.83	72.72	81.74	77.23	50.6225	RNA	30	RNA.log.vst.split_Batch_ID	harmony	1500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00	0.41839459684769	0.486172994353572	10	0.0933679099010499	0.912109199247372	52	48.56	68.9	79.93	74.415	49.42	RNA	30	RNA.log.vst.split_Batch_ID	harmony	2000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00	0.414037580416467	0.469541246458715	10.5	0.0919012054593707	0.908345100905341	51	47.3	65.38	77.34	71.36	48.225	RNA	30	RNA.log.vst.split_Batch_ID	harmony	3000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00	0.444550762543285	0.531015005671138	11	0.0942739762384919	0.923081229916814	53	56.1	78.4	87.49	82.945	55.325	RNA	30	RNA.log.vst.split_Batch_ID	harmony	500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00	0.426591167598042	0.527090164314046	11.5	0.0984245574258088	0.920343933008383	55	50.92	77.57	85.6	81.585	51.94	RNA	30	RNA.log.vst.split_Batch_ID	harmony	750
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00	0.49074729526722	0.508405934844036	11.5	0.111184205904593	0.922876198645594	62	69.42	73.61	87.35	80.48	67.565	RNA	50	RNA.log.vst.split_Batch_ID	harmony	1000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00	0.463571250261893	0.499421302008355	11.5	0.0981100733898103	0.919354420422892	55	61.59	71.71	84.92	78.315	59.9425	RNA	50	RNA.log.vst.split_Batch_ID	harmony	1500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00	0.448669547727767	0.479369010552988	11	0.0943161233162377	0.916227356833037	53	57.29	67.46	82.77	75.115	56.2175	RNA	50	RNA.log.vst.split_Batch_ID	harmony	2000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00	0.452871164259928	0.457835182649319	10	0.0955274884022656	0.911246214119129	53	58.5	62.9	79.34	71.12	57.125	RNA	50	RNA.log.vst.split_Batch_ID	harmony	3000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00	0.520035314461915	0.525736795325688	12	0.0974666094166982	0.926164473609933	54	77.87	77.28	89.62	83.45	71.9025	RNA	50	RNA.log.vst.split_Batch_ID	harmony	500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..50..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00	0.493135194290529	0.515834631036352	12	0.0974553636495812	0.92353707287207	54	70.11	75.18	87.81	81.495	66.0825	RNA	50	RNA.log.vst.split_Batch_ID	harmony	750
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00	0.516089315246803	0.508405934844036	11	0.0996457360159884	0.924712805997961	56	76.73	73.61	88.62	81.115	71.5475	RNA	60	RNA.log.vst.split_Batch_ID	harmony	1000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00	0.489840256944042	0.496075158642908	11	0.103507974502711	0.921438047852182	58	69.16	71	86.36	78.68	66.37	RNA	60	RNA.log.vst.split_Batch_ID	harmony	1500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00	0.460121196493038	0.47846617209633	11	0.097689876779993	0.918800083102971	55	60.59	67.27	84.54	75.905	59.1925	RNA	60	RNA.log.vst.split_Batch_ID	harmony	2000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00	0.453843574508624	0.456759939725886	9	0.0900943959930648	0.91348937605573	50	58.78	62.67	80.88	71.775	56.585	RNA	60	RNA.log.vst.split_Batch_ID	harmony	3000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00	0.534463025723652	0.525736795325688	11	0.0844588069974913	0.927864481391477	47	82.03	77.28	90.79	84.035	73.2725	RNA	60	RNA.log.vst.split_Batch_ID	harmony	500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..60..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00	0.518950737532821	0.51340601912456	11	0.102926276355237	0.925449780022599	58	77.56	74.67	89.12	81.895	72.67	RNA	60	RNA.log.vst.split_Batch_ID	harmony	750
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00	0.541688427134841	0.507706822257242	11	0.0859818939639829	0.927223396285411	48	84.11	73.46	90.35	81.905	75.0825	RNA	80	RNA.log.vst.split_Batch_ID	harmony	1000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00	0.526256658446904	0.499579013478132	11	0.0808235645705682	0.924310696550654	45	79.66	71.74	88.34	80.04	70.995	RNA	80	RNA.log.vst.split_Batch_ID	harmony	1500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00	0.490746652093527	0.479819541084689	10.5	0.0891510550455348	0.92208480884004	50	69.42	67.55	86.8	77.175	64.565	RNA	80	RNA.log.vst.split_Batch_ID	harmony	2000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00	0.470870908353356	0.459360956104452	9.5	0.0890818809411297	0.91763965858893	50	63.69	63.22	83.74	73.48	60.2675	RNA	80	RNA.log.vst.split_Batch_ID	harmony	3000
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.500_9625657cf22d373e46bdde89031e6f00	0.540051704261348	0.529489232216005	10.5	0.0889336006974539	0.92934843833893	50	83.64	78.08	91.81	84.945	75.23	RNA	80	RNA.log.vst.split_Batch_ID	harmony	500
harmony_5_Batch_ID_1_0.1_130_PCA..RNA..80..RNA.log.vst.split_Batch_ID.features.750_9625657cf22d373e46bdde89031e6f00	0.548114499307909	0.51340601912456	11.5	0.0872991646175253	0.927803903292802	49	85.97	74.67	90.75	82.71	76.7275	RNA	80	RNA.log.vst.split_Batch_ID	harmony	750
harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1000_9625657cf22d373e46bdde89031e6f00	0.438149695860739	0.521112841381802	10.5	0.0929297345361835	0.921640284403757	52	54.26	76.3	86.5	81.4	53.695	RNA	30	RNA.log.vst.split_Batch_ID	harmony	1000
harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.1500_9625657cf22d373e46bdde89031e6f00	0.42568263544971	0.508405934844036	10.5	0.088654974270622	0.917408747247388	50	50.66	73.61	83.58	78.595	50.495	RNA	30	RNA.log.vst.split_Batch_ID	harmony	1500
harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.2000_9625657cf22d373e46bdde89031e6f00	0.422741651183	0.491699786754116	10	0.0840839898100917	0.913652163701796	47	49.81	70.07	80.99	75.53	49.1075	RNA	30	RNA.log.vst.split_Batch_ID	harmony	2000
harmony_6_Batch_ID_1_0.125_130_PCA..RNA..30..RNA.log.vst.split_Batch_ID.features.3000_9625657cf22d373e46bdde89031e6f00	0.425990307106474	0.470165958850446	9	0.0835414898711312	0.908300989787442	47	50.75	65.51	77.31	71.41	49.8125	RNA	30	RNA.log.vst.split_Batch_ID	harmony	3000
