p_val	avg_log2FC	pct.1	pct.2	p_val_adj	gene	pct_diff	p_val_adj_negbinom	color	label
1.62397245213337e-25	-0.593900411059154	1	0.994	9.31543077992743e-21	Negr1	0.00600000000000001	1	down-regulated in fasting	
3.79440432785637e-25	0.693141710866527	0.969	0.858	2.17654621054497e-20	Mapk10	0.111	5.49221453365561e-55	up-regulated in fasting	
4.05049760123622e-25	1.22082336910269	0.345	0.055	2.32344643402112e-20	Gem	0.29	1.55958315367295e-25	up-regulated in fasting	Gem
4.71039537119236e-25	-1.44910105079483	0.257	0.579	2.70197699282336e-20	Rpl21	-0.322	1.24898637538274e-25	down-regulated in fasting	
5.0698219973865e-25	0.811747991251388	0.982	0.764	2.90815129414084e-20	Slc8a1	0.218	4.72229468398795e-48	up-regulated in fasting	
5.29854163840837e-25	0.845489315202263	0.938	0.729	3.03934945462381e-20	Lncpint	0.209	2.6702776452816e-53	up-regulated in fasting	
5.96201013442847e-25	0.871436710496522	0.934	0.68	3.41992825331086e-20	Lrrc7	0.254	1.79238567691393e-49	up-regulated in fasting	
6.35352334381553e-25	-1.01049004653202	0.593	0.791	3.64450806047946e-20	6330403K07Rik	-0.198	1.71177939459208e-11	down-regulated in fasting	
1.16089561966212e-24	0.804369028346883	0.748	0.349	6.65912945350584e-20	Sez6l	0.399	1.00891512978268e-34	up-regulated in fasting	
1.34442707271558e-24	-1.12121559731741	0.531	0.727	7.71190257451113e-20	Rpl41	-0.196	1.48838017482858e-16	down-regulated in fasting	
2.97140268356785e-24	0.832409566465229	0.522	0.156	1.70445600734819e-19	Errfi1	0.366	8.65659686597515e-23	up-regulated in fasting	
3.57695393263204e-24	-1.24777533257744	0.252	0.583	2.05181231483639e-19	Stmn1	-0.331	1.64379099305675e-19	down-regulated in fasting	
4.36785026558455e-24	0.898265792652154	0.965	0.844	2.50548626934461e-19	Tshz2	0.121	1.52434805512864e-61	up-regulated in fasting	
6.63424140257278e-24	0.71151533143936	0.509	0.144	3.8055335533438e-19	Sec24d	0.365	1.44003687377429e-25	up-regulated in fasting	
1.00857835118526e-23	0.786705082156058	0.779	0.396	5.78540713806891e-19	Sh3rf1	0.383	1.65513270219017e-34	up-regulated in fasting	
2.12582183987701e-23	0.691809034752033	0.947	0.715	1.21941392379025e-18	Sik3	0.232	2.92779821262586e-47	up-regulated in fasting	
2.49664088614418e-23	0.942867199722344	0.788	0.46	1.43212314511002e-18	Adcy2	0.328	6.61194375784387e-38	up-regulated in fasting	
2.50210578509043e-23	-1.29165405572902	0.208	0.536	1.43525792044357e-18	Rps29	-0.328	4.03708176666541e-21	down-regulated in fasting	
2.68859973223479e-23	-1.47250905640814	0.199	0.53	1.54223457840452e-18	mt-Cytb	-0.331	6.0037505855024e-25	down-regulated in fasting	mt-Cytb
1.09416130525027e-22	-0.849439469009036	0.947	0.975	6.27632807917659e-18	Lrrc4c	-0.028	0.0137237663613547	down-regulated in fasting	
1.17351942432741e-22	0.803915574801623	0.969	0.869	6.7315421218269e-18	Kcnc2	0.1	1.63589535007899e-53	up-regulated in fasting	
1.20203861659423e-22	0.624085100000622	0.385	0.08	6.89513391250783e-18	Col18a1	0.305	8.75099255018641e-18	up-regulated in fasting	
3.62292538842453e-22	0.633266638047155	0.412	0.094	2.07818246130808e-17	9630014M24Rik	0.318	6.92571749911188e-18	up-regulated in fasting	
3.82326465783788e-22	0.574272793175194	0.319	0.051	2.19310107302896e-17	Gng4	0.268	1.15794980422777e-13	up-regulated in fasting	
4.26714345712328e-22	0.718356507701028	0.58	0.209	2.44771882987505e-17	1500009L16Rik	0.371	1.69439016528666e-23	up-regulated in fasting	
6.33167394074601e-22	-0.9632029988869	0.748	0.881	3.63197480589073e-17	Gm20642	-0.133	2.75174503772155e-06	down-regulated in fasting	
9.76885092383117e-22	-1.6220486353118	0.239	0.534	5.60360826692804e-17	Rpl37	-0.295	2.10466791318255e-27	down-regulated in fasting	
1.33537516505874e-21	-1.43954207383578	0.252	0.548	7.65997902180992e-17	Fau	-0.296	3.04238356560049e-23	down-regulated in fasting	Fau
1.88489180361961e-21	0.600950186143243	0.288	0.039	1.08121163639228e-16	Ell2	0.249	9.67272260648467e-15	up-regulated in fasting	
1.94227176189505e-21	0.820065339146422	0.885	0.602	1.11412592805824e-16	Tmcc3	0.283	8.91514870188498e-41	up-regulated in fasting	
3.49982909265806e-21	0.95484734469727	0.77	0.425	2.00757196413052e-16	Acvr1c	0.345	6.65221867484819e-19	up-regulated in fasting	Acvr1c
4.08864216423964e-21	-1.05170395733118	0.265	0.556	2.34532691825114e-16	Tuba1a	-0.291	4.96207239769116e-16	down-regulated in fasting	
5.02222323722647e-21	0.828232101378243	0.894	0.671	2.88084769333785e-16	Arhgef28	0.223	1.82765192087043e-37	up-regulated in fasting	
6.75995435861184e-21	0.568665715295672	0.996	0.963	3.87764501918692e-16	Dgkb	0.033	4.55832989320592e-45	up-regulated in fasting	
8.16967074764977e-21	0.601878655978765	0.978	0.805	4.68628653426686e-16	Dclk1	0.173	4.95361116688378e-46	up-regulated in fasting	
9.40708555389729e-21	-1.28149434531483	0.115	0.435	5.39609241542656e-16	Rplp1	-0.32	1.61111475846718e-19	down-regulated in fasting	
1.26285378488806e-20	-1.08440790798022	0.252	0.554	7.24398188087491e-16	Pgrmc1	-0.302	1.28562253296649e-15	down-regulated in fasting	
1.45878972951866e-20	0.550224448872849	0.35	0.072	8.36790964646494e-16	Vcl	0.278	2.89509051252153e-16	up-regulated in fasting	
1.94218197943455e-20	-1.18459017890553	0.119	0.437	1.11407442704325e-15	Rpl35a	-0.318	7.10563057899728e-18	down-regulated in fasting	
2.38506077607064e-20	-1.7955068309731	0.412	0.618	1.36811856236964e-15	Rps8	-0.206	6.30663617312107e-30	down-regulated in fasting	
2.55608154062653e-20	0.681606185663993	0.96	0.713	1.46621949333419e-15	Herc2	0.247	4.22892927467967e-32	up-regulated in fasting	
2.66576413234844e-20	-1.31040352437201	0.137	0.452	1.52913562159771e-15	Rps3a1	-0.315	3.90720112692893e-20	down-regulated in fasting	
3.33579660159366e-20	0.76053308051533	0.81	0.472	1.91347964660615e-15	Rap1gds1	0.338	2.50108852188901e-36	up-regulated in fasting	
3.94642765856265e-20	0.700182409136912	0.31	0.055	2.26374983350471e-15	Btg2	0.255	5.82440341113898e-16	up-regulated in fasting	
4.00664349504484e-20	0.600388007540741	0.956	0.836	2.29829084162762e-15	Nktr	0.12	1.02533754105285e-43	up-regulated in fasting	
4.89519761971445e-20	-1.12066367540963	0.111	0.429	2.8079832586206e-15	mt-Nd1	-0.318	8.68555180404019e-16	down-regulated in fasting	
8.02929452308024e-20	-1.22661461157512	0.19	0.491	4.60576392432929e-15	Rpl23	-0.301	1.86990513034637e-19	down-regulated in fasting	
8.61024480069416e-20	0.530153695858015	0.398	0.099	4.93900862257418e-15	Creb3l2	0.299	6.34531317762997e-15	up-regulated in fasting	
9.07148905586013e-20	0.593479598151621	0.509	0.172	5.20358755222249e-15	P2rx4	0.337	1.58895247567816e-18	up-regulated in fasting	
1.15720431509668e-19	-0.964149261072367	0.102	0.425	6.63795539225759e-15	Rpl30	-0.323	8.42995213239445e-14	down-regulated in fasting	
1.23715529451833e-19	0.925089770945696	0.726	0.366	7.09657020041607e-15	Grik1	0.36	5.36152934060505e-20	up-regulated in fasting	
1.38122524233247e-19	-1.1270516147432	0.102	0.419	7.92298423506754e-15	Rps5	-0.317	3.17827569338245e-16	down-regulated in fasting	
1.45654198238823e-19	0.639404460170691	0.907	0.663	8.35501611937535e-15	Cmip	0.244	1.87110385319481e-31	up-regulated in fasting	
1.95685746848646e-19	-1.02602589976597	0.677	0.764	1.12249258107321e-14	Tecr	-0.087	3.96859093641974e-14	down-regulated in fasting	
3.98739165886984e-19	0.678692152963667	0.504	0.172	2.28724760336092e-14	Tent5a	0.332	6.49642292068188e-17	up-regulated in fasting	
4.25766358255019e-19	0.809633378512132	0.5	0.185	2.44228098422244e-14	Slc35f3	0.315	3.877909824294e-25	up-regulated in fasting	
5.54230686186727e-19	0.691951664445759	0.925	0.678	3.1791780621043e-14	Kcnip1	0.247	7.86369021136849e-33	up-regulated in fasting	
5.74970579296284e-19	0.657075166104907	0.412	0.113	3.29814623695935e-14	Lancl3	0.299	3.14887204137821e-16	up-regulated in fasting	
6.33929939296363e-19	0.482375214728237	0.987	0.957	3.6363489177918e-14	Ptprn2	0.03	7.99932984188311e-47	up-regulated in fasting	
6.69602203877757e-19	-1.23113870820738	0.363	0.587	3.84097216188359e-14	Rpl9	-0.224	8.80983820752404e-19	down-regulated in fasting	
7.24968959597347e-19	0.870244560931143	0.522	0.197	4.1585669460423e-14	Eda	0.325	2.68874932204114e-24	up-regulated in fasting	
9.66268704178609e-19	-1.25713287052083	0.252	0.511	5.54271054090934e-14	Rpl19	-0.259	4.68388363959156e-19	down-regulated in fasting	
1.32901994503111e-18	-0.865925140125172	0.442	0.682	7.62352420868743e-14	Brd9	-0.24	7.55642461010868e-07	down-regulated in fasting	
2.03137540918472e-18	0.575678524395435	0.916	0.7	1.16523756221654e-13	Apbb2	0.216	2.44890398068952e-38	up-regulated in fasting	
2.52536239093947e-18	-1.28132878867171	0.279	0.534	1.4485983746907e-13	Rps24	-0.255	1.79403035488995e-18	down-regulated in fasting	
3.13604828285083e-18	0.574009785058061	0.898	0.653	1.79890001600889e-13	Xkr6	0.245	1.54130992560068e-36	up-regulated in fasting	
3.90114369003576e-18	-1.28246889765534	0.239	0.528	2.23777404347831e-13	Fat3	-0.289	1.065650293202e-13	down-regulated in fasting	Fat3
3.96630107473686e-18	0.62648897689768	0.704	0.347	2.27514962249056e-13	Clvs1	0.357	1.1072685040663e-26	up-regulated in fasting	
4.59763127789636e-18	-0.762107286470558	0.597	0.77	2.63729325362691e-13	Gpm6a	-0.173	0.00103108493814001	down-regulated in fasting	
5.07115414845886e-18	0.725533310379955	0.438	0.146	2.90891544263897e-13	E230001N04Rik	0.292	1.18597231062878e-17	up-regulated in fasting	
5.35411587657495e-18	0.612976937282257	0.615	0.271	3.07122794912092e-13	Lrrc58	0.344	3.83941217992434e-20	up-regulated in fasting	
5.38516027327822e-18	0.563867031109877	0.531	0.195	3.08903563595785e-13	Fbxo28	0.336	8.23168815110591e-15	up-regulated in fasting	
6.02129633863062e-18	0.457263316661264	1	0.99	3.4539360057653e-13	Pde4d	0.01	5.19425263501029e-60	up-regulated in fasting	
6.97500427083116e-18	-1.50066680852184	0.27	0.509	4.00100194983417e-13	Gapdh	-0.239	2.15721025970409e-23	down-regulated in fasting	Gapdh
9.18705130550949e-18	0.779376567500022	0.584	0.255	5.26987636986635e-13	Tbc1d4	0.329	8.51357235807462e-20	up-regulated in fasting	
9.19058612209403e-18	-0.963836334330703	0.115	0.411	5.27190401135557e-13	Spcs1	-0.296	1.86948500176766e-13	down-regulated in fasting	
9.2652186138178e-18	-1.40692503736072	0.159	0.437	5.31471470125817e-13	Cox4i1	-0.278	3.33724190037372e-21	down-regulated in fasting	Cox4i1
1.00687224878279e-17	-1.37411474063994	0.332	0.546	5.77562059346784e-13	Arl6ip1	-0.214	1.5795619864717e-20	down-regulated in fasting	Arl6ip1
1.00937574394288e-17	0.532226660011009	1	0.955	5.78998114240513e-13	Gnas	0.045	4.9756962302246e-24	up-regulated in fasting	
1.11475324027876e-17	0.621362971417933	0.606	0.267	6.39444753688701e-13	Txndc11	0.339	1.08883379303459e-19	up-regulated in fasting	
1.19742206598686e-17	0.628887753219456	0.938	0.784	6.86865245491385e-13	Ntrk2	0.154	5.11875243625651e-45	up-regulated in fasting	
1.23015379397079e-17	0.523631981948277	1	0.949	7.05640819297526e-13	Ptprk	0.0510000000000001	2.93319788951868e-49	up-regulated in fasting	
1.50669240712841e-17	0.625355256864335	0.628	0.271	8.64268898577e-13	Zcchc14	0.357	4.70544473582939e-20	up-regulated in fasting	
1.56342910205537e-17	-1.17246032484489	0.248	0.505	8.96814201521001e-13	Rpl8	-0.257	2.65540254440376e-17	down-regulated in fasting	
2.02645609713307e-17	0.657201453063824	0.876	0.577	1.16241574643747e-12	Tnr	0.299	2.16086485516082e-29	up-regulated in fasting	
2.07633644502867e-17	0.742909147642078	0.752	0.433	1.19102811159734e-12	Lrrc1	0.319	1.35152534942783e-31	up-regulated in fasting	
2.17585348487931e-17	-1.29274487604508	0.354	0.561	1.24811307599647e-12	Rpl38	-0.207	6.88229369058239e-19	down-regulated in fasting	
2.87885976559233e-17	0.58911786108111	0.969	0.778	1.65137153873907e-12	Brinp1	0.191	1.18781615905943e-30	up-regulated in fasting	
2.91031493051952e-17	0.623755256225383	0.704	0.343	1.66941485044461e-12	Bach2	0.361	4.64716531126852e-24	up-regulated in fasting	
3.00648341701189e-17	-1.2166358322255	0.133	0.419	1.72457901766636e-12	Chchd2	-0.286	5.82504648703926e-18	down-regulated in fasting	
3.41452052441401e-17	0.414303302781459	0.252	0.039	1.95863726321437e-12	Pdia5	0.213	1.65618278125407e-09	up-regulated in fasting	
4.11654158726641e-17	-1.15268603766557	0.327	0.583	2.36133058528776e-12	Robo2	-0.256	6.14466537584618e-10	down-regulated in fasting	
5.09859077992321e-17	0.57657270457975	0.965	0.867	2.92465364317955e-12	Tmem178b	0.098	3.92035683234734e-49	up-regulated in fasting	
5.22738716047702e-17	0.687846384886548	0.712	0.384	2.99853382299283e-12	Atp10a	0.328	1.52716388150586e-24	up-regulated in fasting	
5.34559166956713e-17	0.966332232872183	0.615	0.302	3.0663382934971e-12	Pid1	0.313	3.27495719781781e-17	up-regulated in fasting	
5.55260980657841e-17	0.578496576974405	0.429	0.14	3.18508803724951e-12	Irs2	0.289	4.3698142193995e-13	up-regulated in fasting	
5.94553542164963e-17	-1.05853909961436	0.173	0.446	3.41047802856666e-12	Rplp2	-0.273	2.88035127855288e-15	down-regulated in fasting	
6.19755460932781e-17	-0.977121406267787	0.124	0.417	3.55504127500262e-12	Avp	-0.293	2.66984094042458e-12	down-regulated in fasting	
6.37784712500596e-17	0.67003811986182	0.73	0.402	3.65846066784592e-12	Xylt1	0.328	5.0778814821077e-23	up-regulated in fasting	
6.63145272200906e-17	0.672642208237678	0.792	0.476	3.80393391039884e-12	Mprip	0.316	2.8107358511466e-29	up-regulated in fasting	
7.85328244042737e-17	0.601621157910969	0.96	0.797	4.50479987347795e-12	Gpr158	0.163	1.31107189881268e-38	up-regulated in fasting	
8.10540793071752e-17	0.613149339448616	0.597	0.257	4.64942409721818e-12	Spred2	0.34	6.949154924088e-20	up-regulated in fasting	
9.05623190807986e-17	0.647301982535805	0.597	0.257	5.19483574711277e-12	Samhd1	0.34	1.01633443232707e-18	up-regulated in fasting	
9.47037849503439e-17	0.729905912131631	0.571	0.257	5.43239851232162e-12	Garem1	0.314	2.82704109230506e-21	up-regulated in fasting	
9.72132917910498e-17	-0.930334376258707	0.221	0.497	5.5763488437182e-12	Fkbp2	-0.276	1.58139037014862e-12	down-regulated in fasting	
1.10507240364191e-16	-0.864143688367477	0.195	0.491	6.33891632177072e-12	Rps27	-0.296	1.2674166404513e-10	down-regulated in fasting	
1.20745790410999e-16	0.551666954098815	0.81	0.462	6.92622002955575e-12	Fam219a	0.348	2.20463350785103e-22	up-regulated in fasting	
1.21040522243053e-16	-1.32529837776116	0.23	0.485	6.94312643690602e-12	Nenf	-0.255	8.36506105831695e-20	down-regulated in fasting	Nenf
1.24556111789382e-16	-0.938116402791327	0.177	0.45	7.14478768446255e-12	Rps16	-0.273	1.40235242171567e-13	down-regulated in fasting	
1.28571308556728e-16	0.680629762500213	0.801	0.489	7.37510740143102e-12	Farp1	0.312	1.07527733201736e-29	up-regulated in fasting	
1.35321661880206e-16	-0.968286511916963	0.611	0.704	7.76232116877238e-12	Atp1b1	-0.093	9.33385897466999e-11	down-regulated in fasting	
1.54361511251251e-16	0.582452955421167	0.823	0.501	8.85448500839427e-12	Psme4	0.322	5.69958463409766e-26	up-regulated in fasting	
1.5739688428787e-16	-0.973771905225939	0.124	0.413	9.02860007652081e-12	Rpl3	-0.289	5.6660116415663e-13	down-regulated in fasting	
1.62302538796198e-16	0.668337118194773	0.571	0.248	9.30999823042753e-12	Foxo1	0.323	1.65726895374841e-23	up-regulated in fasting	
1.89890798313361e-16	0.441390847426435	1	0.975	1.0892515972851e-11	Ccser1	0.025	2.2578861255784e-50	up-regulated in fasting	
1.98194281702644e-16	-1.35900340177488	0.296	0.522	1.13688203870271e-11	Fth1	-0.226	5.14595216307141e-20	down-regulated in fasting	Fth1
2.05693933813228e-16	-1.09874058910777	0.097	0.37	1.17990154313944e-11	Ndufa4	-0.273	4.51905570707325e-15	down-regulated in fasting	
2.39266072001366e-16	0.619450538275944	0.942	0.791	1.37247804221424e-11	Grip1	0.151	1.18002030768277e-36	up-regulated in fasting	
2.79682162190526e-16	0.509852349114924	0.951	0.78	1.6043128187573e-11	A930017M01Rik	0.171	1.28831945286176e-32	up-regulated in fasting	
3.19960714994227e-16	0.47186464344457	0.987	0.922	1.83535865334989e-11	Dst	0.065	5.16399948750596e-39	up-regulated in fasting	
3.31363336272873e-16	-0.995048399843115	0.084	0.363	1.90076636952846e-11	Oxt	-0.279	7.33813861335872e-13	down-regulated in fasting	
5.89079132261103e-16	0.469686043154564	0.987	0.973	3.37907571847614e-11	Efna5	0.014	9.84920441572572e-49	up-regulated in fasting	
5.98662492384177e-16	-1.04647881245895	0.602	0.694	3.43404778881412e-11	Stmn3	-0.092	6.0672732199431e-14	down-regulated in fasting	
6.25418100668794e-16	0.631115246096952	0.894	0.667	3.58752330905634e-11	Vat1l	0.227	2.30157672397785e-35	up-regulated in fasting	
6.5828452140433e-16	-1.0211985484238	0.721	0.76	3.77605167167952e-11	Rpl6	-0.039	1.86609874340231e-12	down-regulated in fasting	
7.04928500960316e-16	-0.90855360018042	0.124	0.4	4.04361086720856e-11	Rpl34	-0.276	6.12591307024206e-12	down-regulated in fasting	
7.68257366095755e-16	-0.884507916326679	0.31	0.548	4.40687790339847e-11	Cd81	-0.238	1.40517429714016e-10	down-regulated in fasting	
8.31202353276619e-16	-1.54055111624985	0.491	0.62	4.76794293886534e-11	Ubb	-0.129	1.11913687897657e-23	down-regulated in fasting	Ubb
9.5884833287261e-16	-1.09533166124067	0.212	0.462	5.50014580702386e-11	Rps28	-0.25	2.08180911779376e-16	down-regulated in fasting	
1.01504724624592e-15	-0.858296323914243	0.093	0.37	5.82251401391587e-11	Rpl26	-0.277	6.5146957027901e-11	down-regulated in fasting	
1.04042047890734e-15	0.694883452869792	0.872	0.624	5.9680599511083e-11	Prkca	0.248	1.14820692910663e-31	up-regulated in fasting	
1.17174466347755e-15	-0.93489497063485	0.624	0.696	6.72136173863995e-11	Tmx4	-0.072	7.10784504620161e-10	down-regulated in fasting	
1.22866478277695e-15	-0.75463175126627	0.066	0.341	7.04786692696512e-11	Rpl36a	-0.275	3.2736835434967e-09	down-regulated in fasting	
1.47684087847999e-15	0.655635831580076	0.774	0.45	8.47145464713693e-11	Ppm1l	0.324	1.52026543230844e-24	up-regulated in fasting	
1.57697235511513e-15	0.391171821961174	0.239	0.041	9.04582882341143e-11	Gm3294	0.198	1.36771346315745e-08	up-regulated in fasting	
1.64796417950852e-15	0.515120590126684	0.372	0.111	9.45305212649679e-11	Fgf1	0.261	5.90697637665747e-13	up-regulated in fasting	
1.94923828958933e-15	-0.749398007959007	0.071	0.341	1.11812206767423e-10	mt-Nd2	-0.27	3.97292978088296e-09	down-regulated in fasting	
2.2894901315554e-15	-1.04253971183158	0.367	0.598	1.31329732926281e-10	Kcnh8	-0.231	1.8690774164918e-07	down-regulated in fasting	
2.34048549979906e-15	-0.896657177810397	0.137	0.4	1.34254929239474e-10	Tpt1	-0.263	1.5934317222823e-11	down-regulated in fasting	
2.34908770917133e-15	0.719073312331454	0.814	0.571	1.34748369173486e-10	Cpe	0.243	5.36512817635254e-31	up-regulated in fasting	
2.62149581109819e-15	0.559232713353442	0.412	0.146	1.50374242716214e-10	Ogfrl1	0.266	4.66434992707743e-12	up-regulated in fasting	
2.66588613118856e-15	-1.03723595843304	0.204	0.45	1.52920560257238e-10	Rpsa	-0.246	2.57535970861733e-14	down-regulated in fasting	
