Identity	mean_fc_up	mean_fc_down	n_down_sig	n_up_sig	n_cells_cluster	current_cluster	expressed_genes	pct_activated_genes	Name
C286-37		-0.544230294347269	1	0	199	C286-37	17	0	C286-37: Mc4r.Fezf1.GLU-3
C286-120		-0.536806883546135	2	0	212	C286-120	13	0	C286-120: Alx1.Pmfbp1.Onecut2.GABA-2
C286-136		-0.494261003850218	1	0	131	C286-136	20	0	C286-136: Foxp2.Tmem114.Lef1.GABA-1
C286-27		-0.487349430766243	2	0	256	C286-27	15	0	C286-27: Ebf3.Lmx1a.GLU-2
C286-10		-0.486738122157935	2	0	344	C286-10	14	0	C286-10: Ebf3.Nxph4.GLU-2
C286-39		-0.468065872808771	1	0	183	C286-39	17	0	C286-39: Moxd1.Cd40.GLU-3
C286-95		-0.447612133771005	2	0	178	C286-95	12	0	C286-95: Meis2.Mixed.GABA-2
C286-9		-0.442653543015708	2	0	295	C286-9	14	0	C286-9: Nfia.Nxph4.GLU-2
C286-138		-0.423393527999535	1	0	176	C286-138	9	0	C286-138: Col11a1.Sox14.Lef1.GABA-1
C286-14		-0.408438331164121	3	0	475	C286-14	13	0	C286-14: Gsc.Ebf1.Trh.GLU-2
C286-4		-0.308030734895475	3	0	607	C286-4	11	0	C286-4: Lmx1a.Pitx2.Irx5.GLU-2
C286-85		-0.265237691901425	1	0	491	C286-85	10	0	C286-85: Nts.Foxb1.GLU-8
C286-26		-0.26262425559361	1	0	363	C286-26	13	0	C286-26: Ebf3.Foxb1.GLU-2
C286-50		-0.236114562407324	1	0	232	C286-50	11	0	C286-50: Nkd2.Bcl11b.Gpr149.GLU-3
